Recall,NFS,SU,MacroF1,Acc
-0.99653944,0.61290323,-0.78112803,-0.99638192,-0.99638989
-0.99976247,0.20967742,-0.33139104,-0.9997738,-0.99977437
-0.99675431,0.72580645,-0.87340037,-0.99660798,-0.99661552
-0.99957026,0.42741935,-0.57055442,-0.99954762,-0.99954874
-0.99675431,0.62096774,-0.78985625,-0.99660798,-0.99661552
-0.99632457,0.67741935,-0.84455375,-0.99615587,-0.99616426
-0.99632457,0.70967742,-0.86278747,-0.99615587,-0.99616426
-0.99653944,0.65322581,-0.82110456,-0.99638192,-0.99638989
-0.99696917,0.71774194,-0.86364196,-0.99683405,-0.99684116
-0.99868813,0.5483871,-0.70420475,-0.99864293,-0.99864621
-0.99718404,0.7016129,-0.84082608,-0.99706012,-0.99706679
-0.99718404,0.7016129,-0.84160633,-0.99706012,-0.99706679
-0.99696917,0.7016129,-0.8625932,-0.99683405,-0.99684116
-0.99653944,0.64516129,-0.81022688,-0.99638192,-0.99638989
-0.99718404,0.58870968,-0.75557573,-0.99706012,-0.99706679
-0.99653944,0.66935484,-0.83885165,-0.99638192,-0.99638989
-0.99696917,0.71774194,-0.86890068,-0.99683405,-0.99684116
-0.99890299,0.4516129,-0.60631614,-0.99886908,-0.99887184
-0.99761378,0.60483871,-0.77195725,-0.9975123,-0.99751805
-0.99785131,0.62096774,-0.77698087,-0.99773851,-0.99774368
-0.99675431,0.56451613,-0.73037401,-0.99660798,-0.99661552
-0.99892566,0.47580645,-0.61161486,-0.99886913,-0.99887184
-0.99675431,0.62096774,-0.78616014,-0.99660798,-0.99661552
-0.99632457,0.63709677,-0.80288795,-0.99615587,-0.99616426
-0.99739891,0.64516129,-0.80563428,-0.99728621,-0.99729242
-0.99957026,0.4516129,-0.59659647,-0.99954762,-0.99954874
-0.99892566,0.5,-0.65609656,-0.99886913,-0.99887184
-0.99739891,0.66129032,-0.82664613,-0.99728621,-0.99729242
-0.99739891,0.70967742,-0.85198706,-0.99728621,-0.99729242
-0.99696917,0.50806452,-0.6700193,-0.99683405,-0.99684116
-0.99890299,0.40322581,-0.55461769,-0.99886908,-0.99887184
-0.99675431,0.5483871,-0.71271687,-0.99660798,-0.99661552
-0.99739891,0.68548387,-0.82548518,-0.99728621,-0.99729242
-0.99675431,0.55645161,-0.72200254,-0.99660798,-0.99661552
-0.99675431,0.62903226,-0.7973375,-0.99660798,-0.99661552
-0.99653944,0.67741935,-0.83893807,-0.99638192,-0.99638989
-0.99976247,0.25806452,-0.38893316,-0.9997738,-0.99977437
-0.99742157,0.61290323,-0.76736772,-0.99728633,-0.99729242
