Recall,NFS,SU,MacroF1,Acc
-1.,0.18548387,-0.29705548,-1.,-1.
-1.,0.18548387,-0.29705548,-1.,-1.
-1.,0.7016129,-0.86945553,-1.,-1.
-1.,0.45967742,-0.61930829,-1.,-1.
-1.,0.19354839,-0.3106263,-1.,-1.
-1.,0.2016129,-0.32299149,-1.,-1.
-1.,0.21774194,-0.3439415,-1.,-1.
-1.,0.23387097,-0.36446337,-1.,-1.
-1.,0.25,-0.38377554,-1.,-1.
-1.,0.28225806,-0.42099018,-1.,-1.
-1.,0.26612903,-0.40255153,-1.,-1.
-1.,0.33064516,-0.4757582,-1.,-1.
-1.,0.27419355,-0.4113691,-1.,-1.
-1.,0.32258065,-0.46639081,-1.,-1.
-1.,0.33870968,-0.48490859,-1.,-1.
-1.,0.34677419,-0.49399376,-1.,-1.
-1.,0.37096774,-0.52088153,-1.,-1.
-1.,0.40322581,-0.5566601,-1.,-1.
-1.,0.31451613,-0.45746249,-1.,-1.
-1.,0.30645161,-0.44848718,-1.,-1.
-1.,0.49193548,-0.65504115,-1.,-1.
-1.,0.44354839,-0.60145331,-1.,-1.
-1.,0.48387097,-0.64608138,-1.,-1.
-1.,0.39516129,-0.54773997,-1.,-1.
-1.,0.53225806,-0.69960677,-1.,-1.
-1.,0.54032258,-0.70841673,-1.,-1.
-1.,0.58870968,-0.76113328,-1.,-1.
-1.,0.58064516,-0.75196902,-1.,-1.
-1.,0.59677419,-0.76962491,-1.,-1.
-1.,0.68548387,-0.85220514,-1.,-1.
-1.,0.67741935,-0.84513946,-1.,-1.
-1.,0.20967742,-0.33219572,-1.,-1.
-1.,0.22580645,-0.35290332,-1.,-1.
-1.,0.24193548,-0.37342519,-1.,-1.
-1.,0.61290323,-0.78748735,-1.,-1.
-1.,0.60483871,-0.77764154,-1.,-1.
-1.,0.25806452,-0.39274334,-1.,-1.
-1.,0.2983871,-0.43955897,-1.,-1.
-1.,0.29032258,-0.43008563,-1.,-1.
-1.,0.20967742,-0.33219572,-1.,-1.
-1.,0.29032258,-0.43008563,-1.,-1.
-1.,0.41129032,-0.56566029,-1.,-1.
-1.,0.43548387,-0.59245351,-1.,-1.
-1.,0.4516129,-0.61033993,-1.,-1.
-1.,0.25806452,-0.39274334,-1.,-1.
-1.,0.35483871,-0.50295704,-1.,-1.
-1.,0.37903226,-0.52984383,-1.,-1.
-1.,0.35483871,-0.50295704,-1.,-1.
-1.,0.36290323,-0.51191934,-1.,-1.
-1.,0.36290323,-0.51191934,-1.,-1.
-1.,0.24193548,-0.37342519,-1.,-1.
-1.,0.22580645,-0.35290332,-1.,-1.
-1.,0.52419355,-0.69064507,-1.,-1.
-1.,0.56451613,-0.73478547,-1.,-1.
-1.,0.57258065,-0.74374326,-1.,-1.
-1.,0.66129032,-0.83466944,-1.,-1.
-1.,0.65322581,-0.82571165,-1.,-1.
-1.,0.38709677,-0.5387938,-1.,-1.
-1.,0.37903226,-0.52984383,-1.,-1.
-1.,0.38709677,-0.5387938,-1.,-1.
-1.,0.41129032,-0.56566029,-1.,-1.
-1.,0.41935484,-0.57460151,-1.,-1.
-1.,0.69354839,-0.86114228,-1.,-1.
-1.,0.46774194,-0.62824437,-1.,-1.
-1.,0.5,-0.66397538,-1.,-1.
-1.,0.41935484,-0.57460151,-1.,-1.
-1.,0.42741935,-0.58352972,-1.,-1.
-1.,0.2983871,-0.43955897,-1.,-1.
