Recall,NFS,SU,MacroF1,Acc
-0.99911786,0.33064516,-0.47072144,-0.99909524,-0.99909747
-0.9995476,0.38709677,-0.53238744,-0.9995476,-0.99954874
-0.99892566,0.29032258,-0.42390753,-0.99886913,-0.99887184
-0.99957026,0.22580645,-0.32180372,-0.99954762,-0.99954874
-0.99782865,0.58870968,-0.742724,-0.99773841,-0.99774368
-0.99675431,0.57258065,-0.72813508,-0.99660798,-0.99661552
-0.99825839,0.37903226,-0.52688216,-0.99819065,-0.99819495
-0.99957026,0.28225806,-0.41057725,-0.99954762,-0.99954874
-0.99890299,0.44354839,-0.59533969,-0.99886908,-0.99887184
-0.99892566,0.20967742,-0.31906342,-0.99886913,-0.99887184
-0.99911786,0.53225806,-0.68472913,-0.99909524,-0.99909747
-0.99933273,0.47580645,-0.62396637,-0.99932142,-0.9993231
-0.99718404,0.54032258,-0.69545119,-0.99706012,-0.99706679
-0.99868813,0.52419355,-0.68000177,-0.99864293,-0.99864621
-0.99890299,0.36290323,-0.50806639,-0.99886908,-0.99887184
-0.99849592,0.2983871,-0.43165629,-0.99841685,-0.99842058
-0.99911786,0.51612903,-0.66686292,-0.99909524,-0.99909747
-0.99935539,0.24193548,-0.35187674,-0.99932145,-0.9993231
-0.99935539,0.25,-0.37432811,-0.99932145,-0.9993231
-0.99933273,0.40322581,-0.54591786,-0.99932142,-0.9993231
-0.99978513,0.33870968,-0.47408052,-0.99977381,-0.99977437
-0.99890299,0.42741935,-0.57841615,-0.99886908,-0.99887184
-0.99675431,0.57258065,-0.72813508,-0.99660798,-0.99661552
-0.99849592,0.30645161,-0.441443,-0.99841685,-0.99842058
-0.99782865,0.51612903,-0.67627421,-0.99773841,-0.99774368
-0.99892566,0.20967742,-0.31906342,-0.99886913,-0.99887184
-0.99890299,0.36290323,-0.50806639,-0.99886908,-0.99887184
-0.99911786,0.47580645,-0.62825335,-0.99909524,-0.99909747
-0.99849592,0.2983871,-0.4291445,-0.99841685,-0.99842058
-0.99935539,0.22580645,-0.34015747,-0.99932145,-0.9993231
-0.99739891,0.58064516,-0.7362478,-0.99728621,-0.99729242
-0.99892566,0.2983871,-0.428428,-0.99886913,-0.99887184
-0.99847326,0.46774194,-0.61859257,-0.99841678,-0.99842058
-0.99933273,0.41935484,-0.56267284,-0.99932142,-0.9993231
-0.99868813,0.52419355,-0.68000177,-0.99864293,-0.99864621
-0.99849592,0.32258065,-0.45930649,-0.99841685,-0.99842058
-0.99892566,0.20967742,-0.31906342,-0.99886913,-0.99887184
-0.99868813,0.50806452,-0.66328302,-0.99864293,-0.99864621
-0.99957026,0.2983871,-0.42772116,-0.99954762,-0.99954874
-0.99849592,0.32258065,-0.45930649,-0.99841685,-0.99842058
-0.99935539,0.24193548,-0.35187674,-0.99932145,-0.9993231
-0.99847326,0.50806452,-0.66314628,-0.99841678,-0.99842058
-0.99825839,0.48387097,-0.64087906,-0.99819065,-0.99819495
-0.99911786,0.35483871,-0.49902724,-0.99909524,-0.99909747
-0.99849592,0.30645161,-0.44078891,-0.99841685,-0.99842058
-0.99890299,0.36290323,-0.50806639,-0.99886908,-0.99887184
-0.99825839,0.48387097,-0.63857687,-0.99819065,-0.99819495
-0.99911786,0.35483871,-0.49902724,-0.99909524,-0.99909747
-0.99892566,0.20967742,-0.31906342,-0.99886913,-0.99887184
-0.99935539,0.21774194,-0.33119867,-0.99932145,-0.9993231
-0.99868813,0.42741935,-0.5821798,-0.99864293,-0.99864621
-0.99890299,0.37096774,-0.51700888,-0.99886908,-0.99887184
-0.99825839,0.5,-0.65878808,-0.99819065,-0.99819495
-0.99911786,0.53225806,-0.68472913,-0.99909524,-0.99909747
-0.99933273,0.33064516,-0.46624306,-0.99932142,-0.9993231
-0.99847326,0.50806452,-0.66314628,-0.99841678,-0.99842058
-0.99849592,0.2983871,-0.43165629,-0.99841685,-0.99842058
-0.99849592,0.2983871,-0.43165629,-0.99841685,-0.99842058
-0.99761378,0.54032258,-0.69521075,-0.9975123,-0.99751805
-0.99957026,0.2983871,-0.42772116,-0.99954762,-0.99954874
-0.99911786,0.40322581,-0.5550567,-0.99909524,-0.99909747
-0.99933273,0.41129032,-0.56325759,-0.99932142,-0.9993231
-0.99890299,0.36290323,-0.50806639,-0.99886908,-0.99887184
-0.99868813,0.50806452,-0.66328302,-0.99864293,-0.99864621
-0.99911786,0.4516129,-0.60502596,-0.99909524,-0.99909747
-0.99957026,0.22580645,-0.32180372,-0.99954762,-0.99954874
-0.99911786,0.47580645,-0.62783551,-0.99909524,-0.99909747
-0.99978513,0.33870968,-0.47408052,-0.99977381,-0.99977437
-0.99978513,0.23387097,-0.336005,-0.99977381,-0.99977437
-0.99825839,0.5,-0.65878808,-0.99819065,-0.99819495
-0.99890299,0.35483871,-0.49912886,-0.99886908,-0.99887184
-0.99868813,0.52419355,-0.68000177,-0.99864293,-0.99864621
-0.99890299,0.38709677,-0.53527308,-0.99886908,-0.99887184
-0.99911786,0.4516129,-0.60514385,-0.99909524,-0.99909747
-0.99957026,0.23387097,-0.35744673,-0.99954762,-0.99954874
-0.99847326,0.43548387,-0.58404737,-0.99841678,-0.99842058
-0.99890299,0.35483871,-0.49912886,-0.99886908,-0.99887184
-0.99911786,0.35483871,-0.49718929,-0.99909524,-0.99909747
-0.99911786,0.53225806,-0.68472913,-0.99909524,-0.99909747
-0.99935539,0.33064516,-0.46575192,-0.99932145,-0.9993231
-0.99847326,0.50806452,-0.66314628,-0.99841678,-0.99842058
-0.99825839,0.5,-0.65887269,-0.99819065,-0.99819495
-0.99868813,0.33870968,-0.48243316,-0.99864293,-0.99864621
-0.99718404,0.55645161,-0.71019337,-0.99706012,-0.99706679
-0.99933273,0.38709677,-0.53426484,-0.99932142,-0.9993231
-0.99911786,0.5,-0.65181584,-0.99909524,-0.99909747
-0.99935539,0.19354839,-0.30220685,-0.99932145,-0.9993231
-0.99935539,0.27419355,-0.40353772,-0.99932145,-0.9993231
-0.99868813,0.42741935,-0.5821798,-0.99864293,-0.99864621
-0.99868813,0.50806452,-0.66328302,-0.99864293,-0.99864621
-0.99911786,0.46774194,-0.62095996,-0.99909524,-0.99909747
-0.99978513,0.23387097,-0.336005,-0.99977381,-0.99977437
-0.99911786,0.47580645,-0.62783551,-0.99909524,-0.99909747
-0.99825839,0.50806452,-0.66377527,-0.99819065,-0.99819495
-0.99868813,0.50806452,-0.66328302,-0.99864293,-0.99864621
-0.99978513,0.25806452,-0.38209857,-0.99977381,-0.99977437
-0.99933273,0.41935484,-0.56267284,-0.99932142,-0.9993231
-0.99933273,0.46774194,-0.61849245,-0.99932142,-0.9993231
-0.99933273,0.37096774,-0.50690724,-0.99932142,-0.9993231
-0.99957026,0.22580645,-0.32180372,-0.99954762,-0.99954874
-0.99868813,0.58870968,-0.72483319,-0.99864293,-0.99864621
-0.99911786,0.53225806,-0.68472913,-0.99909524,-0.99909747
-0.99890299,0.42741935,-0.57841615,-0.99886908,-0.99887184
-0.99957026,0.2983871,-0.42772116,-0.99954762,-0.99954874
-0.99890299,0.37096774,-0.51690006,-0.99886908,-0.99887184
-0.99868813,0.5,-0.65868422,-0.99864293,-0.99864621
-0.99868813,0.50806452,-0.66328302,-0.99864293,-0.99864621
-0.99978513,0.27419355,-0.40041294,-0.99977381,-0.99977437
-0.99890299,0.41935484,-0.57323858,-0.99886908,-0.99887184
-0.99911786,0.49193548,-0.64190807,-0.99909524,-0.99909747
-0.99890299,0.54032258,-0.69387241,-0.99886908,-0.99887184
-0.99933273,0.40322581,-0.55297729,-0.99932142,-0.9993231
-0.99868813,0.45967742,-0.61684296,-0.99864293,-0.99864621
-0.99890299,0.49193548,-0.65280348,-0.99886908,-0.99887184
-0.99957026,0.2983871,-0.42772116,-0.99954762,-0.99954874
-0.99761378,0.54032258,-0.69521075,-0.9975123,-0.99751805
-0.99890299,0.48387097,-0.6317825,-0.99886908,-0.99887184
-0.99890299,0.43548387,-0.58897475,-0.99886908,-0.99887184
-0.99933273,0.41935484,-0.56267284,-0.99932142,-0.9993231
-0.99804352,0.53225806,-0.68575969,-0.99796452,-0.99796931
\,n
-0.99890299,0.34677419,-0.48470691,-0.99886908,-0.99887184
-0.99911786,0.49193548,-0.63338185,-0.99909524,-0.99909747
-0.99868813,0.33870968,-0.48078342,-0.99864293,-0.99864621
-0.99567996,0.62096774,-0.77048549,-0.99547778,-0.99548736
-0.99739891,0.58870968,-0.75301407,-0.99728621,-0.99729242
-0.99933273,0.40322581,-0.53293686,-0.99932142,-0.9993231
-0.99868813,0.21774194,-0.32706677,-0.99864293,-0.99864621
