GD,IGD,HV
1.64343943,1.92237068,5.52175433
1.64135281,1.92151353,5.57691202
1.63928905,1.90754537,5.69127228
1.65150420,1.91317515,5.46320425
1.64177987,1.93872868,5.22363719
1.64519183,1.94732338,4.96538964
1.65161198,1.92985081,5.45723024
1.63958346,1.92024567,5.53288600
1.64333363,1.91459620,5.71448706
1.61922212,1.91817542,4.27638444
1.64234908,1.91513792,5.66549568
1.63821645,1.92417799,5.47868098
1.65411557,1.93218292,5.22615546
1.64200078,1.92591329,5.47255340
1.64186493,1.92805611,5.35830667
