Recall,NFS,SU,MacroF1,Acc
-0.99816584,0.56060606,-0.90264053,-0.99778885,-0.99791418
-0.99864661,0.51515152,-0.89086418,-0.99842013,-0.99851013
-1.,0.15151515,-0.25979369,-1.,-1.
-0.99975962,0.49242424,-0.86089018,-0.99968393,-0.99970203
-0.99936777,0.53787879,-0.90229035,-0.99936777,-0.99940405
-0.99873553,0.17424242,-0.34907621,-0.99873553,-0.9988081
-0.99975962,0.42424242,-0.763563,-0.99968393,-0.99970203
-0.99858407,0.18939394,-0.37053004,-0.99873515,-0.9988081
-0.99849515,0.52272727,-0.87894381,-0.99841965,-0.99851013
-0.99975962,0.46969697,-0.83129011,-0.99968393,-0.99970203
-0.99912738,0.5,-0.8714548,-0.99905179,-0.99910608
-0.99975962,0.43939394,-0.78697757,-0.99968393,-0.99970203
-0.99975962,0.37878788,-0.69380384,-0.99968393,-0.99970203
-0.99840623,0.51515152,-0.86840845,-0.99810444,-0.99821216
-0.99975962,0.51515152,-0.87106827,-0.99968393,-0.99970203
-0.99903846,0.50757576,-0.8827403,-0.9987363,-0.9988081
-1.,0.34090909,-0.63560505,-1.,-1.
-1.,0.18939394,-0.36971794,-1.,-1.
-0.99951923,0.54545455,-0.90229035,-0.99936796,-0.99940405
-0.99792546,0.47727273,-0.83746474,-0.99747335,-0.99761621
-0.99975962,0.4469697,-0.79666336,-0.99968393,-0.99970203
-1.,0.15909091,-0.30936564,-1.,-1.
-0.99951923,0.42424242,-0.76118843,-0.99936796,-0.99940405
-1.,0.21212121,-0.42360698,-1.,-1.
-1.,0.21969697,-0.44372605,-1.,-1.
-1.,0.20454545,-0.40957489,-1.,-1.
-1.,0.23484848,-0.46727851,-1.,-1.
-1.,0.25757576,-0.50503681,-1.,-1.
-1.,0.24242424,-0.48015679,-1.,-1.
-1.,0.33333333,-0.62334189,-1.,-1.
-1.,0.31060606,-0.58743991,-1.,-1.
-1.,0.31818182,-0.6000822,-1.,-1.
-1.,0.26515152,-0.5171693,-1.,-1.
-1.,0.36363636,-0.67001511,-1.,-1.
-1.,0.29545455,-0.56424329,-1.,-1.
-1.,0.32575758,-0.61136098,-1.,-1.
-1.,0.3030303,-0.57589755,-1.,-1.
-1.,0.37121212,-0.68205571,-1.,-1.
-1.,0.38636364,-0.7051037,-1.,-1.
-1.,0.18939394,-0.36971794,-1.,-1.
-0.99855769,0.52272727,-0.88240891,-0.99810501,-0.99821216
-0.99903846,0.45454545,-0.80790995,-0.9987363,-0.9988081
-0.99873553,0.18181818,-0.360802,-0.99873553,-0.9988081
-0.9992163,0.16666667,-0.33328833,-0.99936757,-0.99940405
-1.,0.15909091,-0.30936564,-1.,-1.
-0.99912738,0.16666667,-0.33337654,-0.99905179,-0.99910608
-0.99951923,0.1969697,-0.39581457,-0.99936796,-0.99940405
-1.,0.25,-0.49186081,-1.,-1.
-1.,0.22727273,-0.45463072,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-0.99975962,0.48484848,-0.85288583,-0.99968393,-0.99970203
-0.99951923,0.40151515,-0.72876261,-0.99936796,-0.99940405
-1.,0.28030303,-0.54010622,-1.,-1.
-1.,0.28787879,-0.5524055,-1.,-1.
-1.,0.28787879,-0.5524055,-1.,-1.
-1.,0.37878788,-0.69321159,-1.,-1.
-0.99927885,0.51515152,-0.89041011,-0.99905208,-0.99910608
-1.,0.25,-0.49186081,-1.,-1.
-1.,0.43181818,-0.77260691,-1.,-1.
-1.,0.27272727,-0.52877695,-1.,-1.
-1.,0.35606061,-0.65844257,-1.,-1.
-1.,0.34848485,-0.64700779,-1.,-1.
-1.,0.35606061,-0.65844257,-1.,-1.
-1.,0.40909091,-0.74002355,-1.,-1.
-1.,0.34848485,-0.64700779,-1.,-1.
-1.,0.28030303,-0.54010622,-1.,-1.
-1.,0.27272727,-0.52877695,-1.,-1.
-0.99975962,0.40909091,-0.74016724,-0.99968393,-0.99970203
-1.,0.22727273,-0.45463072,-1.,-1.
-0.99951923,0.39393939,-0.7171996,-0.99936796,-0.99940405
-0.99975962,0.53030303,-0.89212373,-0.99968393,-0.99970203
-1.,0.46212121,-0.81628572,-1.,-1.
-0.99975962,0.43181818,-0.775238,-0.99968393,-0.99970203
-0.99960815,0.46969697,-0.82494556,-0.99968384,-0.99970203
-0.99936777,0.41666667,-0.75191094,-0.99936777,-0.99940405
-0.9992163,0.18939394,-0.36175928,-0.99936757,-0.99940405
-0.99960815,0.43939394,-0.78241082,-0.99968384,-0.99970203
-1.,0.4469697,-0.79129733,-1.,-1.
-0.99951923,0.49242424,-0.85719035,-0.99936796,-0.99940405
-0.99936777,0.52272727,-0.8794089,-0.99936777,-0.99940405
-1.,0.48484848,-0.8329905,-1.,-1.
-0.99936777,0.47727273,-0.84113751,-0.99936777,-0.99940405
-0.99975962,0.46212121,-0.81954179,-0.99968393,-0.99970203
-1.,0.45454545,-0.8045374,-1.,-1.
-0.99975962,0.53030303,-0.89212373,-0.99968393,-0.99970203
-1.,0.40151515,-0.72751121,-1.,-1.
-1.,0.41666667,-0.75112257,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-0.99936777,0.5,-0.87113778,-0.99936777,-0.99940405
-1.,0.42424242,-0.76081995,-1.,-1.
-1.,0.39393939,-0.71683139,-1.,-1.
-1.,0.39393939,-0.71683139,-1.,-1.
-1.,0.41666667,-0.75112257,-1.,-1.
-1.,0.40151515,-0.72751121,-1.,-1.
-1.,0.42424242,-0.76081995,-1.,-1.
-1.,0.45454545,-0.8045374,-1.,-1.
-0.99951923,0.46969697,-0.82925728,-0.99936796,-0.99940405
-0.99951923,0.46212121,-0.81954179,-0.99936796,-0.99940405
-0.99951923,0.4469697,-0.79534108,-0.99936796,-0.99940405
-0.99951923,0.49242424,-0.86068067,-0.99936796,-0.99940405
-0.99936777,0.43939394,-0.78386292,-0.99936777,-0.99940405
-0.99879808,0.50757576,-0.84465264,-0.99842061,-0.99851013
-0.99951923,0.47727273,-0.84113751,-0.99936796,-0.99940405
-0.99879808,0.45454545,-0.80606676,-0.99842061,-0.99851013
-0.99840623,0.46212121,-0.81778144,-0.99810444,-0.99821216
-0.99855769,0.43939394,-0.78592901,-0.99810501,-0.99821216
-0.99975962,0.42424242,-0.76229659,-0.99968393,-0.99970203
-0.99975962,0.4469697,-0.79574315,-0.99968393,-0.99970203
-0.99897592,0.16666667,-0.33329727,-0.99905151,-0.99910608
-1.,0.22727273,-0.45463072,-1.,-1.
-1.,0.22727273,-0.45463072,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.28030303,-0.54010622,-1.,-1.
-1.,0.28787879,-0.5524055,-1.,-1.
-1.,0.28787879,-0.5524055,-1.,-1.
\,n
-1.,0.47727273,-0.83488894,-1.,-1.
-0.99879808,0.17424242,-0.36345843,-0.99842061,-0.99851013
-1.,0.17424242,-0.36345843,-1.,-1.
-1.,0.48484848,-0.84664863,-1.,-1.
-0.99951923,0.52272727,-0.90087277,-0.99936796,-0.99940405
-0.99975962,0.37878788,-0.69570272,-0.99968393,-0.99970203
-0.99903846,0.40151515,-0.7308649,-0.9987363,-0.9988081
-0.99975962,0.42424242,-0.76391421,-0.99968393,-0.99970203
