Recall,NFS,SU,MacroF1,Acc
-0.99840623,0.24242424,-0.47418866,-0.99810444,-0.99821216
-0.99768507,0.43181818,-0.76856087,-0.99715795,-0.99731824
-0.99975962,0.22727273,-0.45431734,-0.99968393,-0.99970203
-0.99903846,0.22727273,-0.45320181,-0.9987363,-0.9988081
-0.99951923,0.16666667,-0.32545568,-0.99936796,-0.99940405
-0.99975962,0.31818182,-0.59651087,-0.99968393,-0.99970203
-0.99951923,0.53030303,-0.84310654,-0.99936796,-0.99940405
-0.99975962,0.39393939,-0.71290666,-0.99968393,-0.99970203
-1.,0.40151515,-0.72198348,-1.,-1.
-0.99960815,0.17424242,-0.35401874,-0.99968384,-0.99970203
-0.99960815,0.46969697,-0.82301808,-0.99968384,-0.99970203
-1.,0.32575758,-0.60773734,-1.,-1.
-0.99855769,0.43939394,-0.7792498,-0.99810501,-0.99821216
-1.,0.23484848,-0.46027465,-1.,-1.
-0.99768507,0.39393939,-0.70898783,-0.99715795,-0.99731824
-0.99744469,0.43939394,-0.78101479,-0.99684264,-0.99702026
-0.99840623,0.42424242,-0.75923859,-0.99810444,-0.99821216
-0.99960815,0.3030303,-0.5672502,-0.99968384,-0.99970203
-1.,0.45454545,-0.79894713,-1.,-1.
-0.99903846,0.15151515,-0.31464528,-0.9987363,-0.9988081
-0.99975962,0.23484848,-0.46666033,-0.99968393,-0.99970203
-0.99768507,0.43181818,-0.76852122,-0.99715795,-0.99731824
-1.,0.1969697,-0.40194932,-1.,-1.
-0.99951923,0.53030303,-0.84310654,-0.99936796,-0.99940405
-0.99801438,0.16666667,-0.34983405,-0.99778818,-0.99791418
-0.99936777,0.16666667,-0.32545568,-0.99936777,-0.99940405
-0.99960815,0.17424242,-0.35401874,-0.99968384,-0.99970203
-1.,0.29545455,-0.56048446,-1.,-1.
-1.,0.45454545,-0.79894713,-1.,-1.
-0.99960815,0.40151515,-0.72198348,-0.99968384,-0.99970203
-1.,0.25,-0.48944187,-1.,-1.
-0.99840623,0.31818182,-0.59651087,-0.99810444,-0.99821216
-0.99729322,0.43181818,-0.76856087,-0.99684169,-0.99702026
-0.99912738,0.53030303,-0.84310654,-0.99905179,-0.99910608
-0.99903846,0.22727273,-0.45162753,-0.9987363,-0.9988081
-1.,0.20454545,-0.41504814,-1.,-1.
-1.,0.1969697,-0.40194932,-1.,-1.
-1.,0.4469697,-0.78218971,-1.,-1.
-0.99951923,0.16666667,-0.32545568,-0.99936796,-0.99940405
-0.99879808,0.40151515,-0.72198348,-0.99842061,-0.99851013
-0.99600238,0.34848485,-0.63979432,-0.99495274,-0.99523242
-0.99840623,0.34090909,-0.63229092,-0.99810444,-0.99821216
-0.99840623,0.24242424,-0.47418866,-0.99810444,-0.99821216
-0.99729322,0.43181818,-0.76852122,-0.99684169,-0.99702026
-1.,0.35606061,-0.65802479,-1.,-1.
-1.,0.17424242,-0.35401874,-1.,-1.
-0.99879808,0.4469697,-0.78218971,-0.99842061,-0.99851013
-0.99840623,0.40909091,-0.73574385,-0.99810444,-0.99821216
-0.99975962,0.16666667,-0.32545568,-0.99968393,-0.99970203
-0.99855769,0.24242424,-0.47747073,-0.99810501,-0.99821216
-0.99927885,0.17424242,-0.36166021,-0.99905208,-0.99910608
-1.,0.31060606,-0.58855836,-1.,-1.
-0.99855769,0.43181818,-0.76845755,-0.99810501,-0.99821216
-0.99879808,0.25757576,-0.50183513,-0.99842061,-0.99851013
-0.99855769,0.22727273,-0.45320181,-0.99810501,-0.99821216
-1.,0.1969697,-0.40194932,-1.,-1.
-0.99936777,0.16666667,-0.32545568,-0.99936777,-0.99940405
-0.99879808,0.38636364,-0.7014373,-0.99842061,-0.99851013
-0.99840623,0.38636364,-0.68886007,-0.99810444,-0.99821216
-0.99903846,0.16666667,-0.32545568,-0.9987363,-0.9988081
-0.99840623,0.25,-0.49240694,-0.99810444,-0.99821216
-0.99960815,0.17424242,-0.35401874,-0.99968384,-0.99970203
-0.99816584,0.39393939,-0.70870642,-0.99778885,-0.99791418
-1.,0.22727273,-0.44987552,-1.,-1.
-1.,0.37121212,-0.67997861,-1.,-1.
-0.99840623,0.28787879,-0.54965662,-0.99810444,-0.99821216
-0.99912738,0.51515152,-0.83520942,-0.99905179,-0.99910608
-1.,0.33333333,-0.62366202,-1.,-1.
-0.99879808,0.28030303,-0.53940916,-0.99842061,-0.99851013
-1.,0.18181818,-0.37726212,-1.,-1.
-0.99729322,0.43181818,-0.76852122,-0.99684169,-0.99702026
-0.99951923,0.15909091,-0.33900237,-0.99936796,-0.99940405
-1.,0.36363636,-0.6697594,-1.,-1.
