Recall;NFS;MI;MacroF1;ACC
-1;0.266129032;-0.403815221;-1;-1
-1;0.669354839;-0.838319604;-1;-1
-1;0.612903226;-0.788231351;-1;-1
-1;0.274193548;-0.419666634;-1;-1
-1;0.282258065;-0.432870742;-1;-1
-1;0.290322581;-0.442061572;-1;-1
-1;0.298387097;-0.451688203;-1;-1
-1;0.338709677;-0.496583273;-1;-1
-1;0.330645161;-0.487164899;-1;-1
-1;0.572580645;-0.748256418;-1;-1
-1;0.35483871;-0.514188848;-1;-1
-1;0.362903226;-0.523482271;-1;-1
-1;0.435483871;-0.602986887;-1;-1
-1;0.403225806;-0.56781554;-1;-1
-1;0.532258065;-0.707488926;-1;-1
-1;0.475806452;-0.646850073;-1;-1
-1;0.524193548;-0.698824895;-1;-1
-1;0.370967742;-0.531998034;-1;-1
-1;0.491935484;-0.664468174;-1;-1
-1;0.620967742;-0.797050203;-1;-1
-1;0.580645161;-0.758071962;-1;-1
-1;0.540322581;-0.716398026;-1;-1
-1;0.629032258;-0.804982201;-1;-1
-1;0.596774194;-0.773672722;-1;-1
-1;0.588709677;-0.762142456;-1;-1
-1;0.564516129;-0.739923786;-1;-1
-1;0.556451613;-0.730198483;-1;-1
-1;0.60483871;-0.778990851;-1;-1
-1;0.314516129;-0.469644818;-1;-1
-1;0.5;-0.67301481;-1;-1
-1;0.508064516;-0.682041305;-1;-1
-1;0.411290323;-0.576523219;-1;-1
-1;0.419354839;-0.58537244;-1;-1
-1;0.516129032;-0.689975674;-1;-1
-1;0.459677419;-0.629383619;-1;-1
-1;0.346774194;-0.505386392;-1;-1
-1;0.443548387;-0.611787666;-1;-1
-1;0.322580645;-0.478364256;-1;-1
-1;0.427419355;-0.59409635;-1;-1
-1;0.653225806;-0.823401727;-1;-1
-1;0.637096774;-0.810589639;-1;-1
-1;0.64516129;-0.816255005;-1;-1
-1;0.379032258;-0.540876944;-1;-1
-1;0.387096774;-0.550051826;-1;-1
-1;0.306451613;-0.460598234;-1;-1
-1;0.39516129;-0.558901047;-1;-1
-1;0.483870968;-0.655699294;-1;-1
-1;0.451612903;-0.620556339;-1;-1
-1;0.548387097;-0.721371202;-1;-1
-1;0.661290323;-0.832149685;-1;-1
-1;0.467741935;-0.63812947;-1;-1
-1;0.427419355;-0.59409635;-1;-1
\n;;;;
-1;0.637096774;-0.806811697;-1;-1
-1;0.258064516;-0.397134477;-1;-1
-1;0.379032258;-0.54125244;-1;-1
-1;0.266129032;-0.405986741;-1;-1
-1;0.338709677;-0.495876591;-1;-1
-1;0.314516129;-0.468420396;-1;-1
-1;0.290322581;-0.440931381;-1;-1
-1;0.362903226;-0.523547095;-1;-1
-1;0.403225806;-0.567873991;-1;-1
-1;0.370967742;-0.532400176;-1;-1
-1;0.443548387;-0.61200659;-1;-1
-1;0.451612903;-0.620710769;-1;-1
-1;0.467741935;-0.638249072;-1;-1
-1;0.532258065;-0.707949994;-1;-1
-1;0.516129032;-0.690519391;-1;-1
-1;0.5;-0.673407252;-1;-1
-1;0.322580645;-0.477295436;-1;-1
-1;0.282258065;-0.431593208;-1;-1
-1;0.274193548;-0.419019537;-1;-1
-1;0.346774194;-0.506001828;-1;-1
-1;0.306451613;-0.458560031;-1;-1
-1;0.572580645;-0.749899088;-1;-1
-1;0.435483871;-0.603124603;-1;-1
-1;0.35483871;-0.514672055;-1;-1
-1;0.427419355;-0.594355722;-1;-1
-1;0.298387097;-0.449700262;-1;-1
-1;0.620967742;-0.796221955;-1;-1
-1;0.629032258;-0.805052268;-1;-1
-1;0.483870968;-0.655910872;-1;-1
-1;0.475806452;-0.647083548;-1;-1
-1;0.387096774;-0.550182665;-1;-1
-1;0.540322581;-0.716766619;-1;-1
-1;0.411290323;-0.576727072;-1;-1
-1;0.419354839;-0.585495953;-1;-1
-1;0.508064516;-0.681826144;-1;-1
-1;0.459677419;-0.629561058;-1;-1
-1;0.524193548;-0.699270239;-1;-1
-1;0.548387097;-0.725004318;-1;-1
-1;0.596774194;-0.77510186;-1;-1
-1;0.580645161;-0.758095593;-1;-1
-1;0.612903226;-0.790839842;-1;-1
-1;0.556451613;-0.732770516;-1;-1
-1;0.564516129;-0.740428439;-1;-1
-1;0.330645161;-0.485455601;-1;-1
-1;0.39516129;-0.559009946;-1;-1
-1;0.588709677;-0.766898726;-1;-1
-1;0.491935484;-0.664604119;-1;-1
-1;0.60483871;-0.783039576;-1;-1
\n;;;;
-1;0.612903226;-0.782912609;-1;-1
-1;0.629032258;-0.799438434;-1;-1
-1;0.217741935;-0.355626972;-1;-1
-1;0.475806452;-0.646240965;-1;-1
-1;0.225806452;-0.366943206;-1;-1
-1;0.290322581;-0.442162244;-1;-1
-1;0.298387097;-0.452487482;-1;-1
-1;0.314516129;-0.469930759;-1;-1
-1;0.282258065;-0.433160471;-1;-1
-1;0.411290323;-0.576845769;-1;-1
-1;0.459677419;-0.629146182;-1;-1
-1;0.338709677;-0.497348407;-1;-1
-1;0.427419355;-0.594638819;-1;-1
-1;0.467741935;-0.637737573;-1;-1
-1;0.443548387;-0.612129016;-1;-1
-1;0.620967742;-0.790586171;-1;-1
-1;0.548387097;-0.722322421;-1;-1
-1;0.572580645;-0.746226546;-1;-1
-1;0.588709677;-0.761827884;-1;-1
-1;0.596774194;-0.768352458;-1;-1
-1;0.25;-0.396765671;-1;-1
-1;0.258064516;-0.406699376;-1;-1
-1;0.233870968;-0.376876911;-1;-1
-1;0.322580645;-0.479212865;-1;-1
-1;0.39516129;-0.559401674;-1;-1
-1;0.387096774;-0.550201268;-1;-1
-1;0.419354839;-0.585907109;-1;-1
-1;0.346774194;-0.505936029;-1;-1
-1;0.379032258;-0.541610255;-1;-1
-1;0.306451613;-0.461078495;-1;-1
-1;0.274193548;-0.424141276;-1;-1
-1;0.532258065;-0.705361929;-1;-1
-1;0.241935484;-0.385583384;-1;-1
-1;0.491935484;-0.663379483;-1;-1
-1;0.540322581;-0.71400959;-1;-1
-1;0.435483871;-0.603279795;-1;-1
-1;0.266129032;-0.415290389;-1;-1
-1;0.362903226;-0.524116351;-1;-1
-1;0.5;-0.672070103;-1;-1
-1;0.556451613;-0.730085331;-1;-1
-1;0.564516129;-0.738178511;-1;-1
-1;0.451612903;-0.62014041;-1;-1
-1;0.580645161;-0.753883175;-1;-1
-1;0.516129032;-0.688645947;-1;-1
-1;0.524193548;-0.696590656;-1;-1
-1;0.60483871;-0.776297167;-1;-1
-1;0.330645161;-0.488413271;-1;-1
-1;0.35483871;-0.514915945;-1;-1
-1;0.370967742;-0.532707364;-1;-1
-1;0.483870968;-0.655090186;-1;-1
-1;0.403225806;-0.568204807;-1;-1
-1;0.508064516;-0.680574735;-1;-1
\n;;;;
-1;0.25;-0.383583822;-1;-1
-1;0.596774194;-0.763115889;-1;-1
