Recall;NFS;MI;MacroF1
-1;0.427419355;-0.586991098;-0.99778303
-1;0.362903226;-0.515797703;-1
-1;0.443548387;-0.598872309;-0.99920811
-1;0.225806452;-0.36067795;-0.99952485
-1;0.330645161;-0.48156145;-0.99920811
-1;0.266129032;-0.409673256;-1
-1;0.330645161;-0.482023996;-0.99809968
-1;0.548387097;-0.708254509;-0.994617595
-1;0.314516129;-0.457617226;-1
-1;0.475806452;-0.628236139;-0.994617595
-1;0.508064516;-0.657906665;-0.997941352
-1;0.25;-0.393471566;-0.99809968
-1;0.217741935;-0.351847637;-0.999841612
-1;0.419354839;-0.569898435;-0.999841612
-1;0.572580645;-0.715518415;-0.996358351
-1;0.274193548;-0.419001943;-0.99920811
-1;0.379032258;-0.534053291;-0.999049747
-1;0.475806452;-0.626188532;-0.996358351
-1;0.266129032;-0.409722306;-0.99952485
-1;0.524193548;-0.681664305;-0.995725285
-1;0.233870968;-0.369531032;-0.998733038
-1;0.516129032;-0.662444996;-0.996833201
-1;0.379032258;-0.533664848;-0.999683228
-1;0.532258065;-0.690517273;-0.995092292
-1;0.241935484;-0.384643284;-0.998574691
-1;0.25;-0.386884011;-1
-1;0.298387097;-0.444137541;-0.999841612
-1;0.39516129;-0.551496519;-0.999683228
-1;0.39516129;-0.55152234;-0.998733038
-1;0.241935484;-0.383275045;-0.999841612
-1;0.443548387;-0.598904043;-0.999049747
-1;0.427419355;-0.5869132;-0.998258012
-1;0.362903226;-0.516402823;-0.998574691
-1;0.459677419;-0.620334813;-0.997466401
-1;0.322580645;-0.472064574;-0.99952485
-1;0.5;-0.649424764;-0.996674913
-1;0.39516129;-0.543813237;-0.999841612
-1;0.274193548;-0.41945267;-0.998733038
-1;0.298387097;-0.443986511;-1
-1;0.35483871;-0.50720669;-0.999841612
-1;0.411290323;-0.56772173;-0.99889139
-1;0.532258065;-0.690491451;-0.995883544
-1;0.225806452;-0.360747754;-0.998574691
-1;0.427419355;-0.586780205;-0.998416349
-1;0.330645161;-0.480808479;-0.999841612
-1;0.443548387;-0.605070226;-0.998574691
-1;0.5;-0.655203099;-0.996358351
-1;0.403225806;-0.558871356;-0.999049747
-1;0.5;-0.648848834;-0.998258012
-1;0.419354839;-0.578187907;-0.998733038
-1;0.282258065;-0.42726755;-1
-1;0.540322581;-0.699312855;-0.995725285
-1;0.330645161;-0.480855735;-0.999683228
-1;0.411290323;-0.567698487;-0.999049747
-1;0.411290323;-0.561338985;-0.999841612
-1;0.532258065;-0.684402422;-0.996041809
-1;0.411290323;-0.569468607;-0.998574691
-1;0.274193548;-0.418264269;-1
-1;0.419354839;-0.57492337;-0.99920811
-1;0.491935484;-0.640251237;-0.99809968
-1;0.258064516;-0.400869339;-1
-1;0.419354839;-0.570167268;-0.99952485
-1;0.346774194;-0.498463907;-0.999841612
-1;0.411290323;-0.569382867;-0.998733038
-1;0.516129032;-0.663941906;-0.996674913
-1;0.459677419;-0.620358826;-0.997308094
-1;0.298387097;-0.447046338;-0.999049747
-1;0.241935484;-0.378292997;-1
-1;0.435483871;-0.586085103;-0.99920811
-1;0.427419355;-0.585329903;-0.99889139
-1;0.483870968;-0.639983468;-0.997149791
-1;0.282258065;-0.428520816;-0.999049747
-1;0.580645161;-0.721127659;-0.996674913
-1;0.524193548;-0.681686959;-0.994934055
-1;0.35483871;-0.508000141;-0.99952485
-1;0.338709677;-0.490979179;-0.999683228
-1;0.451612903;-0.612029669;-0.997941352
-1;0.314516129;-0.464008234;-0.99952485
-1;0.387096774;-0.54376379;-0.999683228
-1;0.524193548;-0.675900754;-0.996674913
-1;0.403225806;-0.552885009;-0.999841612
-1;0.491935484;-0.650398912;-0.996041809
-1;0.435483871;-0.597212858;-0.997624713
-1;0.427419355;-0.582685641;-0.999683228
-1;0.419354839;-0.570432733;-0.999366477
\n;;;
-1;0.548387097;-0.667269823;-0.999049747
-1;0.612903226;-0.737088329;-0.997149791
-1;0.5;-0.642107583;-0.999366477
-1;0.35483871;-0.509647366;-0.99920811
-1;0.459677419;-0.625193248;-0.998416349
-1;0.25;-0.359477178;-0.999841612
-1;0.540322581;-0.692560544;-0.998258012
-1;0.427419355;-0.585014654;-0.99920811
-1;0.451612903;-0.616919082;-0.997466401
-1;0.459677419;-0.595662322;-0.999683228
-1;0.298387097;-0.440904382;-0.999841612
-1;0.346774194;-0.496558377;-0.999841612
-1;0.290322581;-0.436233498;-0.99778303
-1;0.370967742;-0.52788264;-0.998574691
-1;0.314516129;-0.461112025;-0.999366477
-1;0.338709677;-0.491436773;-0.997466401
-1;0.330645161;-0.482938323;-0.998258012
-1;0.39516129;-0.548457196;-0.999841612
-1;0.491935484;-0.659912214;-0.996358351
-1;0.60483871;-0.740522147;-0.996200078
-1;0.524193548;-0.678280559;-0.997308094
-1;0.524193548;-0.660374206;-0.999049747
-1;0.443548387;-0.600974759;-0.998733038
-1;0.35483871;-0.509651226;-0.998416349
-1;0.483870968;-0.651590612;-0.996674913
-1;0.387096774;-0.545737113;-0.999366477
-1;0.548387097;-0.674989043;-0.99889139
-1;0.419354839;-0.58230185;-0.998733038
-1;0.290322581;-0.432052118;-0.999841612
-1;0.564516129;-0.713251745;-0.998258012
