Recall;NFS;MI;MacroF1;ACC
-0.790888723;0.257575758;-0.474960505;-0.860123989;-0.867958271
-0.957191781;0.340909091;-0.560935648;-0.949958353;-0.954098361
-0.959798995;0.310606061;-0.546212853;-0.896598036;-0.908494784
-0.972850679;0.318181818;-0.524629646;-0.94177655;-0.947242921
-0.971014493;0.189393939;-0.293306902;-0.894204001;-0.907004471
-0.797231834;0.310606061;-0.548510268;-0.8870536;-0.891803279
-0.885596708;0.174242424;-0.250331119;-0.908177532;-0.915052161
-0.956880734;0.295454545;-0.531371113;-0.92543107;-0.932637854
-0.907751938;0.25;-0.417332196;-0.945914683;-0.949329359
-0.970961887;0.393939394;-0.628359259;-0.939437249;-0.945156483
-0.912087912;0.295454545;-0.473935594;-0.945136709;-0.948733234
-0.958120531;0.515151515;-0.684442829;-0.89013089;-0.903129657
-0.981273408;0.295454545;-0.500666991;-0.93569622;-0.942175857
-0.970053476;0.196969697;-0.299338429;-0.882823951;-0.897764531
-0.987077535;0.242424242;-0.436197666;-0.918694326;-0.927868852
-0.915481833;0.356060606;-0.620213129;-0.945703374;-0.949329359
-0.877630553;0.431818182;-0.715438904;-0.919417764;-0.924590164
-0.91606134;0.325757576;-0.575238452;-0.93871876;-0.943070045
-0.957428323;0.522727273;-0.693781193;-0.944907552;-0.949627422
-0.906456954;0.477272727;-0.743049734;-0.922579901;-0.928464978
-0.88585209;0.454545455;-0.739293341;-0.916010428;-0.921907601
-0.978680203;0.348484848;-0.574815958;-0.905812678;-0.916840537
-0.946887967;0.234848485;-0.302558972;-0.953200342;-0.956780924
-0.855384615;0.378787879;-0.646642498;-0.905342063;-0.911177347
-0.961469534;0.424242424;-0.69162624;-0.93698135;-0.942771982
-0.944542254;0.174242424;-0.226464749;-0.930690032;-0.93681073
-0.964695499;0.46969697;-0.613685542;-0.944715911;-0.949627422
-0.985044865;0.318181818;-0.504427685;-0.916285746;-0.925782414
-0.864380359;0.25;-0.455632827;-0.90858853;-0.914456036
-0.967063129;0.507575758;-0.677948288;-0.933720579;-0.940089419
-0.983677911;0.257575758;-0.46061744;-0.885791367;-0.900745156
-0.983796296;0.303030303;-0.500309462;-0.865739673;-0.884947839
-0.947413062;0.257575758;-0.367718107;-0.945844778;-0.950223547
-0.958376691;0.492424242;-0.679193566;-0.884233561;-0.898360656
-0.920989625;0.53030303;-0.721872606;-0.946545979;-0.950223547
-0.882258065;0.386363636;-0.661724008;-0.912103713;-0.918330849
-0.917731629;0.174242424;-0.232669664;-0.943655757;-0.947540984
-0.917633411;0.21969697;-0.408240471;-0.825300003;-0.850372578
-0.925925926;0.53030303;-0.735857632;-0.891931068;-0.903129657
-0.958296362;0.348484848;-0.601874219;-0.938100773;-0.94366617
-0.867155664;0.265151515;-0.485278745;-0.896795832;-0.904321908
-0.920289855;0.431818182;-0.692406715;-0.942918966;-0.946944858
-0.952582557;0.303030303;-0.396347564;-0.950403011;-0.954396423
-0.980026631;0.196969697;-0.372423228;-0.820154415;-0.850670641
-0.981220657;0.340909091;-0.535581911;-0.934660524;-0.941281669
-0.938362466;0.242424242;-0.441232413;-0.911188439;-0.919821162
-0.922800718;0.598484848;-0.740501713;-0.908061177;-0.916542474
-0.82150695;0.409090909;-0.681560407;-0.892142095;-0.897764531
-0.924619086;0.265151515;-0.361763549;-0.947773519;-0.951415797
-0.927013423;0.401515152;-0.671255632;-0.934003462;-0.939195231
-0.981378026;0.234848485;-0.417929695;-0.937763357;-0.943964232
-0.951282051;0.386363636;-0.645757458;-0.946079141;-0.95052161
-0.948590381;0.189393939;-0.225047916;-0.954822186;-0.958271237
-0.989701339;0.212121212;-0.392384759;-0.908214708;-0.919225037
-0.939868204;0.242424242;-0.328839892;-0.950374894;-0.954098361
-0.938423645;0.21969697;-0.265479233;-0.950409836;-0.954098361
-0.962930274;0.325757576;-0.509861514;-0.943407412;-0.948435171
-0.947942905;0.287878788;-0.385483769;-0.949846465;-0.953800298
-0.967680608;0.204545455;-0.31010981;-0.920843336;-0.929061103
-0.877725857;0.416666667;-0.700963434;-0.919749215;-0.924888227
-0.968864469;0.386363636;-0.631278913;-0.934696467;-0.940983607
-0.985133796;0.303030303;-0.481283382;-0.918413526;-0.92757079
-0.976082005;0.212121212;-0.395273899;-0.866229728;-0.884947839
-0.839155158;0.340909091;-0.580543054;-0.875662454;-0.884649776
-0.888353414;0.356060606;-0.622075816;-0.918268302;-0.923994039
-0.967860422;0.363636364;-0.602810868;-0.933006193;-0.939493294
-0.866032844;0.310606061;-0.546427701;-0.87789283;-0.888226528
-0.982391103;0.272727273;-0.472345278;-0.940143078;-0.946050671
-0.966052376;0.310606061;-0.539560616;-0.912797446;-0.922205663
-0.972948602;0.340909091;-0.57988078;-0.943138095;-0.948435171
-0.970414201;0.28030303;-0.496425594;-0.910120729;-0.920119225
-0.987012987;0.204545455;-0.392156505;-0.889700627;-0.904023845
-0.918297872;0.454545455;-0.737800471;-0.922439083;-0.92876304
-0.967771639;0.318181818;-0.565192209;-0.931974162;-0.938599106
-0.897727273;0.242424242;-0.39418434;-0.945534974;-0.948733234
-0.960801394;0.363636364;-0.578698206;-0.946506835;-0.951117735
-0.960869565;0.409090909;-0.668982045;-0.947179403;-0.95171386
-0.898989899;0.401515152;-0.672602755;-0.937931137;-0.941877794
-0.9192;0.287878788;-0.472763887;-0.944277274;-0.948137109
-0.964285714;0.46969697;-0.616769174;-0.940310988;-0.945752608
-0.967592593;0.5;-0.665883615;-0.929905897;-0.93681073
-0.98411215;0.257575758;-0.45324655;-0.938373835;-0.944560358
-0.961639058;0.371212121;-0.592049505;-0.946822823;-0.951415797
-0.966958212;0.401515152;-0.649073836;-0.912759115;-0.922205663
-0.966492147;0.356060606;-0.58238848;-0.887467914;-0.901341282
-0.92153723;0.507575758;-0.716623343;-0.945869372;-0.949627422
-0.9088;0.446969697;-0.708202425;-0.93595089;-0.940387481
-0.937937063;0.181818182;-0.238701192;-0.928185747;-0.93442623
-0.937931034;0.446969697;-0.71905321;-0.932960505;-0.938599106
-0.947890819;0.196969697;-0.237011188;-0.955168829;-0.9585693
-0.93843594;0.21969697;-0.289642706;-0.945747841;-0.949925484
-0.93877551;0.204545455;-0.24924763;-0.952721841;-0.956184799
-0.982193065;0.234848485;-0.420302554;-0.936014212;-0.94247392
-0.981360671;0.325757576;-0.515199066;-0.937419226;-0.94366617
-0.963573287;0.340909091;-0.529311389;-0.950142415;-0.954396423
-0.908227848;0.46969697;-0.713352582;-0.939295471;-0.943368107
-0.876127974;0.303030303;-0.539903782;-0.901802953;-0.909090909
-0.980612245;0.265151515;-0.461959255;-0.905365534;-0.916542474
-0.924897959;0.356060606;-0.607972192;-0.941786757;-0.946050671
-0.932603201;0.424242424;-0.691801273;-0.936857628;-0.941877794
\n;;;;
-0.888198758;0.651515152;-0.804381514;-0.839949643;-0.859314456
-0.85703125;0.340909091;-0.596821531;-0.901852282;-0.908196721
-0.944305902;0.227272727;-0.39861691;-0.950600633;-0.954396423
-0.952991453;0.401515152;-0.603100141;-0.947378439;-0.95171386
-0.911463187;0.628787879;-0.767505796;-0.887751945;-0.898956781
-0.873104549;0.621212121;-0.773583927;-0.908135904;-0.914456036
-0.962453066;0.325757576;-0.563431003;-0.829001182;-0.856035768
-0.912280702;0.204545455;-0.353619941;-0.939834313;-0.943964232
-0.918124006;0.477272727;-0.629952086;-0.945631244;-0.949329359
-0.796863863;0.598484848;-0.777500164;-0.878291543;-0.884053651
-0.956607495;0.325757576;-0.568814589;-0.900730358;-0.911773472
-0.974157303;0.378787879;-0.625859301;-0.869406535;-0.88733234
-0.986551393;0.28030303;-0.464032797;-0.930323372;-0.937704918
-0.958939264;0.477272727;-0.604529557;-0.951592126;-0.955588674
-0.961389961;0.386363636;-0.661095432;-0.911224103;-0.92071535
-0.969405594;0.348484848;-0.419142809;-0.951688593;-0.955886736
-0.98;0.227272727;-0.32345569;-0.894481185;-0.907600596
-0.952846975;0.492424242;-0.63203037;-0.933148687;-0.939195231
-0.942404007;0.257575758;-0.447008951;-0.947647807;-0.95171386
-0.90941073;0.28030303;-0.509662505;-0.904880734;-0.913263785
-0.966700303;0.363636364;-0.621984005;-0.899874506;-0.91147541
-0.922267206;0.348484848;-0.572685598;-0.942529495;-0.946646796
-0.863064397;0.242424242;-0.432597322;-0.924040122;-0.928166915
-0.97337963;0.212121212;-0.383864479;-0.859478829;-0.879582712
-0.964061096;0.287878788;-0.518906665;-0.937928908;-0.94366617
-0.96453202;0.560606061;-0.712751246;-0.906452573;-0.916840537
-0.943791946;0.507575758;-0.650607809;-0.94694396;-0.951117735
-0.963551402;0.356060606;-0.610556914;-0.923795602;-0.931445604
-0.973516949;0.257575758;-0.41672672;-0.888192846;-0.902235469
-0.874422188;0.196969697;-0.291017324;-0.92056389;-0.925484352
-0.965053763;0.401515152;-0.514061361;-0.939607127;-0.945156483
-0.822070145;0.674242424;-0.847035869;-0.847628906;-0.860208644
-0.971671388;0.21969697;-0.323224067;-0.925942948;-0.933532042
-0.770203795;0.545454545;-0.797565113;-0.858647172;-0.864977645
-0.979186377;0.340909091;-0.476647456;-0.930562714;-0.937704918
-0.957662997;0.325757576;-0.51489006;-0.954292971;-0.957973174
-0.881818182;0.416666667;-0.70809523;-0.874215522;-0.886140089
-0.897456932;0.363636364;-0.618529721;-0.918544744;-0.924590164
-0.892561983;0.333333333;-0.591277156;-0.878883118;-0.890611028
-0.765374332;0.439393939;-0.731298113;-0.867658422;-0.87242921
-0.928698752;0.598484848;-0.743367393;-0.914763711;-0.922503726
-0.92898431;0.204545455;-0.303303102;-0.940998608;-0.945454545
-0.97834275;0.393939394;-0.581961562;-0.931632101;-0.938599106
-0.951120163;0.371212121;-0.631328056;-0.886491333;-0.899850969
-0.81714876;0.568181818;-0.770855686;-0.793930577;-0.818777943
-0.907772021;0.575757576;-0.719967297;-0.852461144;-0.870342772
-0.973893303;0.295454545;-0.518578191;-0.865987285;-0.884649776
-0.973591549;0.265151515;-0.472975902;-0.952267664;-0.956482861
-0.953196347;0.598484848;-0.714926855;-0.8515974;-0.87242921
-0.968897267;0.507575758;-0.656359661;-0.924646583;-0.932339791
-0.882067851;0.333333333;-0.587623621;-0.911431851;-0.917734724
-0.813352477;0.575757576;-0.75466461;-0.890656656;-0.895976155
-0.845971564;0.598484848;-0.772140219;-0.889490397;-0.896870343
-0.915145985;0.621212121;-0.756462135;-0.897181478;-0.907004471
-0.89527027;0.318181818;-0.564787814;-0.907340346;-0.914754098
-0.97291441;0.227272727;-0.434390946;-0.880422389;-0.895976155
-0.829157175;0.378787879;-0.646414295;-0.887534845;-0.894187779
-0.974383302;0.310606061;-0.55755288;-0.926196399;-0.933830104
-0.97287839;0.272727273;-0.482173811;-0.953964728;-0.957973174
-0.962181179;0.356060606;-0.57609176;-0.944105174;-0.949031297
-0.935590421;0.28030303;-0.490953237;-0.9461572;-0.950223547
-0.766691673;0.659090909;-0.831121789;-0.838507822;-0.847690015
-0.965178571;0.393939394;-0.50210737;-0.940966911;-0.946348733
-0.965827338;0.46969697;-0.607013418;-0.938901956;-0.944560358
-0.890410959;0.295454545;-0.530322639;-0.879031763;-0.890611028
-0.928917609;0.227272727;-0.40824193;-0.948656145;-0.952309985
-0.918699187;0.606060606;-0.754723812;-0.865608529;-0.881371088
-0.921031426;0.492424242;-0.627435264;-0.943229971;-0.947242921
-0.913290113;0.356060606;-0.583440747;-0.935133861;-0.939791356
-0.814882033;0.651515152;-0.811814688;-0.826211235;-0.842622951
-0.943686007;0.234848485;-0.3488993;-0.940903967;-0.945752608
-0.868913858;0.242424242;-0.433643979;-0.925123039;-0.929359165
-0.809705043;0.545454545;-0.784695836;-0.810049794;-0.829806259
-0.970017637;0.356060606;-0.431587647;-0.948978478;-0.953502235
-0.933078394;0.409090909;-0.690854839;-0.894765534;-0.905812221
-0.967411546;0.401515152;-0.688330367;-0.927831977;-0.935022355
-0.973321067;0.257575758;-0.459016489;-0.936280181;-0.94247392
-0.944444444;0.5;-0.6414099;-0.94625784;-0.95052161
-0.947826087;0.348484848;-0.565771206;-0.937397811;-0.942771982
-0.862426036;0.204545455;-0.376311331;-0.923736134;-0.927868852
-0.970464135;0.265151515;-0.469360845;-0.887619521;-0.901639344
