Recall;NFS;MI;MacroF1;ACC
-0.996734694;0.234848485;-0.467114167;-0.998391899;-0.998509687
-1;0.439393939;-0.764596853;-0.999678155;-0.999701937
-0.99755102;0.46969697;-0.805724775;-0.99903514;-0.999105812
-0.999182339;0.287878788;-0.543787858;-0.999678268;-0.999701937
-0.999180999;0.242424242;-0.47388643;-0.999034466;-0.999105812
-0.999181669;0.431818182;-0.762928275;-0.999356423;-0.999403875
-1;0.295454545;-0.557240147;-0.999678155;-0.999701937
-0.99755102;0.560606061;-0.893128948;-0.99903514;-0.999105812
-0.99755102;0.28030303;-0.544007292;-0.99903514;-0.999105812
-0.998366013;0.439393939;-0.777522903;-0.999356648;-0.999403875
-0.999182339;0.333333333;-0.622479799;-0.999678268;-0.999701937
-0.995921697;0.537878788;-0.868185445;-0.998070615;-0.998211624
-0.995114007;0.378787879;-0.696073803;-0.998071285;-0.998211624
-0.99755102;0.628787879;-0.889407435;-0.99903514;-0.999105812
-0.99592502;0.295454545;-0.564284879;-0.998392458;-0.998509687
-0.998366013;0.477272727;-0.813918586;-0.999356648;-0.999403875
-0.99592502;0.340909091;-0.635953614;-0.998392458;-0.998509687
-0.998364677;0.189393939;-0.350244834;-0.999034803;-0.999105812
-0.99755102;0.446969697;-0.783639672;-0.99903514;-0.999105812
-0.999181669;0.340909091;-0.635191334;-0.999356423;-0.999403875
-0.99755102;0.522727273;-0.830010875;-0.99903514;-0.999105812
-0.999182339;0.568181818;-0.809368403;-0.999678268;-0.999701937
-0.999182339;0.393939394;-0.705678985;-0.999678268;-0.999701937
-0.99755102;0.522727273;-0.865026472;-0.99903514;-0.999105812
-0.999182339;0.378787879;-0.690857046;-0.999678268;-0.999701937
-0.99755102;0.401515152;-0.724730168;-0.99903514;-0.999105812
-0.996737357;0.371212121;-0.685836844;-0.998713743;-0.99880775
-0.998366013;0.5;-0.852119258;-0.999356648;-0.999403875
-0.99755102;0.318181818;-0.600524329;-0.99903514;-0.999105812
-0.996737357;0.462121212;-0.799652612;-0.998713743;-0.99880775
-0.998366013;0.287878788;-0.549749757;-0.999356648;-0.999403875
-0.999182339;0.242424242;-0.47539609;-0.999678268;-0.999701937
-1;0.393939394;-0.716988519;-1;-1
-0.99755102;0.484848485;-0.840569335;-0.99903514;-0.999105812
-0.99755102;0.53030303;-0.852692673;-0.99903514;-0.999105812
-0.999181669;0.234848485;-0.461871969;-0.999356423;-0.999403875
-0.999181669;0.265151515;-0.515198566;-0.999356423;-0.999403875
-0.998366013;0.242424242;-0.475434839;-0.999356648;-0.999403875
-0.99755102;0.515151515;-0.832246479;-0.99903514;-0.999105812
-1;0.371212121;-0.684800515;-1;-1
-0.996737357;0.431818182;-0.773323384;-0.998713743;-0.99880775
-0.99592502;0.409090909;-0.737630747;-0.998392458;-0.998509687
-0.999180328;0.204545455;-0.417010662;-0.998712396;-0.99880775
-0.996737357;0.287878788;-0.553513498;-0.998713743;-0.99880775
-0.99755102;0.333333333;-0.625873969;-0.99903514;-0.999105812
-0.999182339;0.371212121;-0.681861882;-0.999678268;-0.999701937
-0.99755102;0.515151515;-0.856314431;-0.99903514;-0.999105812
-0.99755102;0.378787879;-0.688067722;-0.99903514;-0.999105812
-0.996737357;0.507575758;-0.862786595;-0.998713743;-0.99880775
-0.99755102;0.212121212;-0.429689483;-0.99903514;-0.999105812
-0.99755102;0.227272727;-0.45333387;-0.99903514;-0.999105812
-0.999181669;0.303030303;-0.572262101;-0.999356423;-0.999403875
-1;0.424242424;-0.751188402;-0.999678155;-0.999701937
-0.999181669;0.28030303;-0.538842953;-0.999356423;-0.999403875
-0.998366013;0.507575758;-0.826927775;-0.999356648;-0.999403875
-1;0.386363636;-0.704974058;-0.999678155;-0.999701937
-0.998364677;0.257575758;-0.498772256;-0.999034803;-0.999105812
-0.999182339;0.477272727;-0.804751268;-0.999678268;-0.999701937
-0.996737357;0.348484848;-0.647201534;-0.998713743;-0.99880775
-0.998366013;0.492424242;-0.822229951;-0.999356648;-0.999403875
-0.999181669;0.295454545;-0.561703747;-0.999356423;-0.999403875
-0.99755102;0.363636364;-0.6634762;-0.99903514;-0.999105812
-0.99755102;0.606060606;-0.881364952;-0.99903514;-0.999105812
-0.999181669;0.227272727;-0.446933807;-0.999356423;-0.999403875
-0.996737357;0.363636364;-0.673392005;-0.998713743;-0.99880775
-0.99755102;0.477272727;-0.831688984;-0.99903514;-0.999105812
-0.99755102;0.46969697;-0.817733527;-0.99903514;-0.999105812
-0.99755102;0.325757576;-0.613086134;-0.99903514;-0.999105812
-1;0.310606061;-0.587762943;-0.999678155;-0.999701937
-1;0.318181818;-0.599142139;-0.999678155;-0.999701937
-0.996737357;0.356060606;-0.661975711;-0.998713743;-0.99880775
-0.99755102;0.439393939;-0.777118542;-0.99903514;-0.999105812
-0.999181669;0.212121212;-0.426516868;-0.999356423;-0.999403875
-1;0.522727273;-0.783362332;-1;-1
-0.999181669;0.378787879;-0.694306721;-0.999356423;-0.999403875
-1;0.333333333;-0.621823936;-1;-1
-0.996737357;0.393939394;-0.719672952;-0.998713743;-0.99880775
-0.996737357;0.424242424;-0.761369393;-0.998713743;-0.99880775
-0.999182339;0.295454545;-0.560845621;-0.999678268;-0.999701937
-0.996737357;0.363636364;-0.673283082;-0.998713743;-0.99880775
-0.996737357;0.462121212;-0.817003822;-0.998713743;-0.99880775
-0.999182339;0.21969697;-0.443742232;-0.999678268;-0.999701937
-0.995110024;0.598484848;-0.869691534;-0.997749442;-0.997913562
-0.999182339;0.378787879;-0.687053186;-0.999678268;-0.999701937
-1;0.356060606;-0.657873132;-0.999678155;-0.999701937
-0.99755102;0.356060606;-0.661186442;-0.99903514;-0.999105812
-0.99754902;0.25;-0.489454891;-0.998713295;-0.99880775
-0.999181669;0.386363636;-0.70454368;-0.999356423;-0.999403875
-0.995114007;0.386363636;-0.708138229;-0.998071285;-0.998211624
-0.995114007;0.409090909;-0.744252987;-0.998071285;-0.998211624
\n;;;;
-1;0.462121212;-0.751484962;-1;-1
-1;0.257575758;-0.478848578;-1;-1
-1;0.393939394;-0.686990297;-0.999678155;-0.999701937
-1;0.340909091;-0.612479735;-1;-1
-1;0.507575758;-0.764268723;-1;-1
-0.996737357;0.46969697;-0.796367311;-0.998713743;-0.99880775
-1;0.287878788;-0.526601224;-1;-1
-1;0.462121212;-0.732694439;-1;-1
-0.99755102;0.484848485;-0.764350302;-0.99903514;-0.999105812
-0.999181669;0.386363636;-0.678344655;-0.999356423;-0.999403875
-0.995114007;0.492424242;-0.802783622;-0.998071285;-0.998211624
-0.99755102;0.484848485;-0.800165742;-0.99903514;-0.999105812
-0.996737357;0.454545455;-0.762727436;-0.998713743;-0.99880775
-0.99755102;0.318181818;-0.57829338;-0.99903514;-0.999105812
-0.998366013;0.431818182;-0.754077164;-0.999356648;-0.999403875
-0.99755102;0.401515152;-0.706740515;-0.99903514;-0.999105812
-0.999181669;0.204545455;-0.384757744;-0.999356423;-0.999403875
-0.995921697;0.439393939;-0.76206338;-0.998070615;-0.998211624
-0.99592502;0.575757576;-0.823387388;-0.998392458;-0.998509687
-0.99755102;0.560606061;-0.844683125;-0.99903514;-0.999105812
