Recall;NFS;MI;MacroF1;ACC
-0.944630872;0.348484848;-0.479477841;-0.947590985;-0.95171386
-0.989096573;0.303030303;-0.41260538;-0.779377576;-0.82295082
-0.989147287;0.310606061;-0.425393802;-0.780708793;-0.823845007
-0.960857409;0.204545455;-0.313093783;-0.922850157;-0.930551416
-0.758465011;0.446969697;-0.769232887;-0.830820815;-0.840536513
-0.804219409;0.621212121;-0.900962607;-0.837713343;-0.850670641
-0.956950673;0.189393939;-0.334847075;-0.933357639;-0.939493294
-0.797752809;0.363636364;-0.644573537;-0.805762809;-0.82533532
-0.917218543;0.356060606;-0.619002054;-0.930967078;-0.936214605
-0.82358403;0.310606061;-0.57227195;-0.826309607;-0.843517139
-0.982142857;0.318181818;-0.495047824;-0.788875826;-0.828912072
-0.940379404;0.212121212;-0.381828306;-0.793871106;-0.829508197
-0.956521739;0.212121212;-0.340297017;-0.801680191;-0.836065574
-0.954007884;0.196969697;-0.317566591;-0.80994525;-0.841728763
-0.956912029;0.196969697;-0.348791071;-0.933016001;-0.939195231
-0.958279009;0.204545455;-0.32962968;-0.81456526;-0.845305514
-0.800982801;0.606060606;-0.878231639;-0.843261612;-0.854843517
-0.977329975;0.227272727;-0.392487599;-0.835495837;-0.861698957
-0.959365709;0.409090909;-0.655166444;-0.900954692;-0.912071535
-0.910891089;0.371212121;-0.662929086;-0.898478104;-0.907898659
-0.947173309;0.303030303;-0.553705916;-0.915009785;-0.923397914
-0.88244898;0.462121212;-0.754349514;-0.908338263;-0.915052161
-0.951977401;0.348484848;-0.612247683;-0.913046652;-0.921907601
-0.927609428;0.204545455;-0.359834733;-0.933307922;-0.938599106
-0.781730769;0.409090909;-0.725458659;-0.78792364;-0.810432191
-0.832618026;0.583333333;-0.848104908;-0.854667618;-0.866766021
-0.837411208;0.522727273;-0.789621855;-0.882802502;-0.890611028
-0.950777202;0.356060606;-0.534065831;-0.942050769;-0.946944858
-0.930313589;0.318181818;-0.501297685;-0.923674386;-0.930253353
-0.844080847;0.454545455;-0.745477877;-0.830902372;-0.848882265
-0.851851852;0.386363636;-0.681357812;-0.817826902;-0.839642325
-0.77972028;0.21969697;-0.397910526;-0.868441349;-0.874217586
-0.977886978;0.234848485;-0.404530421;-0.843465881;-0.867660209
-0.978034682;0.333333333;-0.468998301;-0.862645378;-0.882265276
-0.838918919;0.409090909;-0.715794456;-0.796236225;-0.822652757
-0.902671756;0.560606061;-0.801725756;-0.874172521;-0.88733234
-0.765258216;0.477272727;-0.794323252;-0.826591924;-0.837853949
-0.938303342;0.371212121;-0.635464135;-0.935323697;-0.940685544
-0.915642916;0.227272727;-0.37583568;-0.933378139;-0.938301043
-0.98381071;0.325757576;-0.458700713;-0.842631461;-0.867362146
-0.814053128;0.598484848;-0.866287923;-0.841071799;-0.854247392
-0.841820988;0.575757576;-0.830779197;-0.893204045;-0.899850969
-0.956255468;0.340909091;-0.566496733;-0.941558059;-0.946646796
-0.85202639;0.568181818;-0.85535108;-0.842322146;-0.858420268
-0.862124899;0.393939394;-0.691988258;-0.89433349;-0.901937407
-0.809982487;0.613636364;-0.888898977;-0.832151119;-0.846795827
-0.903066271;0.537878788;-0.781187983;-0.86341245;-0.878688525
-0.780181438;0.21969697;-0.407903206;-0.869427667;-0.875111773
-0.906309751;0.5;-0.727928029;-0.876116388;-0.889120715
-0.953084275;0.363636364;-0.601383899;-0.941647644;-0.946646796
-0.958812261;0.46969697;-0.68939762;-0.912044603;-0.921311475
-0.970449173;0.310606061;-0.549720285;-0.85111654;-0.873025335
-0.896498054;0.242424242;-0.453276898;-0.935363946;-0.939493294
-0.911511355;0.257575758;-0.463562989;-0.945482349;-0.949031297
-0.797316384;0.553030303;-0.812611108;-0.881315621;-0.886736215
-0.800490597;0.378787879;-0.67704784;-0.843316384;-0.854843517
-0.844541485;0.492424242;-0.775860737;-0.858683675;-0.870938897
-0.91229444;0.25;-0.439229856;-0.946119982;-0.949627422
-0.95623216;0.340909091;-0.595024754;-0.9125098;-0.921609538
-0.809172809;0.515151515;-0.801286673;-0.849698507;-0.860804769
-0.849957374;0.598484848;-0.841398246;-0.869818108;-0.8804769
-0.834410339;0.537878788;-0.834339514;-0.873565758;-0.882563338
-0.949068323;0.204545455;-0.369921875;-0.823633879;-0.851266766
-0.868131868;0.553030303;-0.820909372;-0.862136986;-0.875409836
-0.948096886;0.378787879;-0.580689798;-0.939423361;-0.944560358
-0.833333333;0.393939394;-0.704945824;-0.827865147;-0.845603577
-0.955760369;0.416666667;-0.659168343;-0.923042285;-0.930551416
-0.867805755;0.613636364;-0.8640093;-0.867292422;-0.879582712
-0.914421553;0.257575758;-0.442590234;-0.943749795;-0.947540984
-0.876040703;0.439393939;-0.720610291;-0.86479933;-0.878092399
-0.900076864;0.303030303;-0.467318459;-0.942515483;-0.946050671
-0.80942029;0.416666667;-0.708482698;-0.884494513;-0.890312966
-0.764532745;0.46969697;-0.783655915;-0.841646516;-0.850074516
-0.812445223;0.431818182;-0.767254059;-0.833751803;-0.84828614
-0.916230366;0.325757576;-0.593119444;-0.854830209;-0.872727273
-0.966367713;0.318181818;-0.475608387;-0.865329607;-0.883755589
-0.888141295;0.507575758;-0.772889312;-0.903217005;-0.910879285
-0.866071429;0.522727273;-0.804599317;-0.868159435;-0.880178838
-0.774774775;0.5;-0.798048304;-0.866483765;-0.872131148
-0.858195212;0.568181818;-0.823602402;-0.853381203;-0.867660209
-0.778110945;0.484848485;-0.792707703;-0.848327648;-0.856929955
-0.943364328;0.25;-0.404302779;-0.943940349;-0.948435171
-0.915674603;0.492424242;-0.743142727;-0.871044202;-0.885543964
-0.928571429;0.424242424;-0.673400965;-0.852705807;-0.871833085
-0.970588235;0.287878788;-0.472208378;-0.865052933;-0.883755589
-0.831234257;0.416666667;-0.701191204;-0.859893674;-0.870938897
-0.955508475;0.378787879;-0.644414985;-0.87660308;-0.892101341
-0.896656535;0.272727273;-0.466389118;-0.943600324;-0.946944858
-0.965027322;0.265151515;-0.491132494;-0.872631888;-0.889418778
-0.959446093;0.303030303;-0.560654979;-0.901670388;-0.91266766
-0.858247423;0.53030303;-0.785086468;-0.873826507;-0.884351714
-0.780096308;0.53030303;-0.823822204;-0.832077848;-0.843815201
-0.852969815;0.545454545;-0.831328074;-0.833801448;-0.851862891
-0.833823529;0.439393939;-0.748765512;-0.901161477;-0.906408346
-0.937014668;0.242424242;-0.411554805;-0.931971354;-0.937704918
-0.85975024;0.484848485;-0.784179168;-0.842310788;-0.859016393
-0.961024499;0.295454545;-0.541218148;-0.864156082;-0.882563338
-0.829586657;0.431818182;-0.73667385;-0.901743708;-0.906706408
-0.830071174;0.575757576;-0.833377447;-0.842702793;-0.856929955
-0.848101266;0.401515152;-0.701929307;-0.808612639;-0.832488823
-0.951612903;0.25;-0.483596436;-0.910238864;-0.9195231
-0.895719844;0.265151515;-0.477610032;-0.934727137;-0.938897168
-0.900262467;0.462121212;-0.714473231;-0.899767174;-0.908494784
-0.923555556;0.28030303;-0.515044296;-0.911865387;-0.919821162
-0.954365079;0.371212121;-0.586574004;-0.897238349;-0.908792846
-0.982188295;0.303030303;-0.433947436;-0.835121445;-0.861698957
-0.897943641;0.25;-0.430539121;-0.943891153;-0.947242921
-0.935264055;0.272727273;-0.461588588;-0.93508343;-0.940387481
-0.957509881;0.287878788;-0.50555305;-0.900685882;-0.911773472
-0.96653144;0.28030303;-0.527348068;-0.89807167;-0.909985097
-0.841399851;0.545454545;-0.800311237;-0.903754494;-0.909090909
-0.976635514;0.371212121;-0.509282034;-0.858484352;-0.878986587
\n;;;;
-0.827419355;0.681818182;-0.88035256;-0.868476359;-0.877794337
-0.967297762;0.303030303;-0.507945135;-0.955757601;-0.959463487
-0.789558233;0.590909091;-0.901977646;-0.839421251;-0.850670641
-0.766251729;0.477272727;-0.79202566;-0.859379439;-0.865275708
-0.884770346;0.21969697;-0.277646076;-0.914363854;-0.920417288
-0.985057471;0.28030303;-0.415844172;-0.868729024;-0.88733234
-0.960205392;0.21969697;-0.331985405;-0.820192367;-0.84947839
-0.788172043;0.378787879;-0.638948748;-0.765361079;-0.795529061
-0.982708934;0.272727273;-0.404226055;-0.798377931;-0.835469449
-0.967095851;0.242424242;-0.358445115;-0.792493078;-0.830402385
-0.950503356;0.424242424;-0.599963395;-0.952120159;-0.955886736
-0.775467775;0.462121212;-0.768472728;-0.867106218;-0.872727273
-0.81029552;0.454545455;-0.753090377;-0.809968169;-0.829806259
-0.842570281;0.651515152;-0.83978463;-0.881729425;-0.890014903
-0.948586118;0.310606061;-0.545552178;-0.943123854;-0.947839046
-0.872518286;0.439393939;-0.7247625;-0.827034688;-0.84828614
-0.964819701;0.356060606;-0.585357334;-0.946066396;-0.950819672
-0.795750514;0.393939394;-0.657688223;-0.888495372;-0.892995529
-0.961191336;0.522727273;-0.732198768;-0.934250495;-0.940387481
-0.967166979;0.287878788;-0.442691397;-0.92505784;-0.932637854
-0.978482446;0.265151515;-0.446765269;-0.869517539;-0.887630402
-0.972704715;0.25;-0.365975101;-0.837463465;-0.862891207
-0.824591574;0.636363636;-0.880573282;-0.848107997;-0.860804769
-0.924423963;0.553030303;-0.797433345;-0.900582522;-0.910283159
-0.960582691;0.325757576;-0.560070361;-0.952224038;-0.956184799
-0.960817717;0.310606061;-0.521145122;-0.954558401;-0.958271237
-0.949604743;0.439393939;-0.683623621;-0.895317552;-0.907004471
-0.781881533;0.621212121;-0.850923405;-0.871330854;-0.876900149
-0.908241291;0.227272727;-0.289850692;-0.915330936;-0.922205663
-0.837138508;0.643939394;-0.83727966;-0.893504782;-0.899850969
-0.92742616;0.242424242;-0.313712541;-0.932299578;-0.937704918
-0.967411546;0.28030303;-0.43059513;-0.927831977;-0.935022355
-0.883435583;0.5;-0.759463404;-0.886663803;-0.89657228
-0.922134733;0.522727273;-0.793525396;-0.916091739;-0.923397914
-0.922421949;0.537878788;-0.776192614;-0.890694416;-0.901937407
-0.853563038;0.598484848;-0.814622649;-0.898297481;-0.904918033
-0.973240833;0.257575758;-0.388613366;-0.910355602;-0.920417288
-0.803108808;0.659090909;-0.878883132;-0.872979955;-0.879880775
-0.924329502;0.446969697;-0.743995242;-0.888056767;-0.899850969
-0.968668407;0.227272727;-0.338271571;-0.819872219;-0.849776453
-0.959803922;0.363636364;-0.613155629;-0.904882135;-0.915350224
-0.944140197;0.234848485;-0.38088396;-0.85882904;-0.877496274
-0.788434415;0.439393939;-0.711859427;-0.873853399;-0.879582712
-0.827061649;0.674242424;-0.875070428;-0.870278672;-0.87928465
-0.903624382;0.378787879;-0.63431497;-0.922017691;-0.927868852
-0.967741935;0.242424242;-0.347469481;-0.822836844;-0.851862891
-0.780196629;0.484848485;-0.774941514;-0.867713708;-0.873621461
-0.927710843;0.234848485;-0.300392477;-0.875407196;-0.889716841
-0.965255157;0.386363636;-0.630677261;-0.874878424;-0.891207154
-0.914818101;0.424242424;-0.70343005;-0.906004878;-0.914456036
-0.921649485;0.265151515;-0.456140362;-0.863136667;-0.879582712
-0.959302326;0.46969697;-0.687633426;-0.908474103;-0.918330849
-0.831967213;0.515151515;-0.820664057;-0.867376749;-0.877198212
-0.821580289;0.575757576;-0.867808716;-0.849152816;-0.861400894
-0.934518998;0.257575758;-0.362940908;-0.952819751;-0.956184799
-0.951905626;0.454545455;-0.699784914;-0.925613142;-0.932637854
-0.966578716;0.340909091;-0.566358526;-0.947373877;-0.952011923
-0.958456973;0.431818182;-0.677379436;-0.900999196;-0.912071535
-0.923512748;0.568181818;-0.76097887;-0.892069318;-0.903129657
-0.864285714;0.477272727;-0.747232368;-0.828306041;-0.848584203
-0.95177434;0.477272727;-0.707767337;-0.924579868;-0.931743666
-0.924423963;0.507575758;-0.774221922;-0.900582522;-0.910283159
-0.953468697;0.318181818;-0.517803013;-0.95138444;-0.955290611
-0.917159763;0.621212121;-0.808110346;-0.923849607;-0.929955291
-0.975929978;0.348484848;-0.478357503;-0.87912464;-0.895081967
-0.769645609;0.560606061;-0.87408703;-0.834137402;-0.844411326
-0.825088339;0.568181818;-0.84923983;-0.840986329;-0.85514158
-0.965041398;0.356060606;-0.605076369;-0.9303374;-0.937108793
-0.888353414;0.340909091;-0.572950561;-0.918268302;-0.923994039
-0.967113276;0.272727273;-0.458773457;-0.839897633;-0.86438152
-0.859240069;0.5;-0.782575669;-0.873032585;-0.883755589
-0.875;0.545454545;-0.831043128;-0.831890734;-0.852160954
-0.802599513;0.606060606;-0.892779737;-0.846746746;-0.857824143
-0.897979798;0.590909091;-0.819569486;-0.85365507;-0.870640835
-0.957854406;0.234848485;-0.341183314;-0.820398525;-0.84947839
-0.826860841;0.666666667;-0.889550469;-0.867102218;-0.876602086
-0.88008342;0.484848485;-0.785372614;-0.832551424;-0.853055142
-0.920634921;0.234848485;-0.328132653;-0.948207034;-0.95171386
-0.966395112;0.393939394;-0.646966804;-0.896626035;-0.908792846
-0.956132498;0.295454545;-0.499456647;-0.933384156;-0.939493294
-0.836162362;0.416666667;-0.68850611;-0.902034516;-0.907302534
-0.846272098;0.492424242;-0.78035754;-0.89805232;-0.904321908
-0.959921799;0.431818182;-0.67383866;-0.905949516;-0.916244411
-0.936772047;0.386363636;-0.608498343;-0.944456123;-0.948733234
-0.96399177;0.371212121;-0.615132469;-0.891644254;-0.90461997
-0.870471014;0.613636364;-0.85702035;-0.86707899;-0.879582712
-0.981026786;0.333333333;-0.477783864;-0.875815558;-0.892697466
-0.969298246;0.318181818;-0.533133909;-0.950344577;-0.954694486
-0.97854954;0.325757576;-0.467690165;-0.903653242;-0.915052161
-0.962515115;0.227272727;-0.319934293;-0.839458372;-0.863785395
-0.888671875;0.568181818;-0.823160708;-0.857449684;-0.873025335
-0.772438163;0.446969697;-0.746801145;-0.859121562;-0.86557377
-0.948961938;0.401515152;-0.649911443;-0.940074723;-0.945156483
-0.965116279;0.348484848;-0.603238698;-0.940287312;-0.945752608
-0.961331901;0.333333333;-0.578178432;-0.87587019;-0.891803279
-0.934232715;0.416666667;-0.664358615;-0.937817688;-0.942771982
-0.96978022;0.28030303;-0.473103513;-0.935356099;-0.941579732
-0.959377701;0.318181818;-0.572121474;-0.94822656;-0.952608048
-0.959081836;0.409090909;-0.661106963;-0.89844404;-0.909985097
-0.802896219;0.53030303;-0.831894166;-0.849626694;-0.860208644
-0.966829268;0.25;-0.382471982;-0.911343937;-0.921013413
-0.890168291;0.560606061;-0.807408591;-0.888363193;-0.898360656
-0.953488372;0.409090909;-0.655930315;-0.90446567;-0.914754098
-0.958370239;0.303030303;-0.534596358;-0.938779816;-0.944262295
-0.864179104;0.371212121;-0.607951668;-0.922337788;-0.926676602
-0.852639296;0.371212121;-0.620770702;-0.918206518;-0.922503726
-0.951042611;0.446969697;-0.700738643;-0.925299101;-0.932339791
-0.927338783;0.583333333;-0.773040755;-0.907491423;-0.916244411
-0.86086249;0.53030303;-0.805437899;-0.892332066;-0.900149031
-0.96173913;0.28030303;-0.486385368;-0.947831509;-0.952309985
-0.824778761;0.575757576;-0.855174368;-0.840269518;-0.854545455
-0.969405594;0.295454545;-0.497075433;-0.951688593;-0.955886736
-0.8488;0.545454545;-0.818278518;-0.887914057;-0.895678092
-0.85589942;0.515151515;-0.80738705;-0.837729533;-0.85514158
-0.816722973;0.659090909;-0.892816205;-0.847079173;-0.859314456
\n;;;;
-0.91749427;0.340909091;-0.476777027;-0.959081687;-0.961549925
-0.993836672;0.318181818;-0.402967111;-0.784702371;-0.826825633
-0.809791332;0.575757576;-0.911875944;-0.855792045;-0.865871833
-0.772600834;0.666666667;-0.893422288;-0.863595099;-0.869448584
-0.980968858;0.21969697;-0.326213517;-0.747179226;-0.801490313
-0.754666667;0.166666667;-0.214230066;-0.858448417;-0.863487332
-0.971509972;0.196969697;-0.2900116;-0.795965885;-0.833084948
-0.97188755;0.204545455;-0.354125212;-0.814190722;-0.845901639
-0.908082409;0.212121212;-0.340103242;-0.93863614;-0.942771982
-0.827113481;0.606060606;-0.883749593;-0.884929313;-0.891803279
-0.928381963;0.340909091;-0.614733307;-0.917205105;-0.924590164
-0.856269113;0.598484848;-0.818384807;-0.907998752;-0.913561848
-0.84503632;0.636363636;-0.846292536;-0.882250182;-0.890611028
-0.852359209;0.621212121;-0.827582716;-0.906182784;-0.911773472
-0.767801858;0.431818182;-0.755159832;-0.831434908;-0.842026826
-0.80291411;0.568181818;-0.890947193;-0.862864072;-0.87123696
-0.786474164;0.568181818;-0.900143078;-0.851713211;-0.860506706
-0.938037866;0.242424242;-0.374444967;-0.933636402;-0.939195231
-0.943625325;0.25;-0.362203495;-0.935152553;-0.940685544
-0.967853042;0.333333333;-0.585000333;-0.858694902;-0.878688525
-0.9828722;0.303030303;-0.427520055;-0.824875223;-0.854247392
-0.961027458;0.310606061;-0.535121904;-0.9407441;-0.946050671
-0.935787671;0.181818182;-0.299547442;-0.933711065;-0.939195231
