Recall;NFS;MI;MacroF1
-0.997260274;0.234848485;-0.467114167;-0.9986723
-1;0.439393939;-0.764596853;-1
-0.998902907;0.46969697;-0.805724775;-0.999557339
-1;0.287878788;-0.543787858;-0.999557151
-1;0.242424242;-0.47388643;-1
-0.998355263;0.431818182;-0.762928275;-0.99933608
-1;0.295454545;-0.557240147;-1
-0.998902305;0.560606061;-0.893128948;-0.999335939
-0.999449945;0.28030303;-0.544007292;-0.998892759
-0.998900495;0.439393939;-0.777522903;-0.998671453
-0.999451153;0.333333333;-0.622479799;-0.999778646
-0.996715928;0.537878788;-0.868185445;-0.998672581
-0.999450549;0.378787879;-0.696073803;-0.999335797
-0.999450851;0.628787879;-0.889407435;-0.999557245
-0.999450247;0.295454545;-0.564284879;-0.999114302
-0.999451153;0.477272727;-0.813918586;-0.999778646
-0.999449945;0.340909091;-0.635953614;-0.998892759
-1;0.189393939;-0.350244834;-1
-0.998902305;0.446969697;-0.783639672;-0.999335939
-1;0.340909091;-0.635191334;-1
-1;0.522727273;-0.830010875;-0.999557151
-1;0.568181818;-0.809368403;-1
-1;0.393939394;-0.705678985;-1
-0.998354361;0.522727273;-0.865026472;-0.999114679
-0.998902907;0.378787879;-0.690857046;-0.999557339
-1;0.401515152;-0.724730168;-0.999557151
-0.99780461;0.371212121;-0.685836844;-0.998450523
-0.997803405;0.5;-0.852119258;-0.998228981
-0.997808219;0.318181818;-0.600524329;-0.999114867
-1;0.462121212;-0.799652612;-0.999557151
-0.998902907;0.287878788;-0.549749757;-0.999557339
-0.998902907;0.242424242;-0.47539609;-0.999557339
-0.999451153;0.393939394;-0.716988519;-0.999778646
-0.998901099;0.484848485;-0.840569335;-0.998892995
-1;0.53030303;-0.852692673;-0.999557151
-1;0.234848485;-0.461871969;-0.999557151
-0.999451153;0.265151515;-0.515198566;-0.999778646
-0.997808219;0.242424242;-0.475434839;-0.999114867
-0.998902907;0.515151515;-0.832246479;-0.999557339
-0.998355263;0.371212121;-0.684800515;-0.99933608
-0.998902305;0.431818182;-0.773323384;-0.999335939
-0.999450247;0.409090909;-0.737630747;-0.999114302
-1;0.204545455;-0.417010662;-1
-0.998901702;0.287878788;-0.553513498;-0.999114491
-0.997808219;0.333333333;-0.625873969;-0.999114867
-1;0.371212121;-0.681861882;-1
-0.999450851;0.515151515;-0.856314431;-0.999557245
-0.999450851;0.378787879;-0.688067722;-0.999557245
-0.998352554;0.507575758;-0.862786595;-0.998671736
-0.997260274;0.212121212;-0.429689483;-0.9986723
-0.997260274;0.227272727;-0.45333387;-0.9986723
-1;0.303030303;-0.572262101;-1
-1;0.424242424;-0.751188402;-1
-0.999451153;0.28030303;-0.538842953;-0.999778646
-0.998902907;0.507575758;-0.826927775;-0.999557339
-0.998355263;0.386363636;-0.704974058;-0.99933608
