Recall;NFS;MI;MacroF1
-0.951205833;0.348484848;-0.479477841;-0.952874332
-0.990546218;0.303030303;-0.41260538;-0.774987876
-0.991683992;0.310606061;-0.425393802;-0.778504582
-0.958819914;0.204545455;-0.313093783;-0.925726097
-0.775309917;0.446969697;-0.769232887;-0.834780713
-0.824347826;0.621212121;-0.900962607;-0.842921882
-0.957662493;0.189393939;-0.334847075;-0.93563838
-0.813474735;0.363636364;-0.644573537;-0.814650336
-0.918591859;0.356060606;-0.619002054;-0.933787011
-0.845245494;0.310606061;-0.57227195;-0.838852871
-0.983218164;0.318181818;-0.495047824;-0.789113286
-0.957167832;0.212121212;-0.381828306;-0.810800371
-0.964476021;0.212121212;-0.340297017;-0.810160703
-0.963604853;0.196969697;-0.317566591;-0.816999417
-0.957637232;0.196969697;-0.348791071;-0.935405477
-0.964927288;0.204545455;-0.32962968;-0.821634609
-0.819616685;0.606060606;-0.878231639;-0.847133756
-0.98215734;0.227272727;-0.392487599;-0.84816673
-0.972826087;0.409090909;-0.655166444;-0.900787166
-0.926470588;0.371212121;-0.662929086;-0.902916779
-0.949382716;0.303030303;-0.553705916;-0.917273813
-0.893914015;0.462121212;-0.754349514;-0.908940858
-0.967088608;0.348484848;-0.612247683;-0.921398583
-0.934931507;0.204545455;-0.359834733;-0.933750008
-0.803768681;0.409090909;-0.725458659;-0.797024383
-0.853443202;0.583333333;-0.848104908;-0.860844145
-0.851871948;0.522727273;-0.789621855;-0.884266576
-0.958525346;0.356060606;-0.534065831;-0.948824709
-0.940220546;0.318181818;-0.501297685;-0.931961701
-0.861627162;0.454545455;-0.745477877;-0.841941175
-0.867989056;0.386363636;-0.681357812;-0.827456609
-0.796375775;0.21969697;-0.397910526;-0.875267859
-0.981803797;0.234848485;-0.404530421;-0.855905827
-0.983206107;0.333333333;-0.468998301;-0.868393555
-0.85323741;0.409090909;-0.715794456;-0.803572057
-0.916020672;0.560606061;-0.801725756;-0.87804386
-0.782092772;0.477272727;-0.794323252;-0.829024253
-0.953703704;0.371212121;-0.635464135;-0.94340898
-0.914673913;0.227272727;-0.37583568;-0.934824347
-0.987775061;0.325757576;-0.458700713;-0.849931373
-0.829724985;0.598484848;-0.866287923;-0.844420086
-0.859574468;0.575757576;-0.830779197;-0.896805215
-0.965660154;0.340909091;-0.566496733;-0.944270917
-0.870038412;0.568181818;-0.85535108;-0.848128637
-0.878226712;0.393939394;-0.691988258;-0.8948448
-0.831932773;0.613636364;-0.888898977;-0.838879389
-0.920930233;0.537878788;-0.781187983;-0.872481708
-0.790896159;0.21969697;-0.407903206;-0.871935434
-0.923877684;0.5;-0.727928029;-0.881297723
-0.961335677;0.363636364;-0.601383899;-0.944839025
-0.972150259;0.46969697;-0.68939762;-0.91689641
-0.981467181;0.310606061;-0.549720285;-0.863549867
-0.896354167;0.242424242;-0.453276898;-0.934468755
-0.908661417;0.257575758;-0.463562989;-0.942055357
-0.821674877;0.553030303;-0.812611108;-0.888250165
-0.828271673;0.378787879;-0.67704784;-0.859939853
-0.866425993;0.492424242;-0.775860737;-0.864050943
-0.909568875;0.25;-0.439229856;-0.94225788
-0.967845659;0.340909091;-0.595024754;-0.916334727
-0.828925155;0.515151515;-0.801286673;-0.854970068
-0.873372781;0.598484848;-0.841398246;-0.874399962
-0.853236607;0.537878788;-0.834339514;-0.876750507
-0.95631068;0.204545455;-0.369921875;-0.83359892
-0.887844612;0.553030303;-0.820909372;-0.867454173
-0.953062393;0.378787879;-0.580689798;-0.94688054
-0.852213542;0.393939394;-0.704945824;-0.830631214
-0.969489415;0.416666667;-0.659168343;-0.928931516
-0.885731933;0.613636364;-0.8640093;-0.870341272
-0.914421553;0.257575758;-0.442590234;-0.944623854
-0.887786733;0.439393939;-0.720610291;-0.870695064
-0.903995848;0.303030303;-0.467318459;-0.942178477
-0.832997988;0.416666667;-0.708482698;-0.89175926
-0.781533804;0.46969697;-0.783655915;-0.84637657
-0.831145585;0.431818182;-0.767254059;-0.839976635
-0.934460888;0.325757576;-0.593119444;-0.86294546
-0.979057592;0.318181818;-0.475608387;-0.872512181
-0.90091638;0.507575758;-0.772889312;-0.906025854
-0.882712279;0.522727273;-0.804599317;-0.871542075
-0.789423077;0.5;-0.798048304;-0.866671186
-0.87720403;0.568181818;-0.823602402;-0.858211542
-0.796777547;0.484848485;-0.792707703;-0.851242081
-0.941709111;0.25;-0.404302779;-0.942101449
-0.936997319;0.492424242;-0.743142727;-0.880778823
-0.944927536;0.424242424;-0.673400965;-0.860950275
-0.977375566;0.287878788;-0.472208378;-0.86873741
-0.855562027;0.416666667;-0.701191204;-0.865619554
-0.972496474;0.378787879;-0.644414985;-0.887868707
-0.895758815;0.272727273;-0.466389118;-0.9405942
-0.972543353;0.265151515;-0.491132494;-0.879783933
-0.97;0.303030303;-0.560654979;-0.905330239
-0.876631079;0.53030303;-0.785086468;-0.87613778
-0.806094183;0.53030303;-0.823822204;-0.841221651
-0.869134171;0.545454545;-0.831328074;-0.838137138
-0.857649443;0.439393939;-0.748765512;-0.910812081
-0.934314836;0.242424242;-0.411554805;-0.936081743
-0.881587508;0.484848485;-0.784179168;-0.851507576
-0.976691729;0.295454545;-0.541218148;-0.869295287
-0.854563691;0.431818182;-0.73667385;-0.911407626
-0.854809437;0.575757576;-0.833377447;-0.853742621
-0.864940518;0.401515152;-0.701929307;-0.818931864
-0.961685824;0.25;-0.483596436;-0.914404217
-0.89921671;0.265151515;-0.477610032;-0.935972035
-0.911044776;0.462121212;-0.714473231;-0.900057621
-0.934202727;0.28030303;-0.515044296;-0.919982521
-0.969065232;0.371212121;-0.586574004;-0.901693443
-0.985996705;0.303030303;-0.433947436;-0.845489785
-0.899129544;0.25;-0.430539121;-0.942756998
-0.939772727;0.272727273;-0.461588588;-0.939158667
-0.969737727;0.287878788;-0.50555305;-0.902154977
-0.977319588;0.28030303;-0.527348068;-0.899845402
-0.854961832;0.545454545;-0.800311237;-0.907028616
-0.985305491;0.371212121;-0.509282034;-0.865406788
\n;;;
-0.843732744;0.681818182;-0.88035256;-0.872350245
-0.974610502;0.303030303;-0.507945135;-0.960655143
-0.810945274;0.590909091;-0.901977646;-0.845723369
-0.782462865;0.477272727;-0.79202566;-0.861346714
-0.883306321;0.21969697;-0.277646076;-0.911285779
-0.99106478;0.28030303;-0.415844172;-0.881597809
-0.972244898;0.21969697;-0.331985405;-0.84025559
-0.807117438;0.378787879;-0.638948748;-0.77622812
-0.989021043;0.272727273;-0.404226055;-0.814629714
-0.971248877;0.242424242;-0.358445115;-0.810428772
-0.952247191;0.424242424;-0.599963395;-0.953081069
-0.794428434;0.462121212;-0.768472728;-0.871445887
-0.833118557;0.454545455;-0.753090377;-0.820023713
-0.861936194;0.651515152;-0.83978463;-0.888168697
-0.964037123;0.310606061;-0.545552178;-0.950543717
-0.895429363;0.439393939;-0.7247625;-0.842325509
-0.977190876;0.356060606;-0.585357334;-0.947945649
-0.815626489;0.393939394;-0.657688223;-0.892980283
-0.973538462;0.522727273;-0.732198768;-0.936126303
-0.97565663;0.287878788;-0.442691397;-0.923254674
-0.987111448;0.265151515;-0.446765269;-0.873086406
-0.977346278;0.25;-0.365975101;-0.846085004
-0.839578454;0.636363636;-0.880573282;-0.851800452
-0.945604048;0.553030303;-0.797433345;-0.906146382
-0.970537262;0.325757576;-0.560070361;-0.9570684
-0.967741935;0.310606061;-0.521145122;-0.955975842
-0.962050599;0.439393939;-0.683623621;-0.900290966
-0.80531401;0.621212121;-0.850923405;-0.879539191
-0.910016978;0.227272727;-0.289850692;-0.917160535
-0.852433281;0.643939394;-0.83727966;-0.896023865
-0.921901528;0.242424242;-0.313712541;-0.926513378
-0.976611884;0.28030303;-0.43059513;-0.928708014
-0.891971665;0.5;-0.759463404;-0.889282483
-0.936754177;0.522727273;-0.793525396;-0.919650715
-0.945383615;0.537878788;-0.776192614;-0.896665287
-0.872249061;0.598484848;-0.814622649;-0.904341892
-0.977557756;0.257575758;-0.388613366;-0.914034415
-0.825167612;0.659090909;-0.878883132;-0.877487989
-0.947882736;0.446969697;-0.743995242;-0.897768792
-0.976430976;0.227272727;-0.338271571;-0.833146555
-0.976759628;0.363636364;-0.613155629;-0.911394179
-0.949927431;0.234848485;-0.38088396;-0.863721598
-0.808917197;0.439393939;-0.711859427;-0.87859895
-0.843007186;0.674242424;-0.875070428;-0.871436141
-0.91825308;0.378787879;-0.63431497;-0.927334906
-0.972659486;0.242424242;-0.347469481;-0.835885395
-0.795819154;0.484848485;-0.774941514;-0.869235139
-0.929232804;0.234848485;-0.300392477;-0.879735599
-0.980392157;0.386363636;-0.630677261;-0.883171701
-0.927239928;0.424242424;-0.70343005;-0.909829319
-0.930248619;0.265151515;-0.456140362;-0.86655491
-0.968264249;0.46969697;-0.687633426;-0.914149184
-0.848072562;0.515151515;-0.820664057;-0.867902311
-0.83722287;0.575757576;-0.867808716;-0.851009155
-0.922459893;0.257575758;-0.362940908;-0.946918902
-0.964219618;0.454545455;-0.699784914;-0.928388678
-0.976162098;0.340909091;-0.566358526;-0.949822043
-0.968915344;0.431818182;-0.677379436;-0.907329726
-0.947232947;0.568181818;-0.76097887;-0.901462811
-0.885480573;0.477272727;-0.747232368;-0.840311088
-0.963997517;0.477272727;-0.707767337;-0.926027595
-0.94591195;0.507575758;-0.774221922;-0.908305401
-0.965102975;0.318181818;-0.517803013;-0.956482719
-0.934568616;0.621212121;-0.808110346;-0.928414105
-0.981145758;0.348484848;-0.478357503;-0.884146251
-0.787267905;0.560606061;-0.87408703;-0.837697968
-0.844671884;0.568181818;-0.84923983;-0.847573963
-0.978842564;0.356060606;-0.605076369;-0.935978534
-0.896923907;0.340909091;-0.572950561;-0.92277719
-0.9784689;0.272727273;-0.458773457;-0.851350507
