Recall;NFS;MI;MacroF1
-1;0.234848485;-0.46783301;-1
-0.997258772;0.628787879;-0.903752668;-0.998450852
-1;0.227272727;-0.455388171;-1
-0.996714129;0.545454545;-0.876979518;-0.998451181
-0.997258772;0.454545455;-0.812439921;-0.998450852
-1;0.25;-0.498228877;-1
-1;0.295454545;-0.571842719;-1
-1;0.310606061;-0.596121984;-1
-1;0.28030303;-0.545553905;-1
-0.998901702;0.462121212;-0.819680871;-0.999114491
-1;0.242424242;-0.480069453;-1
-0.999451153;0.287878788;-0.559611521;-0.999778646
-0.999450851;0.598484848;-0.903222676;-0.999557245
-0.998902907;0.333333333;-0.630331776;-0.999557339
-1;0.515151515;-0.808976293;-1
-1;0.287878788;-0.553683295;-1
-0.999451153;0.477272727;-0.798037283;-0.999778646
-1;0.257575758;-0.51046532;-1
-0.999450247;0.371212121;-0.68993221;-0.999114302
-0.998355263;0.265151515;-0.523811256;-0.99933608
-1;0.265151515;-0.522586878;-1
-1;0.303030303;-0.584079162;-1
-0.999450851;0.409090909;-0.746156153;-0.999557245
-1;0.340909091;-0.642285766;-1
-1;0.318181818;-0.606501224;-1
-1;0.348484848;-0.652953104;-1
-1;0.393939394;-0.722184691;-1
-1;0.386363636;-0.710805495;-1
-0.999451153;0.363636364;-0.674837121;-0.999778646
-0.999451153;0.318181818;-0.60803868;-0.999778646
-0.999449945;0.431818182;-0.777034384;-0.998892759
-0.998355263;0.272727273;-0.536047699;-0.99933608
-1;0.272727273;-0.534650508;-1
-0.999450851;0.507575758;-0.861015107;-0.999557245
-1;0.454545455;-0.78445326;-0.999557151
-0.999450851;0.515151515;-0.869503595;-0.999557245
-1;0.363636364;-0.674209238;-1
-1;0.613636364;-0.901814347;-0.999557151
-0.999451153;0.53030303;-0.826998662;-0.999778646
-0.998902907;0.348484848;-0.654018558;-0.999557339
-0.996714129;0.507575758;-0.865225167;-0.998451181
-0.997808219;0.325757576;-0.618815587;-0.999114867
-0.999450851;0.560606061;-0.88528261;-0.999557245
-0.999450247;0.416666667;-0.758846506;-0.999114302
-1;0.356060606;-0.661487523;-1
-0.998902907;0.431818182;-0.770425067;-0.999557339
-0.999450851;0.484848485;-0.828983414;-0.999557245
-0.998901702;0.424242424;-0.767239838;-0.999114491
-0.999450851;0.5;-0.854725603;-0.999557245
-0.999450851;0.401515152;-0.72814472;-0.999557245
-0.998352554;0.446969697;-0.795455864;-0.998671736
-0.998902305;0.484848485;-0.839754549;-0.999335939
-1;0.545454545;-0.874752858;-0.999557151
-1;0.409090909;-0.739021521;-1
-0.998902305;0.416666667;-0.751227084;-0.999335939
-0.998353458;0.356060606;-0.665585896;-0.998893231
-0.996714129;0.568181818;-0.897015476;-0.998451181
-1;0.371212121;-0.685486611;-1
-1;0.522727273;-0.815265796;-1
-1;0.424242424;-0.759653686;-1
-0.999451153;0.378787879;-0.699174235;-0.999778646
-0.998902305;0.439393939;-0.781236033;-0.999335939
-1;0.333333333;-0.626752886;-1
-0.998902907;0.257575758;-0.511566499;-0.999557339
-0.999451153;0.46969697;-0.769578528;-0.999778646
-0.999450851;0.46969697;-0.813905947;-0.999557245
-0.999450851;0.575757576;-0.885935016;-0.999557245
-0.999450851;0.454545455;-0.793352035;-0.999557245
-0.998902907;0.522727273;-0.828138942;-0.999557339
-1;0.492424242;-0.845219397;-0.999557151
-0.997808219;0.393939394;-0.722439649;-0.999114867
-1;0.325757576;-0.617544886;-1
-0.997258772;0.590909091;-0.897015476;-0.998450852
-0.999450851;0.583333333;-0.895729561;-0.999557245
-1;0.378787879;-0.6981265;-1
-0.998901702;0.416666667;-0.758846506;-0.999114491
-1;0.560606061;-0.877759804;-0.999557151
-0.999450851;0.553030303;-0.875344435;-0.999557245
-0.999450851;0.477272727;-0.826509578;-0.999557245
-0.998901702;0.439393939;-0.791464845;-0.999114491
-1;0.446969697;-0.763191985;-1
-0.997258772;0.575757576;-0.888161676;-0.998450852
-0.998902305;0.446969697;-0.793352035;-0.999335939
-0.996714129;0.492424242;-0.851487415;-0.998451181
-1;0.477272727;-0.791283112;-1
-0.998902907;0.545454545;-0.835579327;-0.999557339
-0.998901702;0.492424242;-0.847202797;-0.999114491
-0.997808219;0.401515152;-0.733818845;-0.999114867
-0.999451153;0.401515152;-0.723578167;-0.999778646
\n;;;
-1;0.598484848;-0.917853487;-0.999335656
-0.999449945;0.560606061;-0.917853487;-0.998892759
-1;0.454545455;-0.793368397;-1
-0.997257268;0.416666667;-0.763716568;-0.998229358
-0.998902907;0.227272727;-0.440355458;-0.999557339
-0.999451153;0.234848485;-0.437159881;-0.999778646
-1;0.25;-0.474175921;-1
-1;0.257575758;-0.498937409;-1
-0.999451153;0.25;-0.493684177;-0.999778646
-0.999451153;0.272727273;-0.532362833;-0.999778646
-1;0.575757576;-0.913017983;-0.998670885
-0.999451153;0.295454545;-0.574857537;-0.999778646
-1;0.537878788;-0.907202817;-0.999335656
-0.998902907;0.28030303;-0.548386211;-0.999557339
-1;0.287878788;-0.561160494;-1
-1;0.583333333;-0.915885187;-0.998670885
-1;0.295454545;-0.561500447;-1
-0.999451153;0.310606061;-0.599619025;-0.999778646
-1;0.242424242;-0.445648369;-1
-1;0.310606061;-0.596775054;-1
-1;0.363636364;-0.676410904;-1
-1;0.318181818;-0.609011497;-1
-0.999450851;0.545454545;-0.898992338;-0.999557245
-0.999449945;0.46969697;-0.828328838;-0.998892759
-0.99780461;0.265151515;-0.518142122;-0.998450523
-0.999450851;0.318181818;-0.610690766;-0.999557245
-0.998902305;0.46969697;-0.837677245;-0.999335939
-1;0.303030303;-0.585212561;-1
-0.999451153;0.356060606;-0.670085156;-0.999778646
-1;0.401515152;-0.727252011;-1
-0.997808219;0.348484848;-0.656824941;-0.999114867
-0.998902305;0.484848485;-0.859109573;-0.999335939
-0.999450851;0.477272727;-0.84687313;-0.999557245
-1;0.340909091;-0.642842182;-1
-0.997808219;0.333333333;-0.637565072;-0.999114867
-1;0.348484848;-0.654218008;-1
-1;0.325757576;-0.619728046;-1
-0.998353458;0.446969697;-0.808591005;-0.998893231
-0.999450851;0.242424242;-0.458093208;-0.999557245
-0.999451153;0.378787879;-0.704248005;-0.999778646
-1;0.371212121;-0.688473993;-1
-1;0.28030303;-0.534921483;-1
-0.998353458;0.431818182;-0.787935261;-0.998893231
-1;0.424242424;-0.760076243;-1
-1;0.53030303;-0.888594359;-0.998670885
-1;0.484848485;-0.85138696;-0.999335656
-0.999451153;0.333333333;-0.633425089;-0.999778646
-0.998353458;0.409090909;-0.74723373;-0.998893231
-0.999451153;0.401515152;-0.737397749;-0.999778646
-0.999451153;0.28030303;-0.540312996;-0.999778646
-1;0.515151515;-0.87922512;-0.998670885
-0.998902305;0.393939394;-0.724979652;-0.999335939
-0.998355263;0.393939394;-0.721625783;-0.99933608
-0.998902305;0.454545455;-0.815431422;-0.999335939
-1;0.378787879;-0.69922782;-1
-1;0.522727273;-0.824573385;-1
-1;0.507575758;-0.855592641;-0.998670885
-0.998353458;0.386363636;-0.716570988;-0.998893231
-1;0.431818182;-0.772090703;-1
-0.999450851;0.424242424;-0.767890815;-0.999557245
-1;0.265151515;-0.51136855;-1
-0.999450851;0.492424242;-0.847299148;-0.999557245
-0.999451153;0.439393939;-0.781181216;-0.999778646
-0.997808219;0.340909091;-0.647071278;-0.999114867
-0.999450851;0.325757576;-0.621358104;-0.999557245
-0.999451153;0.446969697;-0.79647027;-0.999778646
-0.998901702;0.386363636;-0.714975663;-0.999114491
-1;0.409090909;-0.740747861;-1
-0.999450851;0.522727273;-0.867681357;-0.999557245
-0.998902305;0.265151515;-0.514625083;-0.999335939
-0.999450247;0.492424242;-0.868774837;-0.999114302
-0.998902907;0.371212121;-0.69056615;-0.999557339
-0.998902305;0.462121212;-0.825952652;-0.999335939
-0.999450851;0.5;-0.853960163;-0.999557245
-0.999450851;0.507575758;-0.865243224;-0.999557245
-1;0.462121212;-0.803029891;-1
-0.997808219;0.325757576;-0.623981763;-0.999114867
-1;0.333333333;-0.630937904;-1
-0.999450549;0.522727273;-0.885080322;-0.999335797
