"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"deap","nsga3","motsp",1,0.198864748530516,0.182623520725498,0.384447424908125
"deap","nsga3","motsp",2,0.20172147340078,0.168868372570029,0.37800601945358
"deap","nsga3","motsp",3,0.202901364857033,0.159901630998709,0.376030036223654
"deap","nsga3","motsp",4,0.200124147079164,0.163246474169248,0.37896248904396
"deap","nsga3","motsp",5,0.200366360143262,0.173077432545731,0.381930507453634
"deap","nsga3","motsp",6,0.204118124755911,0.158178475487628,0.374226607875552
"deap","nsga3","motsp",7,0.201621274118581,0.161582773871876,0.377009313625151
"deap","nsga3","motsp",8,0.201716979467235,0.159385447685048,0.376813563283505
"deap","nsga3","motsp",9,0.203166922246735,0.16378012489894,0.377310522774705
"deap","nsga3","motsp",10,0.204836206057635,0.152997792405739,0.372522852645448
"deap","nsga3","motsp",11,0.204803744067451,0.155474122360157,0.37301497893201
"deap","nsga3","motsp",12,0.203472399074339,0.169107918786567,0.376998212412416
"deap","nsga3","motsp",13,0.200605149093825,0.176831531169352,0.38070796039897
"deap","nsga3","motsp",14,0.203691404974387,0.15975426369499,0.374703438853666
"deap","nsga3","motsp",15,0.205197901137633,0.14843994415134,0.371511682025176
"deap","nsga3","motsp",16,0.20654978968931,0.148209485450106,0.370077600088689
"deap","nsga3","motsp",17,0.201264933385093,0.171419709607477,0.379560502212327
"deap","nsga3","motsp",18,0.20370495034093,0.155501477445364,0.374873261880939
"deap","nsga3","motsp",19,0.201104403448424,0.167002021406373,0.379987829256467
"deap","nsga3","motsp",20,0.205422665969755,0.148454889948542,0.370991161002529
"deap","nsga3","motsp",21,0.201714280724693,0.172156589437431,0.379422753997808
