Generacion,Tiempo
1,0.010032177
2,0.091317654
3,0.155826569
4,0.21711874
5,0.281769753
6,0.354070425
7,0.408751726
8,0.468842983
9,0.524707794
10,0.581120014
11,0.640595675
12,0.687027454
13,0.731928825
14,0.77137804
15,0.811500311
16,0.859978914
17,0.91596365
18,0.968835831
19,1.02284956
20,1.076178074
21,1.138958931
22,1.186695099
23,1.25075388
24,1.29868865
25,1.360405445
26,1.420049429
27,1.473946571
28,1.537098646
29,1.599975586
30,1.690012455
31,1.751758814
32,1.810668707
33,1.871675491
34,1.99035573
35,2.07835269
36,2.153914452
37,2.233995676
38,2.302122593
39,2.367983103
40,2.428460598
41,2.495830774
42,2.568439484
43,2.6295681
44,2.69993782
45,2.757908583
46,2.832814932
47,2.894764185
48,2.956955671
49,3.010798931
50,3.089063406
51,3.142028093
52,3.204866409
53,3.273436069
54,3.397953987
55,3.476913452
56,3.558057308
57,3.638598204
58,3.744199991
59,3.821879148
60,3.900369167
61,3.975818634
62,4.055043936
63,4.142328739
64,4.190784454
65,4.253381968
66,4.318061113
67,4.377789259
68,4.451365232
69,4.509865046
70,4.56850028
71,4.6337533
72,4.688702106
73,4.778794289
74,4.843806028
75,4.898848534
76,4.952088356
77,5.022820711
78,5.084680796
79,5.139946222
80,5.176890373
81,5.223883629
82,5.278152466
83,5.359038353
84,5.404200077
85,5.473842382
86,5.534120798
87,5.603870153
88,5.670677185
89,5.725027561
90,5.784799337
91,5.874166727
92,5.950927973
93,6.010925055
94,6.069877625
95,6.130735636
96,6.186233997
97,6.241673946
98,6.321705818
99,6.392122507
100,6.454666376
101,6.517683983
102,6.584622383
103,6.647186518
104,6.704890013
105,6.756776571
106,6.822764158
107,6.896783352
108,6.959907293
109,7.024388552
110,7.087778091
111,7.149981976
112,7.216047764
113,7.288704395
114,7.376636982
115,7.442023993
116,7.51185751
117,7.571124315
118,7.62603569
119,7.687764645
120,7.755750895
121,7.807087898
122,7.865906
123,7.93179965
124,8.003827333
125,8.058149576
126,8.10999155
127,8.161770582
128,8.210709572
129,8.267401934
130,8.33616209
131,8.393018961
132,8.452929497
133,8.522762537
134,8.589077473
135,8.64677453
136,8.706895113
137,8.760895967
138,8.833904266
139,8.907984257
140,8.971067905
141,9.040711641
142,9.094362497
143,9.159680128
144,9.220910549
145,9.27781868
146,9.375085354
147,9.451160908
148,9.507759809
149,9.576784372
150,9.635709524
151,9.688126802
152,9.743024349
153,9.789986134
154,9.85706687
155,9.918721676
156,9.977080107
157,10.07203317
158,10.11796951
159,10.16381884
160,10.21119714
161,10.26567173
162,10.33897424
163,10.42744684
164,10.48697305
165,10.53185248
166,10.59084773
167,10.65414858
168,10.71483612
169,10.77966189
170,10.84709477
171,10.91010451
172,10.98771906
173,11.0557487
174,11.11813116
175,11.17212892
176,11.2321291
177,11.32058477
178,11.37839508
179,11.43089366
180,11.49574685
181,11.55683017
182,11.6097281
183,11.66517687
184,11.73371649
185,11.79586101
186,11.84923816
187,11.90634608
188,11.96578431
189,12.0360136
190,12.10168433
191,12.16385102
192,12.22585034
193,12.29518366
194,12.36906958
195,12.42140412
196,12.48779631
197,12.55278659
198,12.60902214
199,12.68359113
200,12.74872279
201,12.84892273
202,12.90777516
203,12.97280931
204,13.03477645
205,13.09765339
206,13.15945458
207,13.23295093
208,13.31810308
209,13.38596416
210,13.45613694
211,13.51382375
212,13.57397914
213,13.63610935
214,13.69036245
215,13.74570584
216,13.83618855
217,13.89311457
218,13.95821452
219,14.01921296
220,14.06886744
221,14.13689351
222,14.17982483
223,14.2347064
224,14.28976655
225,14.34286857
226,14.40479875
227,14.46892095
228,14.52570081
229,14.58492923
230,14.64575624
231,14.70596361
232,14.77390265
233,14.84313798
234,14.92087126
235,14.97930026
236,15.04997301
237,15.11001492
238,15.17191482
239,15.22894025
240,15.28636765
241,15.36470151
242,15.4212966
243,15.4999938
244,15.55119324
245,15.6080544
246,15.67306662
247,15.72663093
248,15.78938937
249,15.84738326
250,15.89593959
251,15.94784522
252,16.0020647
253,16.06013751
254,16.1117754
255,16.1699369
256,16.22108436
