Generacion,Tiempo
1,0.060357094
2,0.076276541
3,0.093228817
4,0.109225988
5,0.128179312
6,0.145091534
7,0.164045572
8,0.186986208
9,0.206933022
10,0.226879597
11,0.246825218
12,0.265774965
13,0.293698549
14,0.316638708
15,0.335588694
16,0.356892824
17,0.379869223
18,0.398780346
19,0.418726206
20,0.436677694
21,0.455627203
22,0.477569818
23,0.49851346
24,0.523446798
25,0.547384739
26,0.572313786
27,0.593259335
28,0.618195534
29,0.639136553
30,0.661076546
31,0.679028273
32,0.697979689
33,0.718959808
34,0.740866661
35,0.772777319
36,0.796714067
37,0.823681593
38,0.845584393
39,0.864531994
40,0.88448
41,0.906423092
42,0.927364349
43,0.94631362
44,0.966259956
45,0.989199877
46,1.010144234
47,1.030130148
48,1.052067518
49,1.071978569
50,1.092963457
51,1.114861965
52,1.132856369
53,1.151803493
54,1.178728819
55,1.203628063
56,1.224568367
57,1.247545481
58,1.269486189
59,1.28943491
60,1.310376406
61,1.329328775
62,1.348275661
63,1.366257668
64,1.387267828
65,1.406151295
66,1.428093433
67,1.450071812
68,1.469981909
69,1.491921425
70,1.513864517
71,1.533809185
72,1.555752277
73,1.577730656
74,1.596643209
75,1.617623568
76,1.636535645
77,1.659677267
78,1.682655811
79,1.701601028
80,1.874129295
81,1.956906796
82,2.055642605
83,2.099401712
84,2.130319595
85,2.16023922
86,2.200648069
87,2.24053812
88,2.273450136
89,2.304881811
90,2.341781139
91,2.379681826
92,2.41709733
93,2.456989765
94,2.488903999
95,2.520818949
96,2.557719707
97,2.597615242
98,2.630524874
99,2.655459166
100,2.68837142
101,2.723276615
102,2.763172626
103,2.790096998
104,2.823008776
105,2.857915401
106,2.940695286
107,2.990561485
108,3.021479368
109,3.052395582
110,3.080322742
111,3.106251478
112,3.136173248
113,3.17407012
114,3.210973024
115,3.237900019
116,3.26682353
117,3.289759636
118,3.320014715
119,3.343951702
120,3.372873306
121,3.403790712
122,3.437949657
123,3.471858501
124,3.506765366
125,3.535689354
126,3.572588444
127,3.601512194
128,3.635425568
129,3.668336868
130,3.690278292
