gen,nevals,Tiempo
1,206,0.07064151763916016
2,229,0.22616791725158691
3,215,0.35196900367736816
4,215,0.45912671089172363
5,216,0.5501177310943604
6,218,0.6390268802642822
7,224,0.7399473190307617
8,202,0.8301186561584473
9,211,0.9052584171295166
10,207,0.9962246417999268
11,226,1.0862529277801514
12,217,1.1832566261291504
13,213,1.298949956893921
14,226,1.4061427116394043
15,198,1.513981819152832
16,213,1.6151869297027588
17,224,1.73038649559021
18,207,1.8339266777038574
19,213,1.9513194561004639
20,208,2.0519816875457764
21,200,2.14103627204895
22,196,2.228803873062134
23,219,2.329596996307373
24,222,2.4263646602630615
25,222,2.5202267169952393
26,220,2.629106044769287
27,228,2.7390899658203125
28,222,2.840118169784546
29,222,2.942953109741211
30,221,3.048908233642578
31,191,3.13601016998291
32,221,3.221294403076172
33,220,3.312272787094116
34,222,3.405891180038452
35,222,3.5713536739349365
36,223,3.6607935428619385
37,210,3.751983404159546
38,208,3.835913896560669
39,209,3.937363624572754
40,220,4.027737140655518
41,212,4.121132135391235
42,207,4.209038734436035
43,219,4.299499750137329
44,209,4.393933296203613
45,211,4.487488031387329
46,211,4.572002410888672
47,211,4.757060766220093
48,218,4.881301403045654
49,220,4.990958213806152
50,222,5.140774965286255
51,210,5.284948348999023
52,197,5.401253938674927
53,208,5.491183519363403
54,212,5.590593099594116
55,218,5.682296276092529
56,208,5.795679092407227
57,211,5.892489910125732
58,221,5.984609842300415
59,202,6.079936265945435
60,213,6.179008722305298
61,207,6.276721715927124
62,216,6.367906093597412
63,202,6.457852602005005
64,217,6.593503475189209
65,216,6.7812535762786865
66,197,6.900286912918091
67,201,7.09553861618042
68,208,7.209941387176514
69,198,7.321937322616577
70,208,7.416158437728882
71,216,7.513284921646118
72,220,7.600964307785034
73,231,7.708819150924683
74,214,7.825106620788574
75,212,7.935990810394287
76,223,8.030892848968506
77,216,8.129156827926636
78,204,8.221408367156982
79,216,8.310076475143433
80,199,8.436179876327515
81,198,8.535436391830444
82,215,8.645819664001465
83,207,8.781208992004395
84,199,8.873141527175903
85,210,8.967260599136353
86,220,9.052864789962769
87,209,9.152156591415405
88,203,9.245436429977417
89,213,9.331796884536743
90,214,9.423400163650513
91,209,9.526586771011353
92,205,9.61173391342163
93,213,9.701263427734375
94,200,9.800251960754395
95,223,9.890440940856934
96,217,9.992353200912476
97,210,10.086480379104614
98,209,10.18106484413147
99,204,10.272085905075073
100,205,10.36081051826477
101,213,10.45619821548462
102,196,10.546911716461182
103,200,10.62993574142456
104,199,10.731281995773315
105,215,10.821027040481567
106,215,10.91124415397644
107,209,11.015767574310303
108,197,11.11009931564331
109,205,11.197939157485962
110,215,11.29237699508667
111,217,11.382267236709595
112,212,11.485214233398438
113,212,11.581195831298828
114,210,11.672128200531006
115,211,11.781225681304932
116,219,11.87009859085083
117,212,11.965301752090454
118,197,12.061992168426514
119,197,12.159311294555664
120,217,12.246211051940918
121,208,12.345367908477783
122,205,12.432287693023682
123,212,12.536182165145874
124,216,12.674294471740723
125,218,12.780172348022461
126,228,12.866220474243164
127,224,12.966168642044067
128,205,13.061585903167725
129,214,13.159222841262817
130,211,13.242122411727905
131,217,13.335449457168579
132,206,13.511186361312866
133,194,13.619617700576782
134,202,13.711601734161377
135,208,13.8009774684906
136,211,13.892472982406616
137,209,13.983092546463013
138,188,14.07532000541687
139,203,14.162127017974854
140,205,14.251941919326782
141,205,14.352254152297974
142,211,14.452483892440796
143,199,14.542155504226685
144,203,14.632951736450195
145,217,14.741780996322632
146,212,14.830956220626831
147,203,14.923082828521729
148,216,15.012047529220581
149,208,15.111273527145386
150,213,15.20085597038269
151,220,15.291746377944946
152,210,15.385277032852173
153,220,15.479948997497559
154,212,15.58180832862854
155,199,15.672273874282837
156,217,15.770225524902344
157,219,15.861227035522461
158,223,15.951969861984253
159,214,16.042519569396973
160,209,16.141531944274902
161,211,16.231101512908936
162,215,16.326106309890747
163,204,16.42111825942993
164,218,16.512284517288208
165,204,16.612996101379395
166,198,16.712239265441895
167,203,16.809382677078247
168,217,16.90009307861328
169,207,16.99088954925537
170,227,17.081069469451904
171,218,17.17396306991577
172,208,17.2616925239563
173,224,17.35631513595581
174,223,17.45219373703003
175,229,17.551403999328613
176,201,17.749510288238525
177,206,17.836160898208618
178,198,17.931092500686646
179,203,18.023908376693726
180,208,18.111762762069702
181,212,18.205118894577026
182,213,18.302156686782837
183,213,18.40140461921692
184,209,18.492865800857544
185,212,18.581382274627686
186,224,18.674927234649658
187,212,18.776182651519775
188,212,18.863096952438354
189,210,18.945062160491943
190,220,19.04184079170227
191,211,19.13209891319275
192,212,19.228214502334595
193,217,19.38120198249817
194,220,19.585247039794922
195,220,19.7708637714386
196,210,19.86500644683838
197,206,19.952102661132812
198,213,20.04180121421814
199,216,20.14075255393982
200,216,20.233381509780884
201,207,20.323805809020996
202,207,20.419769525527954
203,208,20.520177841186523
204,217,20.61223006248474
205,213,20.707229375839233
206,198,20.80216908454895
207,213,20.89456009864807
208,215,20.99649214744568
209,213,21.081360816955566
210,188,21.17482304573059
211,204,21.269059896469116
212,218,21.362295150756836
213,210,21.45876145362854
214,221,21.550098180770874
215,212,21.64494276046753
216,208,21.742099046707153
217,207,21.836108446121216
