Generacion,Tiempo
1,0.010970592
2,0.080784321
3,0.178520918
4,0.24035573
5,0.306181431
6,0.366638184
7,0.441440582
8,0.49932456
9,0.564153194
10,0.631002665
11,0.690880775
12,0.748689651
13,0.814567089
14,0.873997688
15,0.929809809
16,0.993677855
17,1.061457396
18,1.141243935
19,1.20108223
20,1.262955427
21,1.354675055
22,1.42647934
23,1.494298458
24,1.552178621
25,1.611983538
26,1.682834625
27,1.756598473
28,1.893231869
29,1.961049318
30,2.022888184
31,2.081730127
32,2.148551941
33,2.250816107
34,2.314717293
35,2.414964199
36,2.490992785
37,2.549835443
38,2.613095284
39,2.674928904
40,2.729746342
41,2.826523781
42,2.890352488
43,2.950194597
44,3.003015041
45,3.065845966
46,3.127681494
47,3.1855762
48,3.250388622
49,3.335162163
50,3.394005537
51,3.469765663
52,3.532184124
53,3.59352684
54,3.651369572
55,3.714713097
56,3.783529282
57,3.851415396
58,3.914246321
59,3.983062983
60,4.048887253
61,4.124684095
62,4.184523821
63,4.240374088
64,4.30520153
65,4.39097333
66,4.491701365
67,4.551578283
68,4.61141777
69,4.672218561
70,4.729067087
71,4.791935921
72,4.857725382
73,4.917952299
74,4.998697042
75,5.082472801
76,5.14430809
77,5.244548559
78,5.304392338
79,5.364269257
80,5.433722496
81,5.493525982
82,5.557355404
83,5.625173807
84,5.678032875
85,5.73487854
86,5.815625191
87,5.876464128
88,5.97076273
89,6.030013323
90,6.08984971
91,6.146844387
92,6.260054111
93,6.32311058
94,6.380955935
95,6.441306114
96,6.505173206
97,6.563975811
98,6.62880373
99,6.689639568
100,6.742536306
101,6.803336143
102,6.872443438
103,6.931990623
104,6.998815536
105,7.129504204
106,7.191298246
107,7.251136303
108,7.344886303
109,7.400738239
110,7.474539757
111,7.530391455
112,7.590271473
113,7.657095671
114,7.747853041
115,7.863296032
116,7.959378719
117,8.030187368
118,8.114961147
119,8.195744038
120,8.265557766
121,8.346342087
122,8.428123236
123,8.50192523
124,8.611631155
125,8.693413019
126,8.758241892
127,8.828561306
128,8.918364048
129,9.028076172
130,9.100881577
131,9.167702913
132,9.243631601
133,9.362824917
134,9.449106693
135,9.555821896
136,9.653559685
137,9.739329338
138,9.811137915
139,9.8939147
140,9.96073699
141,10.03254366
142,10.09537601
143,10.16120028
144,10.25794125
145,10.37861776
146,10.46837687
147,10.5631237
148,10.69277692
149,10.77343655
150,10.84167051
151,10.92540789
152,10.99872351
153,11.08072042
154,11.16999435
155,11.30116868
156,11.38095546
157,11.45475888
158,11.52656603
159,11.62530136
160,11.72902513
161,11.79385185
162,11.85967493
163,11.93846369
