"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"pymoo","nsga2","dtlz3",1,0,120.042808011293,2.04571176355226
"pymoo","nsga2","dtlz3",2,31.7354506457321,130.233440204684,0.742895466518316
"pymoo","nsga2","dtlz3",3,0,120.042808011293,2.04571176355226
"pymoo","nsga2","dtlz3",4,31.9230623045413,117.208909406914,0.737032602180543
"pymoo","nsga2","dtlz3",5,31.5219307687618,134.440462470996,0.749567962673392
"pymoo","nsga2","dtlz3",6,0,120.636941544829,1.75536177142996
"pymoo","nsga2","dtlz3",7,0,139.794444769761,5.0632434516339
"pymoo","nsga2","dtlz3",8,0,150.916692483316,16.3727374170242
"pymoo","nsga2","dtlz3",9,0,131.718441823385,2.43754974433525
"pymoo","nsga2","dtlz3",10,0.0161940669336216,125.854170708583,1.73412223460579
"pymoo","nsga2","dtlz3",11,0,148.628692095444,4.84011578366886
