"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"pymoo","nsga3","dtlz2",1,15.5682900766835,0.152620066406629,0.0414220571070573
"pymoo","nsga3","dtlz2",2,15.5682644283198,0.152687152044812,0.0414525766229754
"pymoo","nsga3","dtlz2",3,15.5682900766835,0.152620066406629,0.0414220571070573
"pymoo","nsga3","dtlz2",4,15.568336612709,0.152646718337763,0.0414235673247868
"pymoo","nsga3","dtlz2",5,15.568309640182,0.152596268192994,0.0414606711267358
"pymoo","nsga3","dtlz2",6,15.5683285147681,0.152619989387768,0.0414460588123503
"pymoo","nsga3","dtlz2",7,15.5681362485549,0.152587707579136,0.0415051511569327
"pymoo","nsga3","dtlz2",8,15.5682121460645,0.152617018015741,0.0416059613741518
"pymoo","nsga3","dtlz2",9,15.5682883886241,0.152607103877387,0.0414548974143337
"pymoo","nsga3","dtlz2",10,15.5683385693281,0.152559115037979,0.0414384078867514
"pymoo","nsga3","dtlz2",11,15.568250890718,0.152650143283022,0.0414708587130295
