Generacion;Tiempo
1;0.011342049
2;0.015651464
3;0.034998655
4;0.050464869
5;0.065105915
6;0.080282927
7;0.09455204
8;0.10743475
9;0.116543055
10;0.134638548
11;0.148047209
12;0.164928913
13;0.183011532
14;0.19553113
15;0.21340704
16;0.232710361
17;0.245041132
18;0.265967607
19;0.278342009
20;0.293408632
21;0.308504105
22;0.315149069
23;0.334425688
24;0.348683834
25;0.365537405
26;0.376236677
27;0.385596275
28;0.402386427
29;0.418798208
30;0.434764624
31;0.450550795
32;0.465580463
33;0.47791934
34;0.484909534
35;0.500166893
36;0.514810324
37;0.528133631
38;0.545376062
39;0.561872244
40;0.575137138
41;0.584962845
42;0.600868464
43;0.614979982
44;0.631249905
45;0.644687414
46;0.657633543
47;0.674880981
48;0.686622381
49;0.698682308
50;0.712404013
51;0.714473009
52;0.734739542
53;0.747831106
54;0.764088392
55;0.774783373
56;0.791916609
57;0.797266483
58;0.815760612
59;0.830563068
60;0.845097065
61;0.857834101
62;0.868822813
63;0.882353544
64;0.896353245
65;0.972344875
66;0.988627195
67;1.001547813
68;1.015054703
69;1.027767658
70;1.049604177
71;1.075492382
72;1.094739676
73;1.108353615
74;1.129802942
75;1.158474207
76;1.185723782
77;1.209697008
78;1.226449251
79;1.244248867
80;1.26584959
81;1.285260201
82;1.307809114
83;1.334217787
84;1.357968569
85;1.375557661
86;1.391616821
87;1.397420645
88;1.417556524
89;1.434376955
90;1.448433638
91;1.462765932
92;1.475432634
93;1.484688997
94;1.498741388
95;1.515596151
96;1.538086176
97;1.549939632
98;1.58107543
99;1.607861996
100;1.644903898
101;1.668395996
102;1.692672253
103;1.705935717
104;1.726820707
105;1.744570971
106;1.762502909
107;1.777451992
108;1.792076826
109;1.796328068
110;1.813705444
111;1.827167034
112;1.86021471
113;1.875932217
114;1.885511637
115;1.899003506
116;1.916458607
117;1.928183556
118;1.938361883
119;1.946922779
120;1.963479996
121;1.975086451
122;1.984920502
123;1.998543501
124;2.010282993
125;2.025153637
126;2.034806252
127;2.047567368
128;2.059601545
129;2.065386772
130;2.0826478
131;2.096886635
132;2.107227564
133;2.115779638
134;2.132530451
135;2.146105766
136;2.157874346
137;2.171728134
138;2.184721947
139;2.198517084
140;2.209887266
141;2.22482419
142;2.235753775
143;2.248939037
144;2.264295101
145;2.280366182
146;2.304543972
147;2.32730937
148;2.335203886
149;2.348195553
150;2.365056276
151;2.377364874
152;2.384700298
153;2.39946866
154;2.414371252
155;2.427624226
156;2.44158411
157;2.448108912
158;2.466706038
159;2.48161459
160;2.493574142
161;2.502700806
162;2.514877796
163;2.533783913
164;2.546713114
165;2.559234858
166;2.5661273
167;2.581205845
168;2.596235037
169;2.608402252
170;2.614790678
171;2.631909132
172;2.647461176
173;2.66016674
174;2.675319672
175;2.684704542
176;2.698341608
177;2.708962679
178;2.715208292
179;2.732606411
180;2.747467518
181;2.761046648
182;2.775386333
183;2.784935713
184;2.806278706
185;2.822444201
186;2.834533453
187;2.847851276
188;2.860028267
189;2.865959167
190;2.880723
191;2.894757032
192;2.906402588
193;2.914429903
194;2.930433989
195;2.942145586
196;2.952647686
197;2.968539238
198;2.983881235
199;3.000701427
200;3.014780283
201;3.026743889
202;3.035948992
203;3.048402786
204;3.066474438
205;3.078780413
206;3.091593981
207;3.106432438
208;3.115025759
209;3.132457256
210;3.146070957
211;3.15721941
212;3.165162563
213;3.184757233
214;3.200031996
215;3.214692116
216;3.227612257
217;3.23502636
218;3.247982025
219;3.264950514
220;3.278484344
221;3.285428762
222;3.307679176
223;3.32600379
224;3.335582256
225;3.348173141
226;3.361882925
227;3.374911785
228;3.384843588
229;3.400827646
230;3.414726496
231;3.429792643
232;3.443703651
233;3.452563047
234;3.465181351
235;3.480143309
236;3.495658875
237;3.508401632
238;3.515749931
239;3.53349781
240;3.54659462
241;3.561881781
242;3.575128078
243;3.585659266
244;3.608412266
245;3.615430832
246;3.633758068
247;3.64735198
248;3.66357708
249;3.675927877
250;3.684978962
251;3.699155331
252;3.71236372
253;3.724588633
254;3.73545742
255;3.749033451
256;3.762389898
257;3.774236917
258;3.783886433
259;3.798699141
260;3.812829971
261;3.824724913
262;3.834837198
263;3.846886396
264;3.86462307
265;3.876332998
266;3.885040522
267;3.898460388
268;3.927117825
269;3.949928045
270;3.96334362
271;3.974262714
272;3.984709501
273;3.997945786
274;4.009873629
275;4.016092539
276;4.039685011
277;4.052382231
278;4.067665577
279;4.082403898
280;4.097646713
281;4.109168768
282;4.115282536
283;4.132972717
284;4.147057295
285;4.159299374
286;4.164772272
287;4.182586193
288;4.196468592
289;4.20987606
290;4.230038404
291;4.243439436
292;4.252663851
