Generacion,Tiempo
1,0.008046389
2,0.022400379
3,0.032439709
4,0.041415215
5,0.055121422
6,0.064702272
7,0.071787119
8,0.083784342
9,0.096870184
10,0.111762762
11,0.128574133
12,0.140536785
13,0.15349865
14,0.164924622
15,0.173903704
16,0.185669661
17,0.268904686
18,0.287868977
19,0.299900055
20,0.315252304
21,0.335199118
22,0.34976244
23,0.358739853
24,0.371704817
25,0.389787912
26,0.399869204
27,0.404889584
28,0.414936304
29,0.424815178
30,0.434824467
31,0.445019007
32,0.4550035
33,0.465069771
34,0.531528711
35,0.552767277
36,0.568547726
37,0.585188866
38,0.593168259
39,0.601890326
40,0.611974955
41,0.615036726
42,0.629705429
43,0.634799957
44,0.644983768
45,0.654953718
46,0.66503644
47,0.67523694
48,0.684890509
49,0.694925785
50,0.705085516
51,0.715024948
52,0.725026846
53,0.737708569
54,0.749049187
55,0.763845921
56,0.77178812
57,0.782730341
58,0.791706324
59,0.79574275
60,0.809841394
61,0.814866543
62,0.82499361
63,0.834791422
64,0.844885111
65,0.85489583
66,0.865092039
67,0.874767542
68,0.884970903
69,0.894891977
70,0.894891977
71,0.91478014
72,0.924858809
73,0.934901237
74,0.945118904
75,0.961906195
76,0.964909077
77,0.985435724
78,0.99781847
79,1.018124819
80,1.032492161
81,1.044683456
82,1.064740658
83,1.085024834
84,1.095118523
85,1.100125313
86,1.110502958
87,1.12520051
88,1.134738445
89,1.151268959
90,1.163794279
91,1.185130119
92,1.196940184
93,1.204918623
94,1.216238976
95,1.228413582
96,1.236386538
97,1.247910261
98,1.255884886
99,1.264931917
100,1.264931917
101,1.274822474
102,1.285068989
103,1.300202847
104,1.310765028
105,1.31482625
106,1.325094461
107,1.334742546
108,1.344866276
109,1.354954958
110,1.365080357
111,1.379743099
112,1.397090435
113,1.415036201
114,1.450085402
115,1.458102465
116,1.465120554
117,1.474789858
118,1.484997511
119,1.494706631
120,1.504775286
121,1.514836311
122,1.524894476
123,1.534698009
124,1.554876804
125,1.584573269
126,1.600280285
127,1.615121603
128,1.62941885
129,1.63939023
130,1.650067806
131,1.659043312
132,1.665097237
133,1.674835682
134,1.685049057
135,1.694984198
136,1.704684734
137,1.714746714
138,1.724804878
139,1.724804878
140,1.734957695
141,1.745161295
142,1.755136728
143,1.76985383
144,1.774898767
145,1.790378809
146,1.802501917
147,1.817494869
148,1.826468229
149,1.835513115
150,1.846713305
151,1.856688261
152,1.864778996
153,1.864778996
154,1.874943018
155,1.885010719
156,1.899926662
157,1.911055326
158,1.920090914
159,1.925160646
160,1.935043097
161,1.949684858
162,1.954775095
163,1.969875097
164,1.97490406
165,1.984697104
166,1.994894028
167,2.005021811
168,2.022741795
169,2.032391548
170,2.041367292
171,2.051823378
172,2.061799526
173,2.064867258
174,2.074918509
175,2.084886789
176,2.095080137
177,2.105154276
178,2.114953279
179,2.12494278
180,2.12494278
181,2.135071278
182,2.149838686
183,2.154880047
184,2.165042162
185,2.175113201
186,2.185184956
187,2.194755316
188,2.204794407
189,2.218874931
190,2.2286551
191,2.240219831
192,2.253087521
193,2.26294589
194,2.270924091
195,2.278992414
196,2.290064335
197,2.295086145
198,2.304822922
199,2.314973593
200,2.324968338
201,2.335076094
202,2.344726801
203,2.355158329
204,2.364920855
205,2.364920855
206,2.375139475
207,2.384782076
208,2.394870281
209,2.409951925
210,2.415081739
211,2.432581663
212,2.448038101
213,2.457051754
214,2.465903282
215,2.474917412
216,2.484941721
217,2.484941721
218,2.495016336
219,2.514779329
220,2.514779329
221,2.52494669
222,2.534827232
223,2.54522419
224,2.559860945
225,2.564941883
226,2.575060368
227,2.58500576
228,2.595197201
229,2.604753256
230,2.614914179
231,2.625156164
232,2.635231495
233,2.635231495
234,2.657415867
235,2.664837122
236,2.679337978
237,2.687351942
238,2.69673419
239,2.707704306
240,2.714833021
241,2.724885225
242,2.734914303
243,2.745118141
244,2.754990578
245,2.764912844
246,2.764912844
247,2.78516531
248,2.78516531
249,2.795189619
250,2.811947584
251,2.819971561
252,2.825013399
253,2.835229874
254,2.844815731
255,2.854802608
256,2.869759083
257,2.885204554
258,2.895029545
259,2.904042721
260,2.918419123
261,2.926527262
262,2.935124874
263,2.944721699
264,2.955195427
265,2.96654129
266,2.974611044
267,2.990538836
268,3.002540827
269,3.015589476
270,3.023621082
271,3.031584978
272,3.039584637
273,3.051581144
274,3.05958128
275,3.067581654
276,3.083991528
277,3.095004559
278,3.104020357
279,3.114858866
280,3.122837067
281,3.128902674
282,3.140942335
283,3.148946047
284,3.15690279
285,3.164906979
286,3.176942348
287,3.184970617
288,3.192907095
289,3.204970837
290,3.212904692
291,3.220943213
292,3.228905916
293,3.240945101
294,3.248905182
295,3.256905079
296,3.268942595
297,3.276902914
298,3.288944244
299,3.296904325
300,3.307225704
301,3.321646214
302,3.329566956
303,3.338542461
304,3.345576048
305,3.353579044
306,3.365586519
307,3.382431984
308,3.392027855
309,3.403124094
310,3.414609671
311,3.423586607
312,3.433488369
313,3.44246459
314,3.449517012
315,3.461517811
316,3.469518661
317,3.477517366
318,3.485515833
319,3.497554302
320,3.505558252
321,3.520503283
322,3.527688742
323,3.539689541
324,3.550966024
325,3.562366247
326,3.573335409
327,3.58237195
328,3.594372988
329,3.602374792
330,3.61437273
331,3.621581316
332,3.629580736
333,3.637580156
334,3.649580479
335,3.661581755
336,3.669582844
337,3.677580118
338,3.68562007
339,3.697617531
340,3.705621243
341,3.717579603
342,3.725583553
343,3.737230539
344,3.751789808
345,3.759768248
346,3.769841433
347,3.780783176
348,3.789758682
349,3.795750856
350,3.803755045
351,3.8176651
352,3.825618744
353,3.833617687
354,3.845616102
355,3.853614092
356,3.861614227
357,3.869613886
358,3.881665945
359,3.889682055
360,3.897616148
361,3.90561676
362,3.921486616
363,3.929449797
364,3.937449217
365,3.945450068
366,3.959890127
367,3.969172955
368,3.981382608
369,3.989359379
370,3.998336315
371,4.057500124
372,4.065505028
373,4.077460289
374,4.085527897
375,4.093526602
376,4.105478764
377,4.113460541
378,4.125280857
379,4.133315802
380,4.141343594
381,4.15328002
382,4.164061546
383,4.174099684
384,4.186264038
385,4.19778204
386,4.205766439
387,4.214902878
388,4.221517801
389,4.233492613
390,4.241491079
391,4.249492407
392,4.261453629
393,4.269454956
394,4.277451754
395,4.285490036
396,4.297490835
397,4.308413506
398,4.320659161
399,4.332231522
400,4.340234041
401,4.353725672
402,4.36340785
403,4.373190403
404,4.386333704
405,4.397950172
406,4.405893326
407,4.416817904
408,4.424832821
409,4.432884216
410,4.444849968
411,4.452851057
412,4.464852095
413,4.480853081
414,4.488852024
415,4.496848345
416,4.504846096
417,4.517918825
418,4.529907703
419,4.549949169
420,4.561908484
421,4.569907665
422,4.581972837
423,4.59882164
424,4.614597082
425,4.625604153
426,4.634469986
427,4.642448425
428,4.653526783
429,4.661487579
430,4.669555187
431,4.681489944
432,4.693490744
433,4.709207296
434,4.719154358
435,4.730125427
436,4.739127636
437,4.748036861
438,4.757018805
439,4.767985344
440,4.776998758
441,4.790922642
442,4.804887056
443,4.817767382
444,4.827645779
445,4.839648724
446,4.85111618
447,4.863365412
448,4.87533164
449,4.886534452
450,4.894530535
451,4.906533003
452,4.920052052
453,4.932087898
454,4.940052271
455,4.952046394
456,4.964051247
457,4.972048283
458,4.984050512
459,4.992048264
460,5.000051737
461,5.008047581
462,5.02481842
463,5.040785789
464,5.05802536
465,5.069546938
466,5.082403421
467,5.092374086
468,5.103456259
469,5.115411997
470,5.127951622
471,5.139988184
472,5.151953697
473,5.15995574
474,5.171952724
475,5.183954716
476,5.195952892
477,5.211951494
478,5.219951153
479,5.232965946
480,5.251820326
481,5.264677525
482,5.272667646
483,5.287290812
484,5.302253723
485,5.314807177
486,5.327798605
487,5.339800358
488,5.367828369
489,5.38618803
490,5.398157597
491,5.4081285
492,5.418688297
493,5.430683851
494,5.442687035
495,5.454684496
496,5.470890045
