Generacion;Tiempo
1;0.019818783
2;0.049949884
3;0.094880581
4;0.130201101
5;0.170130253
6;0.219826937
7;0.259850264
8;0.304953814
9;0.349719286
10;0.389965057
11;0.434912682
12;0.479869366
13;0.520089388
14;0.549792528
15;0.589919329
16;0.634894133
17;0.679946661
18;0.720050812
19;0.759901285
20;0.800178528
21;0.839920759
22;0.885007381
23;0.919828653
24;0.960197687
25;0.999814272
26;1.039961815
27;1.080261707
28;1.120409966
29;1.159828424
30;1.210145712
31;1.254805565
32;1.299928904
33;1.350206137
34;1.414990902
35;1.479832649
36;1.534873247
37;1.570009232
38;1.620033264
39;1.690761328
40;1.759938002
41;1.79990077
42;1.83993268
43;1.880028725
44;1.919800758
45;1.949826717
46;1.990891695
47;2.029948235
48;2.069816351
49;2.129824877
50;2.174919128
51;2.220166922
52;2.250031948
53;2.291207075
54;2.335189342
55;2.370040655
56;2.430204153
57;2.469821453
58;2.510200977
59;2.549812078
60;2.585104942
61;2.619968414
62;2.660016537
63;2.700178385
64;2.739923954
65;2.780215025
66;2.820129871
67;2.859904289
68;2.904954672
69;2.940000772
70;2.980129719
71;3.019994736
72;3.059993267
73;3.100208759
74;3.140118837
75;3.191706896
76;3.239998102
77;3.289843798
78;3.329865217
79;3.369888306
80;3.410060644
81;3.460144281
82;3.509964705
83;3.550014496
84;3.605125189
85;3.639793873
86;3.705076933
87;3.750162363
88;3.791993141
89;3.830192566
90;3.874965191
91;3.919732094
92;3.970215797
93;3.999866962
94;4.055041552
95;4.099750757
96;4.134945631
97;4.170788288
98;4.220049858
99;4.249981403
100;4.299898863
101;4.349874496
102;4.392420292
103;4.440189362
104;4.480170012
105;4.524932861
106;4.579866409
107;4.620068312
108;4.669845819
109;4.714982033
110;4.760169506
111;4.809980631
112;4.850040197
113;4.892568588
114;4.930064678
115;4.990170002
116;5.039968252
117;5.080203295
118;5.130093575
119;5.169995546
120;5.2247684
121;5.270129442
122;5.320082426
123;5.365174055
124;5.41511035
125;5.460054398
126;5.519721508
127;5.579806566
128;5.635227203
129;5.680165768
130;5.749977589
131;5.800127745
132;5.849873066
133;5.889736891
134;5.919815302
135;5.969821453
136;6.015053749
137;6.059998512
138;6.100155592
139;6.129862547
140;6.169869661
141;6.219723225
142;6.259980679
143;6.300076485
144;6.329909086
145;6.380145311
146;6.420161486
147;6.470050573
148;6.519815445
149;6.550044775
150;6.594724655
151;6.634796858
152;6.680179119
153;6.719795465
154;6.75515151
155;6.800118685
156;6.829893112
157;6.879756451
158;6.919795275
159;6.965188265
160;6.999764919
161;7.03985548
162;7.080215693
163;7.119795799
164;7.159822702
165;7.200119495
166;7.239694118
167;7.284854889
168;7.319806099
169;7.360184431
170;7.399969816
171;7.444944382
172;7.48490119
173;7.520227671
174;7.579989195
175;7.620030403
176;7.670190811
177;7.730142593
178;7.769817591
179;7.819853306
180;7.870787144
181;7.900189877
182;7.955178499
183;7.990101337
184;8.030175686
185;8.07013607
186;8.115182161
187;8.150146246
188;8.190188169
189;8.224986076
190;8.270140171
191;8.309774876
192;8.349716663
193;8.404829741
194;8.439902067
195;8.490015984
196;8.530162573
197;8.56991601
198;8.620138168
199;8.660167217
200;8.699806452
201;8.740181923
202;8.769944191
203;8.820000887
204;8.85973525
205;8.899987698
206;8.940094709
207;8.979814291
208;9.020124197
209;9.060159683
210;9.100233078
211;9.140054703
212;9.185163975
213;9.219920397
214;9.260178804
215;9.300149441
216;9.339907408
217;9.384873152
218;9.444770575
219;9.479959726
220;9.520168304
221;9.569885254
222;9.61015439
223;9.659744024
224;9.729929686
225;9.775087118
226;9.829963684
227;9.889974594
228;9.939715624
229;10.03493524
230;10.08495069
231;10.13011861
232;10.16999459
233;10.21982908
234;10.26980138
235;10.31488419
236;10.34980011
237;10.41982174
238;10.45981956
239;10.49021649
240;10.52986145
241;10.56496716
242;10.59995317
243;10.63997149
244;10.67998075
245;10.72499609
246;10.76014662
247;10.80000401
248;10.84001827
249;10.8887701
250;10.94262671
251;10.9835186
252;11.02141571
253;11.05632353
254;11.09222722
255;11.13003945
256;11.17691445
257;11.24573231
258;11.28961086
259;11.33149838
260;11.37251234
261;11.4144001
262;11.45229864
263;11.48620868
264;11.52909446
265;11.57983708
266;11.62686038
267;11.69020247
268;11.73209262
269;11.77548432
270;11.82099748
271;11.86997843
272;11.91011906
273;11.96174192
274;12.01498055
275;12.06175637
276;12.0999558
277;12.14970183
278;12.18999195
279;12.23004889
280;12.28984475
281;12.33990383
282;12.39014983
283;12.43474984
284;12.48990202
285;12.54981256
286;12.59006739
287;12.6397121
288;12.68999195
289;12.74998426
290;12.81004763
291;12.87708473
292;12.9389174
293;12.99676514
294;13.04663014
295;13.11644626
296;13.18725324
297;13.25999069
298;13.31484461
299;13.37568188
300;13.41956449
301;13.46145248
302;13.51565695
303;13.55953693
304;13.62336874
305;13.69417644
306;13.74424815
307;13.78792858
308;13.82981944
309;13.88275647
310;13.92563915
311;13.98003602
312;14.02591348
313;14.07478166
314;14.12963986
315;14.18249202
316;14.22972989
317;14.27161765
318;14.32248044
319;14.36536813
320;14.41030383
321;14.45648623
322;14.5046649
323;14.55153871
324;14.59242821
325;14.65426421
326;14.70422339
327;14.75209641
328;14.79697514
329;14.83991075
330;14.89692831
331;14.94092798
332;14.98515606
333;15.03734446
334;15.08130622
335;15.12130666
336;15.16930866
337;15.22131395
338;15.2693193
339;15.31753516
340;15.38174629
341;15.44174647
342;15.49976707
343;15.56376076
344;15.63377404
345;15.72577286
346;15.77378845
347;15.82977915
348;15.8977499
349;15.95375061
350;16.00581431
351;16.05781341
352;16.10981584
353;16.15781379
354;16.21781802
355;16.25781369
356;16.30981255
357;16.36181378
358;16.41381788
359;16.46981549
360;16.51781559
361;16.57381487
362;16.62981653
363;16.68566179
364;16.73766041
365;16.78962445
366;16.84562421
367;16.89755154
368;16.94955564
369;17.01364732
370;17.06564665
371;17.12154818
372;17.17368913
373;17.2336688
374;17.27766657
375;17.33766484
376;17.38971019
377;17.43769646
378;17.51170969
379;17.59772134
380;17.74774146
381;17.81375098
382;17.87410212
383;17.9420681
384;18.0061636
385;18.0741632
386;18.13016462
387;18.19217825
388;18.25217915
389;18.30247307
390;18.35847211
391;18.40647936
392;18.48663545
393;18.54663825
394;18.60246181
395;18.65846205
396;18.71526837
397;18.7632699
398;18.83028483
399;18.89023161
400;18.94623542
401;18.99926901
402;19.04726958
403;19.0982852
404;19.14628816
405;19.21580482
406;19.27831864
407;19.33031964
408;19.37831855
409;19.42783809
410;19.48234797
411;19.54234767
412;19.60223794
413;19.67423677
414;19.73988032
415;19.79828835
416;19.85429883
417;19.90227151
418;19.95027113
419;19.99927354
420;20.05527425
421;20.13028669
422;20.18628669
423;20.24228573
424;20.29980731
425;20.35580707
426;20.41454244
427;20.47053862
428;20.51927972
429;20.57481337
430;20.62680101
431;20.6827991
432;20.74680042
433;20.80680203
434;20.86280298
435;20.92783403
436;20.97886276
437;21.03484941
438;21.08396006
439;21.13595796
440;21.20697331
441;21.25898099
442;21.31995559
443;21.37898612
444;21.43497396
445;21.49495029
446;21.56695175
447;21.66798425
448;21.74300241
449;21.80403233
450;21.85603118
451;21.91507459
452;21.97510099
453;22.0430851
454;22.09191751
455;22.13991737
456;22.19493198
457;22.26294136
458;22.32326531
459;22.37878537
460;22.43478274
461;22.48789716
462;22.54389954
463;22.59989548
464;22.66789699
465;22.73590231
466;22.78787875
467;22.8358829
468;22.90416741
469;22.9561677
470;23.01586437
471;23.0678637
472;23.13186669
473;23.19586873
474;23.25986362
475;23.30786443
476;23.36786294
477;23.43186545
478;23.50386405
479;23.57186341
480;23.66386294
481;23.72386312
482;23.7878623
483;23.84386182
484;23.90386248
485;23.96786165
486;24.02386379
487;24.08386135
488;24.14128256
489;24.20528173
490;24.25728106
491;24.32128263
492;24.38980055
493;24.4577992
494;24.51779985
495;24.57379699
496;24.64580441
497;24.70178366
498;24.76578426
499;24.83378863
500;24.90179634
501;24.9617939
502;25.0152595
503;25.0752573
504;25.14349747
505;25.21962214
506;25.28369594
507;25.35567784
508;25.41189265
509;25.46788287
510;25.52427292
511;25.5802772
512;25.64979196
513;25.78830862
514;25.89499426
515;25.98376513
516;26.07182765
517;26.1358273
518;26.20980978
519;26.27382088
520;26.3378098
521;26.39780879
522;26.46980929
523;26.53381157
524;26.60580969
525;26.66180825
526;26.72980881
527;26.78580809
528;26.84180665
529;26.89780831
530;26.95381045
531;27.00580764
532;27.05780792
533;27.11380672
534;27.16980624
535;27.23780727
536;27.28980613
537;27.35380602
538;27.40580606
539;27.46980691
540;27.54180527
541;27.60580635
542;27.69380617
543;27.74981046
544;27.8018043
545;27.85380411
546;27.92180443
547;27.97926211
548;28.03525782
549;28.0992589
550;28.15127206
551;28.21926713
552;28.26726365
553;28.32326388
554;28.37176538
555;28.43976402
556;28.49972796
557;28.55572891
558;28.61572742
559;28.6719501
560;28.73195028
561;28.79580021
562;28.85578108
563;28.9157815
564;28.97178984
565;29.03578901
566;29.10778785
567;29.17178798
568;29.23978758
569;29.29579473
570;29.35597253
571;29.41597295
572;29.4799726
573;29.54397154
574;29.59997296
575;29.65597177
576;29.7199719
577;29.7879374
578;29.84393764
579;29.90793967
580;29.95996857
581;30.03197026
582;30.12396812
583;30.20396829
584;30.28010654
585;30.33610725
586;30.39210582
587;30.45210505
588;30.50810504
589;30.57210374
590;30.63210607
591;30.69610667
592;30.74810576
593;30.80010533
594;30.86830473
595;30.92830825
596;30.984308
597;31.05984068
598;31.12782836
599;31.20460248
600;31.26811957
601;31.32411933
602;31.3846333
603;31.43263364
604;31.4966352
605;31.57165217
606;31.63965249
607;31.71267152
608;31.76848912
609;31.85250187
610;31.93249774
611;31.9880116
612;32.06452751
613;32.13653111
614;32.22005486
615;32.2845645
616;32.3405652
617;32.40446448
618;32.46442223
619;32.52442074
620;32.58826351
621;32.66378164
622;32.71978092
623;32.78829408
624;32.83629394
625;32.89612603
626;32.94812632
627;33.02026272
628;33.08778787
629;33.143785
630;33.2163012
631;33.26782036
632;33.33182406
633;33.38459444
634;33.4365983
635;33.50376201
636;33.56127739
637;33.62127733
638;33.69980025
639;33.76931143
640;33.83731008
641;33.91746855
642;33.9856329
643;34.03762889
644;34.10563064
645;34.16764379
646;34.24764442
647;34.30565929
648;34.35765529
649;34.40766549
650;34.46567822
651;34.52167892
652;34.57355094
653;34.62955046
654;34.70565987
655;34.7819283
656;34.84993148
657;34.92402792
658;34.97776508
659;35.03376889
660;35.08576465
661;35.13376522
662;35.18976521
663;35.24576378
664;35.29384184
665;35.34585333
666;35.39585781
667;35.45387101
668;35.51786113
669;35.58569479
670;35.64969611
671;35.73372245
672;35.78567219
673;35.84567451
674;35.90567541
675;35.95792031
676;36.01792002
677;36.07022142
678;36.11822224
679;36.16622162
680;36.2222209
681;36.27441645
682;36.32241678
683;36.38393688
684;36.44793653
685;36.50322032
686;36.55448985
687;36.61447859
688;36.6904788
689;36.7584784
690;36.81600332
691;36.88652062
692;36.93922472
693;36.99874449
694;37.05474329
695;37.11187243
696;37.16288686
697;37.21888781
698;37.28689408
699;37.35089374
700;37.40713644
701;37.47964859
702;37.53965092
703;37.60317159
704;37.67983961
705;37.7358377
706;37.78723669
707;37.83923817
708;37.89168239
709;37.949229
710;37.99525571
711;38.04724431
712;38.1032424
713;38.15124202
714;38.21175838
715;38.26327085
