Generacion,Tiempo
1,0.016001701
2,0.044001341
3,0.065383434
4,0.085529566
5,0.109493971
6,0.149493217
7,0.182063341
8,0.206066608
9,0.231129169
10,0.252917528
11,0.277864695
12,0.301860571
13,0.321858406
14,0.345819473
15,0.366055727
16,0.394092083
17,0.41809535
18,0.438053846
19,0.469943523
20,0.493942738
21,0.517942667
22,0.541939735
23,0.561943054
24,0.58194232
25,0.60597682
26,0.625948668
27,0.647861242
28,0.674241304
29,0.698242426
30,0.726240635
31,0.750280857
32,0.778308868
33,0.802314043
34,0.826346636
35,0.846308947
36,0.866519928
37,0.890479326
38,0.914483547
39,0.934478998
40,0.958786726
41,0.978774071
42,1.006774902
43,1.038773298
44,1.074774027
45,1.098775387
46,1.126777649
47,1.146774769
48,1.170870304
49,1.194866657
50,1.268387556
51,1.292395353
52,1.312386274
53,1.332389116
54,1.352385044
55,1.379125118
56,1.395124912
57,1.41912508
58,1.439124584
59,1.459019899
60,1.478993177
61,1.498992443
62,1.522997141
63,1.558869123
64,1.594834328
65,1.614839315
66,1.634835005
67,1.659134388
68,1.679028511
69,1.711031199
70,1.735032558
71,1.759498835
72,1.779487133
73,1.795487642
74,1.819489956
75,1.843487978
76,1.859489202
77,1.900001049
78,1.936001778
79,1.963519335
80,1.987518787
81,2.011517525
82,2.031518221
83,2.055517435
84,2.079517365
85,2.103599072
86,2.126295805
87,2.146298647
88,2.170332909
89,2.198296309
90,2.222300053
91,2.242296934
92,2.262299061
93,2.286335468
94,2.306334734
95,2.330295801
96,2.350336313
97,2.376351357
98,2.409950733
99,2.432906151
100,2.460931063
101,2.474019766
102,2.498272419
103,2.519223452
104,2.544279337
105,2.564035892
106,2.583649635
107,2.604274035
108,2.622032166
109,2.643020153
110,2.664051294
111,2.685005188
112,2.713424444
113,2.728981972
114,2.763060808
115,2.777014017
116,2.798003674
117,2.822400808
118,2.844025612
119,2.863964081
120,2.884135485
121,2.902369499
122,2.929393291
123,2.949328661
124,2.969949722
125,2.99408412
126,3.019047022
127,3.032568455
128,3.059147835
129,3.074179649
130,3.094137907
131,3.116305828
132,3.142322063
133,3.163317919
134,3.183524609
135,3.20905447
136,3.230091572
137,3.249214172
138,3.263237476
139,3.290590763
140,3.311540604
141,3.33257246
142,3.353567123
143,3.374084711
144,3.39435482
145,3.41644454
146,3.434040546
147,3.45642066
148,3.474374533
149,3.497436523
150,3.519185543
151,3.540177107
152,3.561168432
153,3.574269056
154,3.599265814
155,3.620215893
156,3.639353037
157,3.652653456
158,3.734280825
159,3.756555557
160,3.777511597
161,3.798541784
162,3.819498539
163,3.84049058
164,3.861482382
165,3.883116007
166,3.904108286
167,3.924113274
168,3.946743965
169,3.974104643
170,3.994234324
171,4.016453981
172,4.039083958
173,4.059509516
174,4.078936815
175,4.099520683
176,4.119146347
177,4.142579556
178,4.17368269
179,4.197618246
180,4.22055459
181,4.241461515
182,4.275618315
183,4.300325871
184,4.328398705
185,4.360326767
186,4.384325027
187,4.416325331
188,4.436325073
189,4.464324951
190,4.492325306
191,4.512326717
192,4.536325455
193,4.56032443
194,4.584323883
195,4.608326435
196,4.632325172
197,4.656324625
198,4.688325644
199,4.716324091
200,4.736324787
201,4.768324852
202,4.796324968
203,4.820324183
204,4.848325253
205,4.8763237
206,4.900323629
207,4.92832303
208,4.952324152
209,4.976322889
210,5.004334927
211,5.032324076
212,5.064323664
213,5.092332363
214,5.120324612
215,5.148324251
216,5.18432641
217,5.212330103
218,5.236323357
219,5.264323235
220,5.296322823
221,5.328323364
222,5.356322527
223,5.384323597
224,5.41748333
225,5.43748498
226,5.465483427
227,5.48800087
228,5.51999855
229,5.547996998
230,5.577531099
231,5.601518154
232,5.62952137
233,5.661518097
234,5.68551755
235,5.709519148
236,5.737518549
237,5.769517899
238,5.801521063
239,5.83351779
240,5.861519337
241,5.881626129
242,5.897625208
243,5.925626755
244,5.953629017
245,5.981634855
246,6.001636982
247,6.021635771
248,6.0456357
249,6.117747784
250,6.137785673
251,6.161747217
252,6.185717106
253,6.205753088
254,6.22571969
255,6.245717525
256,6.269719601
257,6.28822422
258,6.312226057
259,6.332264423
260,6.35222888
261,6.372297764
262,6.393710375
263,6.413709164
264,6.437669516
265,6.457668304
266,6.47785759
267,6.497884512
268,6.521886826
269,6.537885666
270,6.561884403
271,6.581751108
272,6.601710558
273,6.625710726
274,6.645749092
275,6.665712118
276,6.685548067
277,6.709548473
278,6.729550838
279,6.753585577
280,6.773549318
281,6.797832489
282,6.825767279
283,6.845765352
284,6.869770527
285,6.894040823
286,6.914079905
287,6.934037209
288,6.958038092
289,6.978038073
290,7.000087976
291,7.020128727
292,7.0400877
293,7.060087442
294,7.082098007
295,7.10609746
296,7.126097679
297,7.146139622
298,7.170098066
299,7.192117214
300,7.216116667
301,7.236116409
302,7.256115198
303,7.278141975
304,7.298191786
305,7.318124771
306,7.338125467
307,7.362165689
308,7.382124662
309,7.400133371
310,7.420132637
311,7.444135904
312,7.460134983
313,7.482141495
314,7.506145
315,7.530145168
316,7.550180674
317,7.570144415
318,7.592156887
319,7.6121912
320,7.632199287
321,7.656154633
322,7.678215742
323,7.698245287
324,7.718243599
325,7.742203712
326,7.76220727
327,7.786589622
328,7.806550741
329,7.826553583
330,7.846591711
331,7.866590261
332,7.886512518
333,7.910475731
334,7.930514097
335,7.950474977
336,7.970515013
337,7.994431973
338,8.010390997
339,8.030392885
340,8.05442977
341,8.078518152
342,8.094548464
343,8.118548393
344,8.138546228
345,8.162575245
346,8.186486483
347,8.206487179
348,8.226525784
349,8.250486374
350,8.266525269
351,8.286533356
352,8.310535431
353,8.330538034
354,8.346575737
355,8.366573811
356,8.3907125
357,8.466710567
358,8.4882195
359,8.508219242
360,8.529776096
361,8.54981184
362,8.569812298
363,8.591058969
364,8.615058661
365,8.635098457
366,8.655058146
367,8.675058603
368,8.694916725
369,8.718954086
370,8.742914438
371,8.758914471
372,8.778815269
373,8.798796892
374,8.822794199
375,8.842797279
376,8.862792253
377,8.888308525
378,8.908309937
379,8.928308487
380,8.948310852
381,8.968310356
382,8.991020441
383,9.015022993
384,9.035020113
385,9.055019855
386,9.079231977
387,9.099259377
388,9.119263887
389,9.143222094
390,9.163353682
391,9.18321681
392,9.207217455
393,9.22717905
394,9.251182556
395,9.267555714
396,9.291068792
397,9.311068296
398,9.331500292
399,9.359502077
400,9.379025936
401,9.399021387
402,9.419017792
403,9.439056873
404,9.459019661
405,9.483162403
406,9.49916029
407,9.519121647
408,9.543126106
409,9.563536882
410,9.583055496
411,9.607056141
412,9.627058506
413,9.647019386
414,9.667016268
415,9.687085629
416,9.711048603
417,9.731528282
418,9.751527309
419,9.77152729
420,9.795079947
421,9.819080114
422,9.839083433
423,9.863041162
424,9.883177519
425,9.903217554
426,9.927554846
427,9.947515965
428,9.967516899
429,9.991031885
430,10.01503396
431,10.03107953
432,10.05503392
433,10.07503176
434,10.09490347
435,10.11890697
436,10.14290237
437,10.16290331
438,10.18719125
439,10.21118999
440,10.23123312
441,10.25119281
442,10.27519059
443,10.29511046
444,10.31514859
445,10.33511043
446,10.35910845
447,10.37907195
448,10.4550643
449,10.47935581
450,10.49534631
451,10.5153482
452,10.53555799
453,10.55959582
454,10.57959771
455,10.59614825
456,10.62014675
457,10.64014244
458,10.66014314
459,10.67968106
460,10.70278859
461,10.72678566
462,10.74678588
463,10.76682591
464,10.79147696
465,10.81147742
466,10.83148098
467,10.85151863
468,10.87947893
469,10.89999604
470,10.92399311
471,10.95199227
472,10.97599244
473,10.99550843
474,11.01551008
475,11.03550982
476,11.05954814
477,11.07950807
478,11.1000154
479,11.12005568
480,11.14401579
481,11.1640408
482,11.18801522
483,11.20801544
484,11.23201919
485,11.25201893
486,11.27205563
487,11.29212809
488,11.3120873
489,11.33209062
490,11.35608792
491,11.3760879
492,11.39609957
493,11.41609502
494,11.44809532
495,11.46809602
496,11.49230552
497,11.51230741
498,11.53234935
499,11.55630565
500,11.5763061
