Generacion,Tiempo
1,0.016890526
2,0.054805517
3,0.072842121
4,0.104129076
5,0.119749784
6,0.150991917
7,0.173128843
8,0.204418421
9,0.235108852
10,0.277431965
11,0.299157619
12,0.314782143
13,0.346023083
14,0.373644352
15,0.389316797
16,0.420552254
17,0.451795578
18,0.486272335
19,0.501258612
20,0.532546759
21,0.548123598
22,0.574293852
23,0.605540752
24,0.621205091
25,0.652444839
26,0.689791679
27,0.716819286
28,0.733512163
29,0.764759302
30,0.790391445
31,0.821640253
32,0.837255478
33,0.868541956
34,0.890762568
35,0.934762716
36,0.959822655
37,0.975335121
38,1.027187347
39,1.048467875
40,1.0756073
41,1.106854916
42,1.138097763
43,1.188152075
44,1.216772318
45,1.250546694
46,1.276082754
47,1.291710138
48,1.322952032
49,1.35081625
50,1.391074657
51,1.40111661
52,1.432364464
53,1.463658333
54,1.49187994
55,1.507493973
56,1.55431819
57,1.606669426
58,1.633251905
59,1.649918795
60,1.67604661
61,1.691713333
62,1.72295475
63,1.754199505
64,1.776287556
65,1.791915894
66,1.823154926
67,1.86436367
68,1.884465456
69,1.900087595
70,1.93133235
71,1.962575674
72,1.992209673
73,2.023449898
74,2.05527091
75,2.090977669
76,2.116650581
77,2.132315874
78,2.16356039
79,2.177565098
80,2.208812237
81,2.240058184
82,2.255676031
83,2.294854403
84,2.31599021
85,2.347283602
86,2.362921
87,2.393151283
88,2.408765078
89,2.455587387
90,2.477797508
91,2.50908041
92,2.546342134
93,2.567790508
94,2.593537331
95,2.609153748
96,2.640400648
97,2.671639681
98,2.693861961
99,2.728122234
100,2.762839556
101,2.78432703
102,2.815619469
103,2.83123827
104,2.862480879
105,2.878643274
106,2.909934044
107,2.941132784
108,2.978536844
109,3.00936389
110,3.034384251
111,3.05007267
112,3.078730822
113,3.109981537
114,3.125602722
115,3.156843901
116,3.183640003
117,3.221389055
118,3.234390497
119,3.265679121
120,3.294408321
121,3.310027361
122,3.341268778
123,3.356886148
124,3.386211634
125,3.43133831
126,3.450068712
127,3.479210138
128,3.510505438
129,3.526120424
130,3.557361603
131,3.579534769
132,3.6107831
133,3.643655062
134,3.667651892
135,3.695375443
136,3.711005926
137,3.742233038
138,3.773480415
139,3.795700788
140,3.826898575
141,3.857322454
142,3.88321209
143,3.89991045
144,3.931188345
145,3.962441444
146,3.980612993
147,4.011906147
148,4.027480841
149,4.05872345
150,4.087338686
151,4.126207113
152,4.149850845
153,4.165471792
154,4.196613073
155,4.22784996
156,4.243509293
157,4.281219244
158,4.296848536
159,4.339622259
160,4.366644144
161,4.381195784
162,4.412488937
163,4.42811656
164,4.459348917
165,4.481441736
166,4.512692928
167,4.528354406
168,4.566755056
169,4.598651886
170,4.616611004
171,4.632280588
172,4.663520098
173,4.697826385
174,4.713489532
175,4.744730234
176,4.760354996
177,4.807241917
178,4.833217144
179,4.849922419
180,4.881166697
181,4.898349762
182,4.929549217
183,4.960792065
184,4.982922077
185,5.014172077
186,5.04459691
187,5.066571474
188,5.083287716
189,5.11458087
190,5.130160093
191,5.161401272
192,5.183532238
193,5.214825392
194,5.246021986
195,5.279890537
196,5.300900698
197,5.332146883
198,5.363432169
199,5.384102821
200,5.39977479
201,5.430974483
202,5.470463991
203,5.500114679
204,5.515735388
205,5.546981335
206,5.578222036
207,5.599854469
208,5.636393309
209,5.661404133
210,5.687635899
211,5.723865271
212,5.749851227
213,5.766541004
214,5.784668207
215,5.824934483
216,5.848214626
217,5.884964466
218,5.917319059
219,5.952462196
220,5.979778528
221,5.999213934
222,6.030456781
223,6.046080828
224,6.077364445
225,6.101497173
226,6.137481689
227,6.169910908
228,6.197873831
229,6.224076271
230,6.248726606
231,6.264853001
232,6.286072016
233,6.327111244
234,6.348408461
235,6.389193773
236,6.413129568
237,6.431559563
238,6.469132423
239,6.496079206
240,6.515863419
241,6.547904015
242,6.579756975
243,6.602017641
244,6.635209322
245,6.66810298
246,6.687051058
247,6.718298674
248,6.733919144
249,6.765205383
250,6.78737998
251,6.818762541
252,6.856493235
253,6.865850687
