Framework;Algorithm;Problem;Seed;HV;GD;IGD;;;;
deap;nsga2;dtlz1;1;7.932496953;0.578356559;0.048453874;;;;
deap;nsga2;dtlz1;2;7.909923255;0.409905415;0.047254083;;;;
deap;nsga2;dtlz1;3;7.970922543;0.018758347;0.018260364;;HV;GD;IGD
deap;nsga2;dtlz1;4;7.909324356;0.751002692;0.090602525;Mejor;7.970922543;0.0181446;0.018260364
deap;nsga2;dtlz1;5;7.685556636;0.738972972;0.31654529;Media;7.851806248;0.595119849;0.096919824
deap;nsga2;dtlz1;6;7.861241668;0.964261247;0.09250998;Peor;7.403302821;1.326021743;0.31654529
deap;nsga2;dtlz1;7;7.763471752;1.114574344;0.149015377;;;;
deap;nsga2;dtlz1;8;7.943349417;0.357993772;0.052133794;;;;
deap;nsga2;dtlz1;9;7.957060895;0.156604913;0.040239505;;;;
deap;nsga2;dtlz1;10;7.403302821;1.326021743;0.248615556;;;;
deap;nsga2;dtlz1;11;7.91431918;0.706841581;0.040546034;;;;
deap;nsga2;dtlz1;11;7.9707055;0.0181446;0.0188615;;;;
;;;;;;;;;;
deap;nsga3;dtlz1;1;7.973655692;0.000149985;0.000108068;;;;
deap;nsga3;dtlz1;2;7.973520106;0.003808716;0.002674045;;;;
deap;nsga3;dtlz1;3;7.973678972;0.00041364;0.00015866;;;;
deap;nsga3;dtlz1;4;7.973619773;0.000238789;0.000235531;;;;
deap;nsga3;dtlz1;5;7.971593812;0.009951054;0.009723342;;;;
deap;nsga3;dtlz1;6;7.973638757;0.000458956;0.000322717;;;;
deap;nsga3;dtlz1;7;7.97365892;0.000184264;0.000125244;;;;
deap;nsga3;dtlz1;8;7.973651932;0.000565313;0.000390581;Mejor;7.973678972;0.000149985;0.0000615
deap;nsga3;dtlz1;9;7.97349162;0.00079225;0.0007898;Media;7.973482207;0.001310174;0.001120529
deap;nsga3;dtlz1;10;7.973660058;0.000352069;0.000248232;Peor;7.971593812;0.009951054;0.009723342
deap;nsga3;dtlz1;11;7.973675883;0.000181688;6.46E-05;;;;
deap;nsga3;dtlz1;12;7.973597963;0.000529172;0.000446553;;;;
deap;nsga3;dtlz1;13;7.973313749;0.001900135;0.001637166;;;;
deap;nsga3;dtlz1;14;7.973053743;0.002914391;0.00291367;;;;
deap;nsga3;dtlz1;15;7.973437243;0.00107325;0.001070032;;;;
deap;nsga3;dtlz1;16;7.973603807;0.001698495;0.00112713;;;;
deap;nsga3;dtlz1;17;7.973500939;0.000962764;0.000901181;;;;
deap;nsga3;dtlz1;18;7.973625567;0.001369946;0.000982516;;;;
deap;nsga3;dtlz1;19;7.973665112;0.000441631;0.000285301;;;;
deap;nsga3;dtlz1;20;7.973670536;0.000218926;6.15E-05;;;;
deap;nsga3;dtlz1;21;7.973626178;0.000240086;0.000227262;;;;
deap;nsga3;dtlz1;11;7.9736682;0.0003783;0.0001585;;;;
;;;;;;;;;;
moeadr;moead;dtlz1;1;7.817879239;19.23075356;0.028935429;;;;
moeadr;moead;dtlz1;2;7.815320882;36.74412997;0.026986074;;;;
moeadr;moead;dtlz1;3;7.816021745;16.29240487;0.027108695;;;;
moeadr;moead;dtlz1;4;7.81061281;19.67014705;0.028551801;Mejor;7.944487429;0.106464676;0.025684703
moeadr;moead;dtlz1;5;7.915628656;17.26103365;0.025684703;Media;7.836281703;15.84241454;0.027740651
moeadr;moead;dtlz1;6;7.761786493;13.45410063;0.030299593;Peor;7.761786493;36.74412997;0.030299593
moeadr;moead;dtlz1;7;7.831386999;10.95356658;0.027468572;;;;
moeadr;moead;dtlz1;8;7.825624847;6.709297382;0.027443923;;;;
moeadr;moead;dtlz1;9;7.944487429;0.106464676;0.027437663;;;;
moeadr;moead;dtlz1;10;7.915355603;20.03734107;0.026708437;;;;
moeadr;moead;dtlz1;11;7.765254031;13.35733019;0.029154216;;;;
moeadr;moead;dtlz1;11;7.8160217;16.2924049;0.0271087;;;;
;;;;;;;;;;
pymoo;nsga2;dtlz1;1;7.970361265;0.019738403;0.019363193;;;;
pymoo;nsga2;dtlz1;2;7.970381809;0.019194174;0.021160708;;;;
pymoo;nsga2;dtlz1;3;7.969704607;0.031886612;0.019776138;;;;
pymoo;nsga2;dtlz1;4;7.970506484;0.018489022;0.019613934;;;;
pymoo;nsga2;dtlz1;5;7.968558187;0.017482647;0.021660497;Mejor;7.971371331;0.017482647;0.017371345
pymoo;nsga2;dtlz1;6;7.968695096;0.01939261;0.020840543;Media;7.970054604;0.0199759;0.019866166
