"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"rmoo","nsga2","motsp",1,0.181554558831937,0.288868663669006,0.427815865984349
"rmoo","nsga2","motsp",2,0.181172791534915,0.280643747820191,0.419804248632144
"rmoo","nsga2","motsp",3,0.191667188172324,0.306285593367206,0.425329523327625
"rmoo","nsga2","motsp",4,0.184842472568721,0.268679800549155,0.421246652495453
"rmoo","nsga2","motsp",5,0.180757229308638,0.280728172965938,0.422063846472188
"rmoo","nsga2","motsp",6,0.179232437979592,0.288018786072741,0.431919677431593
"rmoo","nsga2","motsp",7,0.18340285848708,0.284289464376038,0.425557584422671
"rmoo","nsga2","motsp",8,0.178406261433841,0.280097667462547,0.427004825452375
"rmoo","nsga2","motsp",9,0.180040952286753,0.26907911315783,0.423414993779555
"rmoo","nsga2","motsp",10,0.187119049088172,0.253448491502358,0.411660470792676
"rmoo","nsga2","motsp",11,0.176843089615615,0.298093054983799,0.435801030306102
