"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"rmoo","nsga3","motsp",1,0.187066876337132,0.208465499590978,0.402600026589911
"rmoo","nsga3","motsp",2,0.186456301123329,0.209246176760745,0.402142482059699
"rmoo","nsga3","motsp",3,0.200755977724848,0.177519260539447,0.381044057700239
"rmoo","nsga3","motsp",4,0.185345169834915,0.226106902460937,0.405328342671082
"rmoo","nsga3","motsp",5,0.187673215129038,0.217455585400404,0.405462165321329
"rmoo","nsga3","motsp",6,0.189103221534827,0.199450588903831,0.396751940475543
"rmoo","nsga3","motsp",7,0.188451372600535,0.21243772910577,0.401482254895838
"rmoo","nsga3","motsp",8,0.184847036519719,0.224606331370139,0.408773760732511
"rmoo","nsga3","motsp",9,0.188720595275032,0.210935435032866,0.401583467711404
"rmoo","nsga3","motsp",10,0.188154089749706,0.214458241208933,0.402068356810773
"rmoo","nsga3","motsp",11,0.184309963331088,0.224080700652989,0.40774449449165
