"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"deap","nsga2","zdt1",1,3.65806587959494,0.00567178548266879,0.00444039044444215
"deap","nsga2","zdt1",2,3.65871038448618,0.00513452673209078,0.00402783092893213
"deap","nsga2","zdt1",3,3.65996256165152,0.00519482246056311,0.00351305956073038
"deap","nsga2","zdt1",4,3.6588351126696,0.00456698768900938,0.00396501020538859
"deap","nsga2","zdt1",5,3.659203604003,0.00447280965103667,0.00361771831372462
"deap","nsga2","zdt1",6,3.65946177180294,0.00460229284413312,0.00363375188022868
"deap","nsga2","zdt1",7,3.65830628849348,0.00513113853282328,0.00443527904874969
"deap","nsga2","zdt1",8,3.6585272750053,0.0048308757687314,0.00412307495478537
"deap","nsga2","zdt1",9,3.65872168393469,0.00467113636185911,0.00413741529659445
"deap","nsga2","zdt1",10,3.6580384062186,0.00490731788149541,0.00436567936484139
"deap","nsga2","zdt1",11,3.65888916411331,0.00458073226375269,0.00389063754890018
