Generacion,Tiempo
1,0.009971142
2,0.145652771
3,0.210430145
4,0.270271301
5,0.331107855
6,0.377025843
7,0.443077564
8,0.49770689
9,0.555576324
10,0.618407488
11,0.671310425
12,0.733104706
13,0.792940617
14,0.857767582
15,0.907016277
16,0.965865612
17,1.036633253
18,1.094038248
19,1.179807901
20,1.24096036
21,1.29585886
22,1.348719835
23,1.384623051
24,1.421569347
25,1.482364416
26,1.538210869
27,1.594619274
28,1.674401283
29,1.748235941
30,1.827025175
31,1.89445734
32,1.978200674
33,2.06054759
34,2.138890505
35,2.203718901
36,2.276523352
37,2.341592789
38,2.399438143
39,2.483214378
40,2.549111128
41,2.620951653
42,2.674770832
43,2.72773385
44,2.786514521
45,2.855374336
46,2.916171551
47,2.994956017
48,3.046376467
49,3.110206127
50,3.175075769
51,3.233874559
52,3.294757605
53,3.340632915
54,3.39753747
55,3.45831728
56,3.513171673
57,3.571969509
58,3.630857706
59,3.684668064
60,3.759467602
61,3.813433886
62,3.871238947
63,3.940098047
64,3.99394393
65,4.048759699
66,4.102615833
67,4.157469511
68,4.215420961
69,4.268246651
70,4.323615551
71,4.401411533
72,4.456520081
73,4.517456293
74,4.572313309
75,4.63115263
76,4.68704915
77,4.744893789
78,4.825820446
79,4.884992123
80,4.947870016
81,5.02167058
82,5.104445219
83,5.17625308
84,5.27299428
85,5.350786209
86,5.433569193
87,5.502380848
88,5.599121571
89,5.673958063
90,5.732802391
91,5.806571007
92,5.873435259
93,5.925423622
94,5.992872238
95,6.036753893
96,6.10661149
97,6.161420584
98,6.221260548
99,6.286087513
100,6.335952044
101,6.390414238
102,6.447220325
103,6.521061182
104,6.561952829
105,6.618801594
106,6.676642179
107,6.731456041
108,6.787383318
109,6.850250721
110,6.905133009
111,6.942033768
112,7.000471115
113,7.068331242
114,7.13374877
115,7.193630457
116,7.30381012
117,7.395565033
118,7.469370604
119,7.525672674
120,7.582066774
121,7.636918545
122,7.687826157
123,7.745671749
124,7.804672241
125,7.8635149
126,7.932375193
127,7.989179611
128,8.057998896
129,8.120002985
130,8.186789513
131,8.259590387
132,8.322422028
133,8.393275976
134,8.47900629
135,8.563817978
136,8.616132021
137,8.693889618
138,8.783692837
139,8.839499235
140,8.89236021
141,8.944218159
142,8.99916625
143,9.058011055
144,9.127871275
145,9.181677818
146,9.237528563
147,9.287432194
148,9.354844809
149,9.399767399
150,9.471535206
151,9.544401407
152,9.599274158
153,9.650137424
154,9.707101345
155,9.764948368
156,9.818872929
157,9.875679016
158,9.935520172
159,9.990417242
160,10.04127789
161,10.10111284
162,10.1515398
163,10.20845675
164,10.26330757
165,10.32908726
166,10.38404346
167,10.44178677
168,10.49963164
169,10.55647993
170,10.63626575
171,10.6931541
172,10.7502079
173,10.80586028
174,10.88260984
175,10.94045544
176,11.00342393
177,11.05927515
178,11.11426044
179,11.16437531
180,11.21424627
181,11.27708077
182,11.33517671
183,11.39601374
184,11.45082068
185,11.51469398
186,11.56551433
187,11.62639236
188,11.68224287
189,11.74711657
190,11.81094432
191,11.86679101
192,11.92164612
193,11.97545838
194,12.02831674
195,12.09713221
196,12.16698527
197,12.22279954
198,12.2926085
199,12.36940408
200,12.43028498
201,12.48808551
202,12.54254222
203,12.59440923
204,12.66920733
205,12.7350328
206,12.79404664
207,12.83703113
208,12.89087725
209,12.94269824
210,12.99156666
211,13.04450083
212,13.09840035
213,13.15819645
214,13.21813941
215,13.27299213
216,13.3395555
217,13.40340924
218,13.48718047
219,13.54801798
220,13.60590839
221,13.66175699
222,13.71861053
223,13.77740884
224,13.83130336
225,13.88416767
226,13.95792413
227,14.0327661
228,14.0915668
229,14.15140438
230,14.223248
231,14.28512311
232,14.35290074
233,14.40782285
234,14.45769119
235,14.50950599
236,14.56535721
237,14.62324643
238,14.67512321
