gen,nevals,Tiempo
1,91,0.00640416145324707
2,92,0.013771772384643555
3,92,0.02236795425415039
4,89,0.030950307846069336
5,91,0.03642892837524414
6,82,0.04598855972290039
7,89,0.052471160888671875
8,88,0.06180214881896973
9,84,0.06839489936828613
10,84,0.07455062866210938
11,80,0.07946372032165527
12,88,0.0843815803527832
13,90,0.09403634071350098
14,88,0.09595417976379395
15,90,0.1040036678314209
16,88,0.1040036678314209
17,81,0.11288785934448242
18,87,0.11288785934448242
19,87,0.12094354629516602
20,86,0.12936830520629883
21,87,0.12936830520629883
22,86,0.12936830520629883
23,86,0.12936830520629883
24,92,0.14691781997680664
25,78,0.14691781997680664
26,88,0.14691781997680664
27,77,0.1627049446105957
28,86,0.17122149467468262
29,87,0.18123888969421387
30,80,0.1874847412109375
31,89,0.18848133087158203
32,79,0.1961512565612793
33,79,0.203538179397583
34,86,0.21266889572143555
35,89,0.2173900604248047
36,88,0.22441506385803223
37,88,0.22935724258422852
38,85,0.23437905311584473
39,81,0.24476909637451172
40,87,0.25040173530578613
41,77,0.2564411163330078
42,83,0.26436734199523926
43,85,0.27080225944519043
44,87,0.27174925804138184
45,76,0.2796452045440674
46,84,0.2883274555206299
47,90,0.2960841655731201
48,86,0.3040914535522461
49,78,0.3142714500427246
50,92,0.3142714500427246
51,75,0.32451701164245605
52,90,0.3284645080566406
53,83,0.3385610580444336
54,85,0.34510040283203125
55,81,0.34923887252807617
56,88,0.35704946517944336
57,83,0.36444711685180664
58,79,0.3714721202850342
59,86,0.37844371795654297
60,79,0.38411426544189453
61,86,0.38843297958374023
62,73,0.39598536491394043
63,78,0.406696081161499
64,83,0.4127771854400635
65,85,0.41843128204345703
66,88,0.4272592067718506
67,72,0.4343719482421875
68,85,0.4403407573699951
69,79,0.44666528701782227
70,86,0.45032334327697754
71,91,0.4607372283935547
72,82,0.4661993980407715
73,87,0.47250890731811523
74,88,0.48052406311035156
75,78,0.4875161647796631
76,82,0.4885132312774658
77,78,0.496077299118042
78,83,0.5041296482086182
79,89,0.5127580165863037
80,91,0.5127580165863037
81,83,0.5208108425140381
82,80,0.5323896408081055
83,76,0.5323896408081055
84,84,0.5451533794403076
85,83,0.5467579364776611
86,82,0.5467579364776611
87,81,0.5628328323364258
88,79,0.5628328323364258
89,84,0.5718858242034912
90,76,0.5718858242034912
91,80,0.5718858242034912
92,84,0.5914077758789062
93,88,0.5994625091552734
94,75,0.5994625091552734
95,91,0.6116304397583008
96,89,0.6152462959289551
97,88,0.6255044937133789
98,84,0.633350133895874
99,91,0.6383781433105469
100,94,0.6466071605682373
101,87,0.654442548751831
102,84,0.6615757942199707
103,89,0.6691679954528809
104,86,0.6701657772064209
105,83,0.6793525218963623
106,89,0.687406063079834
107,84,0.6939260959625244
108,82,0.6995494365692139
109,80,0.6995494365692139
110,82,0.7118022441864014
111,86,0.7118022441864014
112,72,0.7198536396026611
113,80,0.7292976379394531
114,81,0.7292976379394531
115,83,0.7292976379394531
116,85,0.7466933727264404
117,86,0.7466933727264404
118,87,0.762392520904541
119,73,0.7633893489837646
120,87,0.7633893489837646
121,83,0.7801315784454346
122,88,0.7801315784454346
123,84,0.7801315784454346
124,83,0.7968757152557373
125,92,0.8025388717651367
126,90,0.81573486328125
127,76,0.8177423477172852
128,93,0.8285214900970459
129,79,0.8295130729675293
130,87,0.8386716842651367
131,82,0.8468947410583496
132,82,0.8468947410583496
133,83,0.8584775924682617
134,87,0.8625311851501465
135,89,0.8625311851501465
136,84,0.8625311851501465
137,86,0.879225492477417
138,82,0.8867661952972412
139,84,0.8974804878234863
140,84,0.8987765312194824
141,85,0.905897855758667
142,76,0.9127497673034668
143,86,0.9204137325286865
144,91,0.9292380809783936
145,82,0.9292380809783936
146,84,0.9372894763946533
147,82,0.9471633434295654
148,75,0.9471633434295654
149,87,0.9552204608917236
150,88,0.9617736339569092
151,78,0.9617736339569092
152,83,0.9617736339569092
153,91,0.9784450531005859
154,83,0.9784450531005859
155,87,0.9988985061645508
156,94,1.0053939819335938
157,85,1.0164313316345215
158,90,1.028357744216919
159,83,1.042290449142456
160,84,1.0529005527496338
161,81,1.0660507678985596
162,93,1.0823237895965576
163,74,1.0958499908447266
164,86,1.1155200004577637
165,85,1.121145486831665
166,91,1.129201889038086
167,81,1.1372547149658203
168,80,1.1445457935333252
169,90,1.1476287841796875
170,85,1.1556811332702637
171,80,1.1645967960357666
172,88,1.1645967960357666
173,85,1.1645967960357666
174,84,1.1816134452819824
175,89,1.1816134452819824
176,86,1.1952033042907715
177,84,1.2011594772338867
178,89,1.2011594772338867
179,93,1.2132022380828857
180,93,1.2132022380828857
181,86,1.2132022380828857
182,91,1.2344694137573242
183,89,1.2477505207061768
184,79,1.255617380142212
185,89,1.2621204853057861
186,71,1.2701759338378906
187,84,1.2701759338378906
188,85,1.2784852981567383
189,87,1.2865321636199951
190,80,1.294074296951294
191,86,1.295069694519043
192,86,1.3032166957855225
193,72,1.3032166957855225
194,84,1.320007562637329
195,72,1.320007562637329
196,88,1.3356809616088867
197,76,1.3356809616088867
198,81,1.3467304706573486
199,83,1.3467304706573486
200,80,1.360640048980713
201,82,1.3616740703582764
202,71,1.3616740703582764
203,80,1.377216100692749
204,84,1.3792095184326172
205,84,1.3792095184326172
206,83,1.394909143447876
207,87,1.3959436416625977
208,93,1.3959436416625977
209,77,1.41278076171875
210,89,1.41278076171875
211,95,1.41278076171875
212,85,1.4295239448547363
213,80,1.4295239448547363
214,78,1.4295239448547363
215,83,1.4468274116516113
216,82,1.4526116847991943
217,83,1.4670722484588623
218,81,1.4743757247924805
219,87,1.4782803058624268
220,84,1.4863214492797852
221,83,1.4947710037231445
222,79,1.5027875900268555
223,84,1.5027875900268555
224,80,1.512535810470581
225,85,1.5292744636535645
226,82,1.5379128456115723
227,91,1.550710678100586
228,90,1.5617105960845947
229,88,1.571362018585205
230,82,1.5909833908081055
231,84,1.6138567924499512
232,90,1.6158533096313477
233,81,1.6158533096313477
234,87,1.6298441886901855
235,90,1.6298441886901855
236,85,1.645463228225708
237,84,1.651766300201416
238,81,1.651766300201416
239,79,1.6642861366271973
240,83,1.6642861366271973
241,79,1.6838657855987549
242,84,1.6900336742401123
243,78,1.6991033554077148
244,90,1.6991033554077148
245,86,1.7128627300262451
246,91,1.7128627300262451
247,75,1.7209198474884033
248,90,1.7286438941955566
249,84,1.736694097518921
250,76,1.736694097518921
251,76,1.7482786178588867
252,95,1.7502734661102295
253,86,1.763965129852295
254,84,1.771573781967163
255,88,1.7784333229064941
256,76,1.779430866241455
257,86,1.7890639305114746
258,88,1.7951347827911377
259,81,1.7951347827911377
260,78,1.8031797409057617
261,86,1.8117823600769043
262,90,1.8117823600769043
263,78,1.8117823600769043
264,89,1.828747272491455
265,83,1.828747272491455
266,92,1.828747272491455
267,84,1.8480932712554932
268,84,1.854560136795044
269,83,1.8622262477874756
270,92,1.8632235527038574
271,86,1.8632235527038574
272,87,1.8800511360168457
273,80,1.8800511360168457
274,84,1.8967969417572021
275,86,1.9045875072479248
276,78,1.9165339469909668
277,82,1.9271645545959473
278,85,1.9281628131866455
279,87,1.9362165927886963
280,85,1.9452757835388184
281,86,1.9473233222961426
282,76,1.9553329944610596
283,81,1.9616641998291016
284,92,1.9708836078643799
285,83,1.9708836078643799
286,90,1.9708836078643799
287,67,1.9877426624298096
288,84,1.9877426624298096
289,75,2.003410577774048
290,83,2.003410577774048
291,81,2.003410577774048
292,86,2.019033670425415
293,86,2.019033670425415
294,93,2.019033670425415
295,78,2.0346598625183105
296,77,2.0346598625183105
297,80,2.047708034515381
298,83,2.047708034515381
299,81,2.047708034515381
300,87,2.063372850418091
301,76,2.063372850418091
302,92,2.0789992809295654
303,82,2.080111503601074
304,88,2.088071584701538
305,90,2.0953474044799805
306,85,2.0953474044799805
307,85,2.1120903491973877
308,80,2.124030828475952
309,85,2.1328628063201904
310,82,2.1328628063201904
311,85,2.1480233669281006
312,90,2.1480233669281006
313,86,2.161958932876587
314,90,2.161958932876587
315,92,2.170011043548584
316,92,2.1785192489624023
317,88,2.1785192489624023
318,77,2.1785192489624023
319,82,2.1962826251983643
320,83,2.1962826251983643
321,86,2.1962826251983643
322,85,2.2130446434020996
323,83,2.2130446434020996
324,85,2.2130446434020996
325,91,2.2297630310058594
326,82,2.2297630310058594
327,90,2.2480690479278564
328,89,2.2490665912628174
329,78,2.2490665912628174
330,80,2.264744758605957
331,89,2.264744758605957
332,71,2.264744758605957
333,85,2.2815654277801514
334,80,2.292391300201416
335,82,2.305048704147339
336,87,2.311612606048584
337,76,2.3220226764678955
338,82,2.3281824588775635
339,88,2.3281824588775635
340,82,2.3281824588775635
341,84,2.351200580596924
342,81,2.357985734939575
343,80,2.3625950813293457
344,76,2.3706464767456055
345,85,2.3706464767456055
346,84,2.3785297870635986
347,81,2.389266014099121
348,78,2.396001100540161
349,78,2.396998643875122
350,84,2.396998643875122
351,80,2.4142813682556152
352,92,2.4142813682556152
353,81,2.4142813682556152
354,82,2.4299497604370117
355,84,2.4299497604370117
356,85,2.445608377456665
357,85,2.4486501216888428
358,85,2.4486501216888428
359,79,2.4486501216888428
360,87,2.46427583694458
361,83,2.46427583694458
362,77,2.4798967838287354
363,94,2.4798967838287354
364,91,2.4798967838287354
365,86,2.5023303031921387
366,84,2.508049964904785
367,89,2.508049964904785
368,86,2.522496223449707
369,91,2.522496223449707
370,85,2.53816556930542
371,84,2.53816556930542
372,75,2.548710346221924
373,85,2.548710346221924
374,82,2.564426898956299
375,86,2.5734338760375977
376,80,2.5829250812530518
377,75,2.5949535369873047
378,80,2.615084409713745
379,85,2.6160824298858643
380,88,2.6276774406433105
381,95,2.638141393661499
382,84,2.6486542224884033
383,87,2.6486542224884033
384,86,2.666105031967163
385,78,2.666105031967163
386,81,2.6848816871643066
387,73,2.6848816871643066
388,85,2.701686143875122
389,78,2.701686143875122
390,88,2.7152838706970215
391,84,2.7152838706970215
392,86,2.7152838706970215
393,92,2.733156681060791
394,79,2.733156681060791
395,89,2.7486743927001953
396,83,2.7486743927001953
397,81,2.765690326690674
398,71,2.765690326690674
399,87,2.765690326690674
400,81,2.7905516624450684
401,83,2.799717903137207
402,81,2.8007149696350098
403,88,2.812697172164917
404,73,2.823204755783081
405,86,2.828524112701416
406,84,2.828524112701416
407,69,2.8387231826782227
408,85,2.848773241043091
409,81,2.8497726917266846
410,80,2.86086106300354
411,86,2.8628594875335693
412,93,2.8771815299987793
413,89,2.8771815299987793
414,89,2.8771815299987793
415,87,2.8947091102600098
416,94,2.8947091102600098
417,86,2.8947091102600098
418,78,2.911757469177246
419,90,2.911757469177246
420,82,2.911757469177246
421,90,2.9284582138061523
422,85,2.9284582138061523
423,67,2.9284582138061523
424,82,2.9487149715423584
425,84,2.9487149715423584
426,85,2.9487149715423584
427,92,2.964378833770752
428,88,2.964378833770752
429,90,2.964378833770752
430,86,2.9800198078155518
431,75,2.9800198078155518
432,80,2.9800198078155518
433,92,2.998741865158081
434,85,3.0126280784606934
435,82,3.014622688293457
436,87,3.014622688293457
437,81,3.0292961597442627
438,89,3.0373106002807617
439,75,3.044745683670044
