Generacion,Tiempo
1,0.018010139
2,0.036186934
3,0.048045874
4,0.054563284
5,0.065504074
6,0.073574066
7,0.123099089
8,0.129171371
9,0.139741421
10,0.153376818
11,0.164425373
12,0.178214312
13,0.190217972
14,0.204653263
15,0.217189312
16,0.228385687
17,0.241243124
18,0.257138729
19,0.268327236
20,0.278232336
21,0.289101839
22,0.301922798
23,0.313364983
24,0.328383684
25,0.340034485
26,0.358035088
27,0.372044802
28,0.38700223
29,0.397935629
30,0.410167933
31,0.421173811
32,0.430201769
33,0.446159124
34,0.455868244
35,0.465341091
36,0.478050709
37,0.487064123
38,0.500152588
39,0.511293888
40,0.52322793
41,0.535231352
42,0.546198368
43,0.560337543
44,0.58047533
45,0.590413332
46,0.600949526
47,0.616068363
48,0.627079964
49,0.637666225
50,0.649208307
51,0.665438414
52,0.678035259
53,0.690359116
54,0.702325821
55,0.715678215
56,0.734658241
57,0.745722771
58,0.760262489
59,0.770234823
60,0.791180849
61,0.806182623
62,0.827046871
63,0.836064577
64,0.853977919
65,0.866939306
66,0.883155584
67,0.897494316
68,0.914399385
69,0.930316687
70,0.940377235
71,0.953678846
72,0.967175961
73,0.979222298
74,0.99208951
75,1.010255337
76,1.023326159
77,1.03334713
78,1.046248198
79,1.061659336
80,1.073213339
81,1.086139441
82,1.101165533
83,1.114539146
84,1.127314091
85,1.140990257
86,1.152958155
87,1.165959358
88,1.182018757
89,1.193951607
90,1.210941792
91,1.220978498
92,1.236903667
93,1.248873472
94,1.264045954
95,1.279305935
96,1.289197206
97,1.300162077
98,1.318114042
99,1.331079721
100,1.346040964
101,1.360076666
102,1.373999357
103,1.389003277
104,1.403964996
105,1.416121483
106,1.429091454
107,1.439996481
108,1.45355773
109,1.467277527
110,1.483344555
111,1.497342348
112,1.511333466
113,1.525291443
114,1.535264254
115,1.549060106
116,1.562364578
117,1.570394278
118,1.584394217
119,1.596571922
120,1.611875296
121,1.625837326
122,1.637890816
123,1.649941206
124,1.664208651
125,1.67920351
126,1.6901021
127,1.706164598
128,1.719445229
129,1.731216431
130,1.748236179
131,1.762303829
132,1.772299528
133,1.786287546
134,1.801248074
135,1.818606138
136,1.830135345
137,1.847104788
138,1.859177351
139,1.875136375
140,1.887141943
141,1.903059006
142,1.917195082
143,1.932706833
144,1.946668148
145,1.958209276
146,1.97121644
147,1.987774134
148,2.006109953
149,2.020223618
150,2.031717777
151,2.047234297
152,2.055346012
153,2.068044424
154,2.08129406
155,2.099334955
156,2.117120028
157,2.132588148
158,2.147767782
159,2.158123493
160,2.173075199
161,2.187000513
162,2.199761391
163,2.218316317
164,2.235011101
165,2.254162312
166,2.2692976
167,2.284255743
168,2.29726553
169,2.311203718
170,2.327196836
171,2.34121418
172,2.355215549
173,2.369166851
174,2.384287357
175,2.404241562
176,2.418261528
177,2.433153152
178,2.45315814
179,2.469429493
180,2.488578558
181,2.500061274
182,2.515112162
183,2.529075146
184,2.547897816
185,2.561206102
186,2.578290939
187,2.590262175
188,2.606225729
189,2.622167826
190,2.640293837
191,2.655661106
192,2.666298389
193,2.712086439
194,2.729042053
195,2.744000673
196,2.761098146
197,2.783038855
198,2.800217867
199,2.817121029
200,2.829370022
201,2.846195221
202,2.862065792
203,2.88001442
204,2.893977165
205,2.908234358
206,2.921238661
207,2.935170174
208,2.95236659
209,2.972121
210,2.987116337
211,3.005033493
212,3.020241022
213,3.036303282
214,3.047259331
215,3.06323266
216,3.077280045
217,3.090275526
218,3.10312295
219,3.120275736
220,3.135234594
221,3.149254322
222,3.166214466
223,3.18002367
224,3.194060326
225,3.208107233
226,3.220072746
227,3.232005119
228,3.245033979
229,3.259271622
230,3.272173882
231,3.284658194
232,3.300070286
233,3.319427252
234,3.332485676
235,3.350032091
236,3.363095999
237,3.37391901
238,3.384939671
239,3.395944595
240,3.40691328
241,3.422899961
242,3.438384056
243,3.451324463
244,3.464333534
245,3.479636192
246,3.496534586
247,3.516241312
248,3.533156633
249,3.547072411
250,3.560147524
251,3.577493429
252,3.5900383
253,3.6040411
254,3.620243549
255,3.635310411
256,3.650086403
257,3.663146734
258,3.678622961
259,3.69258976
260,3.711166382
261,3.726793289
262,3.739100456
263,3.750075102
264,3.768260241
265,3.778293371
266,3.788223743
267,3.799193144
268,3.817306042
269,3.82928133
270,3.838245869
271,3.852205992
272,3.864733696
273,3.880060434
274,3.896016359
275,3.913180113
276,3.925251722
277,3.940843821
278,3.953579426
279,3.969918251
280,3.985913277
281,4.002063751
282,4.016047239
283,4.032094955
284,4.050020218
285,4.065445185
286,4.086755753
287,4.098357439
288,4.116310358
289,4.129235506
290,4.145192385
291,4.16015172
292,4.173116446
293,4.189600945
294,4.203104496
295,4.219459295
296,4.235494137
297,4.252002239
298,4.263216972
299,4.279263496
300,4.299636364
301,4.313209057
302,4.322331667
303,4.333338261
304,4.346365452
305,4.361856222
306,4.37899375
307,4.391527653
308,4.409231901
309,4.422357559
310,4.433023453
311,4.448981524
312,4.463214397
313,4.477704763
314,4.492165804
315,4.506032944
316,4.516038179
317,4.528051376
318,4.541051865
319,4.55697298
320,4.578246832
321,4.59039402
322,4.615456343
323,4.629310369
324,4.647335052
325,4.661164284
326,4.676814079
327,4.690117836
328,4.709318876
329,4.723551035
330,4.738056421
331,4.753576279
332,4.767950058
333,4.786077499
334,4.800040483
335,4.818738461
336,4.832705736
337,4.849739313
338,4.865346193
339,4.887640953
340,4.903160572
341,4.919089556
342,4.934683084
343,4.949508905
344,4.964297295
345,4.981229067
346,4.997187138
347,5.014101028
348,5.028098106
349,5.042211056
350,5.056186438
351,5.070117474
352,5.085081577
353,5.098131418
354,5.113090754
355,5.127217293
356,5.144015789
357,5.156535387
358,5.169270277
359,5.182306528
360,5.193261623
361,5.211194754
362,5.223167419
363,5.23716712
364,5.249227285
365,5.262010098
