Generacion,Tiempo
1,0.069224358
2,0.138620615
3,0.281402826
4,0.287386894
5,0.29835844
6,0.308332205
7,0.320300341
8,0.331279039
9,0.339287758
10,0.348225594
11,0.355205536
12,0.367174149
13,0.389117002
14,0.396098137
15,0.402080774
16,0.40706706
17,0.420599222
18,0.424653053
19,0.431608438
20,0.435623646
21,0.442540884
22,0.448562145
23,0.454508066
24,0.461489916
25,0.468472004
26,0.4754529
27,0.494621515
28,0.501601219
29,0.509579659
30,0.521549463
31,0.529528141
32,0.547217131
33,0.554198265
34,0.560181618
35,0.568162203
36,0.577138424
37,0.583161592
38,0.590103388
39,0.60007596
40,0.605061769
41,0.612046242
42,0.620024443
43,0.626007557
44,0.64250946
45,0.64949131
46,0.658467054
47,0.665410757
48,0.673391342
49,0.681368113
50,0.689348698
51,0.701315403
52,0.707298994
53,0.719269037
54,0.732233047
55,0.744201422
56,0.753177404
57,0.759199619
58,0.767140865
59,0.773166418
60,0.783096075
61,0.79011488
62,0.798083067
63,0.804079771
64,0.811021805
65,0.819001436
66,0.829974413
67,0.843934298
68,0.851951838
69,0.859930515
70,0.86990118
71,0.874888182
72,0.883866549
73,0.890808582
74,0.963662148
75,0.979619503
76,0.995574713
77,1.00754714
78,1.022503376
79,1.041454554
80,1.05541563
81,1.067383289
82,1.081346035
83,1.093313217
84,1.103286505
85,1.114258766
86,1.124232054
87,1.134203434
88,1.141186237
89,1.1491642
90,1.157145739
91,1.171107769
92,1.184070587
93,1.196039438
94,1.210000992
95,1.224961281
96,1.234935999
97,1.240917444
98,1.248897076
99,1.259866714
100,1.269841909
101,1.275824785
102,1.283803225
103,1.290784121
104,1.303749561
105,1.31172967
106,1.31970787
107,1.327687025
108,1.33865571
109,1.346635103
110,1.356609106
111,1.366584063
112,1.372564793
113,1.383536577
114,1.390518904
115,1.40149188
116,1.411462545
117,1.431408882
118,1.443375826
119,1.475290775
120,1.488259077
121,1.497232199
122,1.505210161
123,1.517179251
124,1.525156975
125,1.536128044
126,1.546101332
127,1.559069157
128,1.569039822
129,1.581010103
130,1.589984417
131,1.598961592
132,1.605941057
133,1.615914345
134,1.624890089
135,1.637856245
136,1.648827314
137,1.658798695
138,1.668775082
139,1.674756289
140,1.686991215
141,1.693972349
142,1.702947378
143,1.709929466
144,1.720899343
145,1.72987628
146,1.736856461
147,1.745834112
148,1.756803513
149,1.765779972
150,1.772761345
151,1.780254841
152,1.789227724
153,1.797207594
154,1.805186272
155,1.812167406
156,1.820146084
157,1.826129913
158,1.837100267
159,1.846076488
160,1.857048273
161,1.867023706
162,1.87400198
163,1.884972095
164,1.892950535
165,1.903920889
166,1.915890932
167,1.923868656
168,1.931846619
169,1.941820383
170,1.949801207
171,1.956781387
172,1.966754675
173,1.973734379
174,1.980719328
175,1.988696098
176,1.996674061
177,2.003654003
178,2.009637833
179,2.018614054
180,2.033575296
181,2.042551517
182,2.053523064
183,2.066487074
184,2.076460123
185,2.090421438
186,2.100395203
187,2.107377291
188,2.119345665
189,2.127323151
190,2.138294935
191,2.146273375
192,2.156249046
193,2.164224863
194,2.171205521
195,2.180184126
196,2.189158201
197,2.198135138
198,2.205114841
199,2.21309638
200,2.221071959
201,2.227056503
202,2.236032724
203,2.242015839
204,2.249998808
205,2.262963057
206,2.270938635
207,2.280913591
208,2.291882753
209,2.299864054
210,2.306843996
211,2.315820932
212,2.322799683
213,2.330779076
214,2.338757753
215,2.344742298
216,2.354715347
217,2.362693787
218,2.371668816
219,2.378651619
220,2.389621973
221,2.398597956
222,2.404581547
223,2.412559986
224,2.420575857
225,2.42851758
226,2.435498714
227,2.441519499
228,2.45345068
229,2.461433411
230,2.471402168
231,2.479383707
232,2.487403631
233,2.501326799
234,2.512293816
235,2.522305489
236,2.530246973
237,2.539260864
238,2.546202183
239,2.5542202
240,2.563159943
241,2.571175337
242,2.579114437
243,2.5870924
244,2.595072746
245,2.603050709
246,2.609071732
247,2.621003866
248,2.627986908
249,2.636961222
250,2.643941879
251,2.651920319
252,2.658940554
253,2.667915583
254,2.673898935
255,2.685828686
256,2.692849159
257,2.70078826
258,2.707772017
259,2.718743563
260,2.730710268
261,2.7386868
262,2.746669292
263,2.75564146
264,2.766612291
265,2.774590731
266,2.7825737
267,2.790556431
268,2.801526308
269,2.80950737
270,2.822471857
271,2.831446409
272,2.840422392
273,2.84840107
274,2.856379509
275,2.864358664
276,2.883319139
277,2.899264812
278,2.914226532
279,2.922202349
280,2.935168743
281,2.950131178
282,2.959103584
283,2.969078064
284,2.975061417
285,2.985035658
286,2.992017031
287,3.003983974
288,3.042593479
289,3.053565264
290,3.060545683
291,3.070519924
292,3.077500582
293,3.090465069
294,3.100438833
295,3.106422424
296,3.116396427
297,3.123376846
298,3.135346174
299,3.142326593
300,3.155292273
301,3.169255257
302,3.182220697
303,3.18928647
304,3.20125556
305,3.209233284
306,3.219213486
307,3.225190401
308,3.234167337
309,3.241147995
