"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"pymoo","nsga2","zdt3",1,4.81482712521604,0.00480243780375818,0.0015256094701078
"pymoo","nsga2","zdt3",2,4.81493511644726,0.00545352447703492,0.00137282597159791
"pymoo","nsga2","zdt3",3,4.81482712521604,0.00480243780375818,0.0015256094701078
"pymoo","nsga2","zdt3",4,4.81492113503132,0.00508491026161182,0.00142884464233276
"pymoo","nsga2","zdt3",5,4.81492046730174,0.00499834552248222,0.00152449071004133
"pymoo","nsga2","zdt3",6,4.8148405863868,0.00544536421636068,0.00151023939357057
"pymoo","nsga2","zdt3",7,4.81498311815243,0.00540182847913876,0.00150522672241665
"pymoo","nsga2","zdt3",8,4.81478338456436,0.00492665089490068,0.00143568261580192
"pymoo","nsga2","zdt3",9,4.81486756386621,0.0057639305698091,0.0015575023596042
"pymoo","nsga2","zdt3",10,4.81475986364534,0.00631401903899591,0.00176130335438862
"pymoo","nsga2","zdt3",11,4.81480725520874,0.00510824391372147,0.00165658884975318
