"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"pymoo","nsga3","zdt6",1,14.4696862431364,0.00339332277774336,0.00308751583099906
"pymoo","nsga3","zdt6",2,14.4671855535654,0.00352502146285235,0.00321233209827651
"pymoo","nsga3","zdt6",3,14.4696862431364,0.00339332277774336,0.00308751583099906
"pymoo","nsga3","zdt6",4,14.4678484286903,0.00344951937517574,0.00312054261769767
"pymoo","nsga3","zdt6",5,14.4673169899852,0.00343879929240971,0.00312462045765371
"pymoo","nsga3","zdt6",6,14.4662155591845,0.00357630293383938,0.00329150299013806
"pymoo","nsga3","zdt6",7,14.4675321998417,0.00342490707380133,0.00308628929271936
"pymoo","nsga3","zdt6",8,14.4669447549199,0.00350040500113871,0.00319321096219048
"pymoo","nsga3","zdt6",9,14.467503356485,0.00351210329417504,0.00317302579447793
"pymoo","nsga3","zdt6",10,14.466770334749,0.0035263812255491,0.00322073221575367
"pymoo","nsga3","zdt6",11,14.4676247556264,0.00345267250102931,0.00312485867318666
