Generacion,Tiempo
1,0.058381557
2,0.117559433
3,0.117559433
4,0.133187056
5,0.133187056
6,0.149889469
7,0.149889469
8,0.16552043
9,0.16552043
10,0.181141615
11,0.181141615
12,0.196757555
13,0.196757555
14,0.196757555
15,0.212378502
16,0.212378502
17,0.227999926
18,0.227999926
19,0.243626356
20,0.250170469
21,0.250170469
22,0.270414114
23,0.284075737
24,0.29415369
25,0.301139116
26,0.308987856
27,0.317011356
28,0.31938076
29,0.31938076
30,0.33504796
31,0.33504796
32,0.350059509
33,0.350059509
34,0.365762711
35,0.365762711
36,0.381355762
37,0.381355762
38,0.381355762
39,0.396934509
40,0.396934509
41,0.412592888
42,0.412592888
43,0.428216934
44,0.428216934
45,0.44383502
46,0.450390577
47,0.450390577
48,0.466065168
49,0.466065168
50,0.481684923
51,0.498809576
52,0.509814262
53,0.517837048
54,0.525793314
55,0.536389351
56,0.545369387
57,0.555017471
58,0.555017471
59,0.574402571
60,0.581382275
61,0.589351177
62,0.597330332
63,0.603390217
64,0.603390217
65,0.619012356
66,0.619012356
67,0.634680033
68,0.634680033
69,0.650848627
70,0.650848627
71,0.650848627
72,0.666523933
73,0.666523933
74,0.682142973
75,0.682142973
76,0.703476191
77,0.715480566
78,0.720498323
79,0.720498323
80,0.741097212
81,0.750072241
82,0.759084225
83,0.767063141
84,0.771136761
85,0.771136761
86,0.786760807
87,0.786760807
88,0.80238533
89,0.80238533
90,0.818006992
91,0.818006992
92,0.833628654
93,0.833628654
94,0.849250317
95,0.851257563
96,0.851257563
97,0.866888762
98,0.866888762
99,0.882509947
100,0.882509947
101,0.898126125
102,0.898126125
103,0.918633699
104,0.930599928
105,0.936679363
106,0.936679363
107,0.955809116
108,0.962789774
109,0.970726967
110,0.979701519
111,0.987759113
112,0.987759113
113,0.987759113
114,1.003382683
115,1.003382683
116,1.027885199
117,1.036159277
118,1.043139935
119,1.051119089
120,1.052745819
121,1.052745819
122,1.068367958
123,1.068367958
124,1.083989143
125,1.083989143
126,1.099610329
127,1.099610329
128,1.115231752
129,1.115231752
130,1.145641088
131,1.161615133
132,1.172864914
133,1.172864914
134,1.192128897
135,1.19911027
136,1.206972122
