Generacion;Tiempo
1;0.004326344
2;0.014434576
3;0.023667812
4;0.031725883
5;0.038011789
6;0.046020508
7;0.057648659
8;0.074441671
9;0.0847404
10;0.095136404
11;0.102370024
12;0.10642004
13;0.117429733
14;0.125440121
15;0.131608725
16;0.139683485
17;0.14577961
18;0.153830051
19;0.159968853
20;0.168022394
21;0.175638676
22;0.183687687
23;0.193800449
24;0.201853991
25;0.205853462
26;0.216360569
27;0.225560427
28;0.233612776
29;0.237611532
30;0.249612093
31;0.253611326
32;0.264077187
33;0.273180008
34;0.285071135
35;0.294234037
36;0.302719355
37;0.312740803
38;0.316787958
39;0.327226639
40;0.332271099
41;0.340270281
42;0.348269939
43;0.357483387
44;0.362494469
45;0.370495319
46;0.378494501
47;0.387796879
48;0.397650003
49;0.407772303
50;0.415768623
51;0.423772335
52;0.435876131
53;0.444407701
54;0.453516006
55;0.462523937
56;0.46765089
57;0.479841948
58;0.488955498
59;0.498229504
60;0.511375904
61;0.517463923
62;0.528866768
63;0.544127226
64;0.557240725
65;0.561538935
66;0.569623709
67;0.578226089
68;0.586274624
69;0.592425108
70;0.600472212
71;0.608472347
72;0.616472721
73;0.625742197
74;0.640489817
75;0.65474391
76;0.663892031
77;0.668937206
78;0.679055929
79;0.683100939
80;0.691100836
81;0.700996399
82;0.709397316
83;0.719372034
84;0.731602192
85;0.73564744
86;0.745011091
87;0.753062248
88;0.761862993
89;0.77147603
90;0.779491425
91;0.787492037
92;0.795490026
93;0.804615259
94;0.812826872
95;0.817912817
96;0.827135801
97;0.836585045
98;0.8448596
99;0.850908995
100;0.861302853
101;0.871042967
102;0.875043154
103;0.883043051
104;0.892317057
105;0.897321463
106;0.90761447
107;0.926597357
108;0.942248583
109;0.951327085
110;0.95533061
111;0.970428467
112;0.9835217
113;0.98752141
114;0.994907141
115;1.002959013
116;1.013022184
117;1.021022558
118;1.031600237
119;1.039602518
120;1.050944567
121;1.065074444
122;1.078315496
123;1.092614651
124;1.108190298
125;1.119942188
126;1.126856804
127;1.134904861
128;1.145976067
129;1.158205748
130;1.168716192
131;1.17276597
132;1.183275461
133;1.191276073
134;1.196389437
135;1.207594156
136;1.215595007
137;1.223626852
138;1.232819319
139;1.243331671
140;1.248003244
141;1.256006241
142;1.265287876
143;1.273295641
144;1.277294636
145;1.285291195
146;1.295485497
147;1.299535275
148;1.307538986
149;1.315540075
150;1.324654102
151;1.329741955
152;1.337768316
153;1.345763445
154;1.352357626
155;1.362964153
156;1.380261183
157;1.388027906
158;1.395133257
159;1.403181553
160;1.411727428
161;1.41677475
162;1.427170038
163;1.432214022
164;1.44148612
165;1.445534468
166;1.453534365
167;1.461534023
168;1.470732689
169;1.474777937
170;1.483850241
171;1.491974831
172;1.501157761
173;1.510165453
174;1.514165401
175;1.522177458
176;1.532253981
177;1.539919376
178;1.547920704
179;1.558144331
180;1.570184469
181;1.587561846
182;1.605005741
183;1.619157314
184;1.629736423
185;1.644676208
186;1.661528826
187;1.670701742
188;1.679781675
189;1.683797598
190;1.69500351
191;1.703015804
192;1.71150136
193;1.715551138
194;1.72584033
195;1.73385191
196;1.74185276
197;1.748899698
198;1.756900549
199;1.766169786
200;1.774169445
201;1.778168917
202;1.786168814
203;1.798243761
204;1.803252935
205;1.811629057
206;1.819644213
207;1.833277941
208;1.841324806
209;1.849451303
210;1.852960825
211;1.852960825
212;1.87193799
213;1.87193799
214;1.87193799
215;1.888764858
216;1.888764858
217;1.907603979
218;1.907603979
219;1.92611146
220;1.93257618
221;1.93257618
222;1.953229904
223;1.953229904
224;1.969016552
225;1.971270561
226;1.986347198
227;1.986347198
228;2.013787031
229;2.027772188
230;2.031291008
231;2.045021057
232;2.047016144
233;2.053568363
234;2.062703133
235;2.062703133
236;2.07838583
237;2.07838583
238;2.096369743
239;2.096369743
240;2.112266302
241;2.127130985
242;2.138781548
243;2.153483868
244;2.16919136
245;2.177267551
246;2.190033436
247;2.194409609
248;2.194409609
249;2.212168694
250;2.212168694
251;2.227953672
252;2.235287666
253;2.245932341
254;2.255677938
255;2.263628006
256;2.268778801
257;2.276788235
258;2.284917831
259;2.284917831
260;2.302727461
261;2.302727461
262;2.318398952
263;2.318398952
264;2.335270643
265;2.336305141
266;2.336305141
267;2.354751348
268;2.354751348
269;2.372611523
270;2.372611523
271;2.372611523
272;2.388289452
273;2.405122757
274;2.405122757
275;2.423412323
276;2.423412323
277;2.441550255
278;2.44254756
279;2.453563213
280;2.453563213
281;2.478362083
282;2.487323523
283;2.495970726
284;2.504019022
285;2.512717724
286;2.520919561
287;2.521917343
288;2.53131485
289;2.53131485
290;2.546978951
291;2.553529501
292;2.553529501
293;2.57155323
294;2.57155323
295;2.587264061
296;2.587264061
297;2.602985859
298;2.605225086
299;2.605225086
300;2.622061968
301;2.622061968
302;2.639003038
303;2.639003038
304;2.653567076
305;2.653567076
306;2.671556234
307;2.671556234
308;2.695058823
309;2.706097126
310;2.712198019
311;2.720251322
312;2.729328394
313;2.730325937
314;2.738379955
315;2.747502089
316;2.753517866
317;2.753517866
318;2.77180934
319;2.77180934
320;2.787505388
321;2.787505388
322;2.806470156
323;2.806470156
324;2.825438261
325;2.825438261
326;2.844165802
327;2.845162153
328;2.853719234
329;2.853719234
330;2.877512693
331;2.880628109
332;2.880628109
333;2.898508072
334;2.911000252
335;2.919348717
336;2.939420462
337;2.954131603
338;2.965903997
339;2.974028111
340;2.975024939
341;2.984147549
342;2.984147549
343;3.00203681
344;3.00203681
345;3.018926144
346;3.01991725
347;3.01991725
348;3.036711216
349;3.036711216
350;3.054963112
351;3.054963112
352;3.070827246
353;3.074817657
354;3.074817657
355;3.09259963
356;3.09259963
357;3.108302832
358;3.108302832
359;3.108302832
360;3.132312059
361;3.146398306
362;3.153966188
363;3.162937403
364;3.163935423
365;3.179338932
366;3.179338932
367;3.187389374
368;3.196528196
369;3.196528196
370;3.214780807
371;3.214780807
372;3.231638432
373;3.232637644
374;3.232637644
375;3.248311043
376;3.253866434
377;3.253866434
378;3.271682739
379;3.271682739
380;3.289432049
381;3.291335821
382;3.291335821
383;3.309473515
384;3.309473515
385;3.328900337
386;3.328900337
387;3.34922266
388;3.35405612
389;3.362764597
390;3.372910261
391;3.3784585
392;3.386508703
393;3.395965815
394;3.395965815
395;3.412814617
396;3.412814617
397;3.429588795
398;3.430580854
399;3.430580854
400;3.446261406
401;3.454314947
402;3.454314947
403;3.472241163
404;3.472241163
405;3.472241163
406;3.489107609
407;3.489107609
408;3.507972479
409;3.507972479
410;3.523779869
411;3.52581048
412;3.52581048
413;3.541484833
414;3.541484833
415;3.562696218
416;3.565719366
417;3.578236818
418;3.586316109
419;3.595310211
420;3.60336256
421;3.60336256
422;3.613618374
423;3.613618374
