Generacion,Tiempo
1,0.014959574
2,0.025928974
3,0.036899567
4,0.045878172
5,0.054889441
6,0.064827681
7,0.073803186
8,0.083776474
9,0.093749762
10,0.103722572
11,0.113696337
12,0.123669624
13,0.133641005
14,0.143613815
15,0.152590036
16,0.161565781
17,0.171539068
18,0.180517197
19,0.191488028
20,0.202458858
21,0.213429689
22,0.224399805
23,0.23636651
24,0.252365351
25,0.265288115
26,0.275312662
27,0.286269665
28,0.296688318
29,0.307211161
30,0.318184853
31,0.328162432
32,0.338133574
33,0.348107815
34,0.35808444
35,0.368053675
36,0.378031969
37,0.388000727
38,0.398975611
39,0.408950567
40,0.418917418
41,0.429888964
42,0.439863443
43,0.449835777
44,0.463760138
45,0.479765415
46,0.489726067
47,0.499701738
48,0.509679317
49,0.520605087
50,0.531577826
51,0.542548418
52,0.553518772
53,0.564489365
54,0.575459957
55,0.587428093
56,0.598398685
57,0.609369278
58,0.62033987
59,0.631310701
60,0.643276691
61,0.653250217
62,0.66322422
63,0.673196793
64,0.689154387
65,0.703154564
66,0.714087248
67,0.725057364
68,0.736028671
69,0.746002913
70,0.755975008
71,0.766945601
72,0.776918888
73,0.786892176
74,0.796865463
75,0.806838989
76,0.818807125
77,0.829777479
78,0.839751005
79,0.851719618
80,0.863687754
81,0.874658585
82,0.886626482
83,0.898595572
84,0.91455245
85,0.924524069
86,0.935494661
87,0.945468187
88,0.956439018
89,0.966412067
90,0.976385117
91,0.98639369
92,0.997369766
93,1.007304668
94,1.018273115
95,1.030241251
96,1.0402143
97,1.051227093
98,1.061201096
99,1.071169376
100,1.081146002
101,1.091124058
102,1.101096153
103,1.115017891
104,1.128977776
105,1.140947342
106,1.152914762
107,1.16488266
108,1.175853252
109,1.186824322
110,1.196797371
111,1.20876503
112,1.219735622
113,1.231702089
114,1.242672682
115,1.253643274
116,1.263654947
117,1.274629831
118,1.284603596
119,1.294576168
120,1.304549456
121,1.315518141
122,1.325495481
123,1.341411114
124,1.359363079
125,1.374322653
126,1.386290073
127,1.397296667
128,1.407274961
129,1.417246103
130,1.42723012
131,1.437192202
132,1.447125435
133,1.457144737
134,1.468104839
135,1.477087021
136,1.488056421
137,1.498034
138,1.508006811
139,1.518973351
140,1.529943943
141,1.539921045
142,1.550880909
143,1.56481266
144,1.574824333
145,1.5867939
146,1.597764015
147,1.607747316
148,1.61771369
149,1.627686739
150,1.637655973
151,1.648585796
152,1.658559322
153,1.66853261
154,1.680500746
155,1.690474272
156,1.700447321
157,1.713413
158,1.724383593
159,1.735353708
160,1.748321295
161,1.761288404
162,1.780237436
