Generacion,Tiempo
1,0.012964487
2,0.027926683
3,0.038896799
4,0.048905611
5,0.058841467
6,0.068853378
7,0.078825951
8,0.088799
9,0.097775459
10,0.106758118
11,0.116724253
12,0.126703978
13,0.13567996
14,0.145647049
15,0.154629707
16,0.163600922
17,0.173579931
18,0.183510065
19,0.194478035
20,0.203454256
21,0.213427305
22,0.222403526
23,0.235369682
24,0.247374535
25,0.257310152
26,0.26728344
27,0.278254509
28,0.288228035
29,0.297204256
30,0.307176828
31,0.317150354
32,0.32712388
33,0.337099552
34,0.348069906
35,0.359040022
36,0.370010614
37,0.37998414
38,0.391952276
39,0.402920723
40,0.412893534
41,0.422866821
42,0.433837414
43,0.443810701
44,0.456815243
45,0.46874404
46,0.480712175
47,0.490685225
48,0.501656055
49,0.512627602
50,0.524596214
51,0.53456831
52,0.548531055
53,0.563526392
54,0.574505329
55,0.585478544
56,0.595443249
57,0.606415987
58,0.616386652
59,0.626361847
60,0.637295246
61,0.6482656
62,0.659236431
63,0.673198462
64,0.686161995
65,0.697171211
66,0.707148314
67,0.719076395
68,0.731044292
69,0.742014885
70,0.753983259
71,0.764953613
72,0.775924444
73,0.787892103
74,0.798862457
75,0.809833765
76,0.820804119
77,0.832771778
78,0.843742847
79,0.854713202
80,0.866681099
81,0.877652407
82,0.893608332
83,0.906310558
84,0.918280602
85,0.929287195
86,0.940262794
87,0.951231718
88,0.961201668
89,0.97118187
90,0.982149124
91,0.992121935
92,1.00409174
93,1.018012762
94,1.030020952
95,1.040002346
96,1.050923824
97,1.061894417
98,1.071907043
99,1.081882715
100,1.091873169
101,1.102829695
102,1.113794327
103,1.129714012
104,1.145672083
105,1.157640219
106,1.169608116
107,1.18057704
108,1.191548347
109,1.201524258
110,1.213531017
111,1.225537777
112,1.236510754
113,1.24847579
114,1.259407997
115,1.269381285
116,1.27940774
117,1.290378332
118,1.300351381
119,1.311322212
120,1.322292805
121,1.337253094
122,1.355206251
123,1.367172718
124,1.378143311
125,1.388117075
126,1.399087191
127,1.409060717
128,1.419034243
129,1.42900753
130,1.439978361
131,1.449952841
132,1.459924936
133,1.470896244
134,1.480868816
135,1.491883755
136,1.501856804
137,1.5118258
138,1.522800922
139,1.532773972
140,1.546692848
141,1.562649488
142,1.572623014
143,1.585590124
144,1.596558809
145,1.60752964
146,1.618500471
147,1.629470825
148,1.640441418
149,1.650414944
150,1.66038847
151,1.671358824
152,1.68133235
153,1.693302155
154,1.704272509
155,1.716240644
156,1.727211475
157,1.739179134
158,1.75014782
159,1.765110493
160,1.77807498
161,1.789046049
162,1.800052404
163,1.81098485
164,1.821955442
165,1.83292675
166,1.842899561
167,1.853870153
168,1.863845587
169,1.875813723
170,1.886784554
171,1.898751974
172,1.91072011
173,1.921690702
174,1.933658838
175,1.945626736
176,1.956597805
177,1.969562531
178,1.985519886
179,1.997488022
180,2.009493589
181,2.020467997
182,2.030439854
183,2.041368961
184,2.051384449
185,2.061355591
186,2.07233429
187,2.082304955
188,2.093270302
189,2.103203058
190,2.113217115
191,2.123193979
192,2.134166956
193,2.145131111
194,2.155110121
195,2.16607523
196,2.176048279
197,2.186027527
198,2.197952032
199,2.211952925
200,2.221930265
201,2.233855486
202,2.244827986
203,2.256793976
204,2.267764568
205,2.279733419
206,2.290703058
207,2.302671194
208,2.31463933
209,2.325645924
210,2.335626841
211,2.345593452
212,2.355569839
213,2.366538763
214,2.376511574
215,2.38648963
216,2.397455454
217,2.407437563
218,2.418393135
219,2.431364775
220,2.441298723
221,2.456264496
222,2.468228102
223,2.480232239
224,2.490211487
225,2.501178503
226,2.511111498
227,2.52208209
228,2.534049988
229,2.547018766
230,2.557987928
231,2.567999363
232,2.578969955
233,2.588949442
234,2.598916769
235,2.609889984
236,2.619864225
237,2.633784056
238,2.647785902
239,2.658718109
240,2.668732166
241,2.679701328
242,2.689633369
243,2.700606346
244,2.712573767
245,2.724542379
246,2.735512733
247,2.747481108
248,2.758451462
249,2.770419121
250,2.781389713
251,2.793358326
252,2.80432868
253,2.815299511
254,2.82726717
255,2.838238001
256,2.853233814
257,2.868155241
258,2.879128218
259,2.891095877
260,2.902110815
261,2.913076162
262,2.923058271
263,2.934019804
264,2.943996906
265,2.954967737
266,2.964941263
267,2.975911617
268,2.985886097
269,2.996855736
270,3.006829262
271,3.017793655
272,3.027766228
273,3.037750483
274,3.048715353
275,3.058691978
276,3.069650412
277,3.084622383
278,3.095694065
279,3.105673075
