gen,nevals,Tiempo
1,82,0.007409334182739258
2,78,0.02063918113708496
3,90,0.025574922561645508
4,85,0.03807425498962402
5,80,0.051784515380859375
6,79,0.0593721866607666
7,80,0.07183599472045898
8,88,0.08625984191894531
9,83,0.09343767166137695
10,94,0.10743117332458496
11,88,0.12546873092651367
12,91,0.13157320022583008
13,82,0.13674139976501465
14,82,0.1437222957611084
15,74,0.1518113613128662
16,92,0.15801048278808594
17,88,0.16951894760131836
18,84,0.1820211410522461
19,88,0.1927938461303711
20,85,0.20250988006591797
21,87,0.20986104011535645
22,81,0.2160344123840332
23,81,0.2265172004699707
24,86,0.23772859573364258
25,80,0.25191712379455566
26,86,0.2640414237976074
27,87,0.2744870185852051
28,83,0.2842843532562256
29,87,0.29602789878845215
30,86,0.3047332763671875
31,85,0.3187720775604248
32,90,0.3347339630126953
33,89,0.34389209747314453
34,84,0.3535761833190918
35,84,0.36139369010925293
36,79,0.36553025245666504
37,78,0.3815162181854248
38,84,0.3866708278656006
39,85,0.3995199203491211
40,83,0.4128987789154053
41,82,0.4198570251464844
42,79,0.4314305782318115
43,82,0.43493223190307617
44,85,0.4467813968658447
45,76,0.4579768180847168
46,90,0.46596765518188477
47,83,0.47688984870910645
48,81,0.48157429695129395
49,82,0.48944568634033203
50,89,0.4943673610687256
51,83,0.502997875213623
52,83,0.5113999843597412
53,86,0.5187723636627197
54,83,0.532264232635498
55,77,0.5425429344177246
56,77,0.553241491317749
57,82,0.5605921745300293
58,82,0.5635814666748047
59,86,0.5708291530609131
60,90,0.5794041156768799
61,87,0.5819334983825684
62,75,0.5900218486785889
63,85,0.5968055725097656
64,89,0.6017041206359863
65,86,0.6106491088867188
66,87,0.6166651248931885
67,82,0.6253862380981445
68,80,0.6324129104614258
69,85,0.6405580043792725
70,83,0.6447393894195557
71,83,0.6597237586975098
72,77,0.6619315147399902
73,82,0.6706478595733643
74,82,0.6833884716033936
75,85,0.6897392272949219
76,88,0.6969547271728516
77,85,0.7021374702453613
78,87,0.710132360458374
79,88,0.7126178741455078
80,70,0.7216615676879883
81,92,0.729423999786377
82,84,0.7327587604522705
83,80,0.7423722743988037
84,80,0.7477438449859619
85,88,0.7607078552246094
86,81,0.7679903507232666
87,88,0.7769932746887207
88,84,0.7819702625274658
89,75,0.7860188484191895
90,89,0.7926430702209473
91,78,0.8016951084136963
92,85,0.8086295127868652
93,80,0.8181502819061279
94,83,0.8253798484802246
95,77,0.836144208908081
96,85,0.8514173030853271
97,91,0.8559224605560303
98,78,0.8669898509979248
99,79,0.871628999710083
100,78,0.8853919506072998
101,81,0.8944931030273438
102,84,0.9016282558441162
103,95,0.9164502620697021
104,85,0.9219417572021484
105,84,0.9328107833862305
106,88,0.939265251159668
107,86,0.9509575366973877
108,83,0.9560434818267822
109,83,0.9707350730895996
110,79,0.9813954830169678
111,90,0.9967358112335205
112,81,1.0131778717041016
113,88,1.0282456874847412
114,93,1.0366547107696533
115,82,1.0494635105133057
116,80,1.06795072555542
117,81,1.0899567604064941
118,84,1.1214897632598877
119,86,1.1532552242279053
120,85,1.1695358753204346
121,87,1.1832475662231445
122,79,1.189342975616455
123,88,1.203498363494873
124,80,1.219839334487915
125,76,1.2336061000823975
126,85,1.2532260417938232
127,87,1.2642290592193604
128,87,1.2692358493804932
129,82,1.2803974151611328
130,87,1.2865469455718994
131,79,1.297332763671875
132,80,1.3155419826507568
133,90,1.338317632675171
134,88,1.351646900177002
135,82,1.3630750179290771
136,89,1.3708570003509521
137,83,1.3829758167266846
138,84,1.3939344882965088
139,92,1.4060578346252441
140,85,1.419555902481079
141,87,1.432344913482666
142,78,1.444622278213501
143,83,1.4601266384124756
144,77,1.4761912822723389
145,82,1.487438440322876
146,83,1.5045602321624756
147,85,1.5197675228118896
148,85,1.5319969654083252
149,80,1.5391912460327148
150,93,1.5515117645263672
151,79,1.5728230476379395
152,85,1.5954623222351074
153,83,1.6112990379333496
154,86,1.6384990215301514
155,88,1.6522932052612305
156,89,1.6646430492401123
157,78,1.6801402568817139
158,78,1.6955626010894775
159,81,1.7027604579925537
160,78,1.7157704830169678
161,86,1.7252452373504639
162,91,1.7326836585998535
163,90,1.7420759201049805
164,78,1.7420759201049805
165,91,1.7523574829101562
166,93,1.7627768516540527
167,80,1.7627768516540527
168,83,1.7759108543395996
169,81,1.781956672668457
170,78,1.781956672668457
171,89,1.7922768592834473
172,82,1.800466537475586
173,90,1.8024606704711914
174,85,1.8139152526855469
175,80,1.8195245265960693
176,88,1.8253822326660156
177,89,1.8327372074127197
178,90,1.83980393409729
179,80,1.8435993194580078
180,82,1.852769374847412
181,90,1.8618803024291992
182,83,1.8691494464874268
183,94,1.8751442432403564
184,85,1.8817939758300781
185,77,1.882791519165039
186,82,1.8934640884399414
187,85,1.9014458656311035
188,85,1.9014458656311035
189,85,1.9138555526733398
190,73,1.9211866855621338
191,91,1.9262926578521729
192,84,1.9329380989074707
193,90,1.939640760421753
194,75,1.9426722526550293
195,88,1.9519100189208984
196,83,1.9604382514953613
197,86,1.961747169494629
198,91,1.974252462387085
199,86,1.9812681674957275
200,89,1.9812681674957275
201,82,1.9926860332489014
202,88,2.00105619430542
203,81,2.002054214477539
204,83,2.013695240020752
205,87,2.013695240020752
206,83,2.0243892669677734
207,83,2.0315887928009033
208,84,2.032586097717285
209,77,2.044706344604492
210,87,2.0519747734069824
211,85,2.058734893798828
212,88,2.0617904663085938
213,88,2.0706264972686768
214,78,2.0810043811798096
215,88,2.0913422107696533
216,73,2.093337059020996
217,82,2.100613594055176
218,89,2.1120831966400146
219,83,2.113630533218384
220,89,2.1242945194244385
221,80,2.129805326461792
222,81,2.132783889770508
223,85,2.1424434185028076
224,83,2.152600049972534
225,78,2.158663749694824
226,76,2.1618142127990723
227,90,2.1742398738861084
228,85,2.1810317039489746
229,81,2.1820287704467773
230,80,2.191570520401001
231,81,2.2007339000701904
232,84,2.201730489730835
233,81,2.2173690795898438
234,81,2.2252559661865234
235,83,2.233769655227661
236,82,2.2437071800231934
237,84,2.2585980892181396
238,82,2.26832914352417
239,78,2.275216817855835
240,76,2.285780429840088
241,92,2.3007547855377197
242,83,2.3133163452148438
243,76,2.3217520713806152
244,88,2.3296563625335693
245,89,2.3328778743743896
246,81,2.345947265625
247,81,2.3535687923431396
248,86,2.361765146255493
249,75,2.3697993755340576
250,78,2.3808231353759766
251,86,2.3818209171295166
252,80,2.391571521759033
253,77,2.4027061462402344
254,87,2.413421869277954
255,88,2.421696186065674
256,81,2.430387496948242
257,81,2.4426326751708984
258,83,2.449742555618286
259,80,2.4606924057006836
260,81,2.4606924057006836
261,85,2.475311756134033
262,79,2.481719493865967
263,81,2.4912188053131104
264,89,2.5000808238983154
265,92,2.5131802558898926
266,81,2.521801710128784
267,88,2.5351715087890625
268,91,2.5429673194885254
269,84,2.5579655170440674
270,86,2.562711000442505
271,81,2.5728862285614014
272,78,2.581603765487671
273,80,2.591601848602295
274,83,2.592599391937256
275,83,2.609013080596924
276,82,2.6145505905151367
277,84,2.6208276748657227
278,88,2.629621982574463
279,88,2.63257098197937
280,85,2.6438801288604736
281,79,2.6529500484466553
282,86,2.661762237548828
283,89,2.661762237548828
284,82,2.6817500591278076
285,77,2.6953463554382324
286,87,2.7004711627960205
287,93,2.7119784355163574
288,79,2.7198312282562256
289,89,2.725342035293579
290,85,2.739663600921631
291,83,2.755352258682251
292,84,2.7682180404663086
293,84,2.780399799346924
294,88,2.794294595718384
295,87,2.80686092376709
296,83,2.8166191577911377
297,92,2.8298354148864746
298,80,2.8434293270111084
299,86,2.855515718460083
300,83,2.8674328327178955
301,88,2.879438877105713
302,82,2.8878793716430664
303,82,2.9006290435791016
304,86,2.9153709411621094
305,82,2.929121255874634
306,83,2.9420790672302246
307,91,2.9540486335754395
308,85,2.966362714767456
309,82,2.983152151107788
310,85,2.996511697769165
311,76,3.0094330310821533
312,81,3.022021770477295
313,82,3.0323665142059326
314,75,3.0428035259246826
315,90,3.049375534057617
316,89,3.0582242012023926
317,78,3.0632829666137695
318,88,3.0723977088928223
319,82,3.0805230140686035
320,82,3.081521987915039
321,87,3.092684745788574
322,91,3.102771043777466
323,83,3.1126511096954346
324,79,3.1147024631500244
325,84,3.125303030014038
326,79,3.134549617767334
327,76,3.1411540508270264
328,85,3.15153431892395
329,85,3.158970832824707
330,86,3.166926145553589
331,95,3.1763808727264404
332,85,3.181899309158325
333,85,3.189699411392212
334,82,3.2009150981903076
335,76,3.2145137786865234
336,90,3.222449541091919
337,88,3.2316339015960693
338,86,3.232630968093872
339,88,3.2450156211853027
340,80,3.2526750564575195
341,85,3.2639381885528564
342,85,3.2706871032714844
343,89,3.276257038116455
344,87,3.281883955001831
345,86,3.292119264602661
346,93,3.3018553256988525
347,83,3.310485363006592
348,86,3.3135876655578613
349,83,3.324262857437134
350,82,3.3326778411865234
351,89,3.3326778411865234
352,87,3.343291759490967
353,81,3.3515408039093018
354,89,3.360950231552124
355,83,3.3695311546325684
356,76,3.379786968231201
357,88,3.3814289569854736
358,84,3.3916804790496826
359,78,3.4017693996429443
360,76,3.4096295833587646
361,85,3.4214022159576416
362,83,3.4341440200805664
363,84,3.44403076171875
364,89,3.4495961666107178
365,79,3.4529287815093994
366,85,3.461533784866333
367,85,3.4707367420196533
368,68,3.4752001762390137
369,85,3.481881856918335
370,88,3.492310047149658
371,75,3.4996039867401123
372,80,3.506143808364868
373,85,3.514164686203003
374,81,3.5208115577697754
375,81,3.5252909660339355
376,82,3.532931327819824
377,82,3.5423991680145264
378,77,3.550748348236084
379,75,3.5517451763153076
380,80,3.5618627071380615
381,88,3.5729050636291504
382,75,3.581427812576294
383,78,3.5877633094787598
384,74,3.5919647216796875
385,90,3.60463809967041
386,82,3.614041805267334
387,89,3.621439218521118
388,79,3.6311845779418945
389,94,3.639549970626831
390,95,3.6543431282043457
391,81,3.661785364151001
392,87,3.6713924407958984
393,82,3.680727481842041
394,80,3.692237615585327
395,87,3.7020819187164307
396,78,3.7108867168426514
397,85,3.7152817249298096
398,84,3.7252542972564697
399,84,3.732877492904663
400,83,3.7435336112976074
401,90,3.7506906986236572
402,86,3.7586209774017334
403,78,3.7606735229492188
404,79,3.773272752761841
405,80,3.7819008827209473
406,85,3.782898187637329
407,85,3.794776439666748
408,89,3.8009700775146484
409,84,3.814221143722534
410,88,3.820943832397461
411,83,3.8305509090423584
412,84,3.8325467109680176
413,91,3.8462984561920166
414,83,3.8602659702301025
415,89,3.874340057373047
416,85,3.881927490234375
417,86,3.8896214962005615
418,78,3.8926610946655273
419,90,3.9019272327423096
420,84,3.9142885208129883
421,85,3.921113967895508
422,84,3.9293630123138428
423,79,3.9324307441711426
424,86,3.9426028728485107
425,80,3.9497947692871094
426,90,3.957627773284912
427,82,3.9618818759918213
428,69,3.9726061820983887
429,89,3.980877637863159
430,87,3.980877637863159
431,86,3.9920928478240967
432,78,4.002064943313599
433,80,4.013134479522705
434,87,4.021608591079712
435,73,4.036625385284424
436,80,4.0493385791778564
437,79,4.0594470500946045
438,95,4.074646234512329
439,82,4.089967727661133
440,84,4.100677728652954
441,87,4.110496759414673
442,85,4.121894836425781
443,72,4.130412340164185
444,90,4.132408618927002
445,74,4.142623662948608
446,87,4.1527557373046875
447,85,4.1595587730407715
448,89,4.161892414093018
449,79,4.175365924835205
450,89,4.181584358215332
451,73,4.192135572433472
452,77,4.199354410171509
453,87,4.201980113983154
454,87,4.212386608123779
455,79,4.2207114696502686
456,88,4.225359678268433
457,85,4.232798099517822
458,85,4.244550704956055
459,92,4.251909255981445
460,83,4.260740041732788
461,86,4.260740041732788
462,90,4.278117895126343
463,84,4.28206729888916
464,88,4.292714595794678
465,88,4.302020788192749
466,74,4.314801216125488
467,86,4.328965187072754
468,80,4.33350396156311
469,79,4.3419952392578125
470,82,4.350247859954834
471,89,4.357820510864258
472,87,4.36293888092041
473,90,4.371902704238892
474,85,4.380888938903809
475,85,4.382923603057861
476,84,4.39177393913269
477,73,4.400917291641235
478,82,4.407600164413452
479,84,4.414811372756958
480,92,4.425135135650635
481,90,4.432798385620117
482,79,4.439852476119995
483,84,4.4444739818573
484,87,4.454769134521484
485,88,4.462926626205444
486,84,4.470655202865601
487,82,4.476154804229736
488,89,4.481580018997192
489,78,4.493155002593994
490,84,4.50100040435791
491,88,4.508584976196289
492,84,4.515566349029541
493,85,4.524208068847656
494,85,4.5327370166778564
