Generacion,Tiempo
1,0.008072615
2,0.029428005
3,0.034940958
4,0.034940958
5,0.061923742
6,0.079779625
7,0.093393326
8,0.1014359
9,0.110646248
10,0.117712736
11,0.130712271
12,0.143065691
13,0.146502972
14,0.170697689
15,0.183063745
16,0.189424276
17,0.205008507
18,0.206008673
19,0.22350359
20,0.236147404
21,0.236147404
22,0.253156662
23,0.253156662
24,0.272006989
25,0.276563644
26,0.294209719
27,0.296203613
28,0.310832024
29,0.319883585
30,0.327315807
31,0.336455345
32,0.336455345
33,0.352092505
34,0.352092505
35,0.352092505
36,0.370932102
37,0.370932102
38,0.388104439
39,0.403777599
40,0.403777599
41,0.421447515
42,0.427967787
43,0.444332123
44,0.455828428
45,0.475025654
46,0.490426779
47,0.506703138
48,0.5240376
49,0.535444975
50,0.546304226
51,0.560368538
52,0.574060678
53,0.584747076
54,0.593953609
55,0.599436522
56,0.615077019
57,0.632640839
58,0.635655642
59,0.635655642
60,0.6547122
61,0.6547122
62,0.674237967
63,0.691624403
64,0.691624403
65,0.720812082
66,0.733247995
67,0.735760927
68,0.744446278
69,0.752457142
70,0.762347698
71,0.77036047
72,0.784298658
73,0.794683218
74,0.794683218
75,0.794683218
76,0.81151247
77,0.81151247
78,0.829732418
79,0.83669281
80,0.855079889
81,0.855079889
82,0.870714188
83,0.872914314
84,0.891738176
85,0.90814352
86,0.912491083
87,0.936001539
88,0.944418907
89,0.960772038
90,0.968784571
91,0.976709127
92,0.978375435
93,0.986385822
94,0.996495485
95,0.996495485
96,1.01461935
97,1.01461935
98,1.030257225
99,1.044695854
100,1.046764851
101,1.046764851
102,1.063786268
103,1.079420567
104,1.079420567
105,1.095511198
106,1.09650898
107,1.121873856
108,1.136079073
109,1.154479265
110,1.173458338
111,1.188558817
112,1.203845501
113,1.218104839
114,1.235056639
115,1.251013041
116,1.264543056
117,1.279503107
118,1.295435905
119,1.304940462
120,1.318035603
121,1.318035603
122,1.329828501
123,1.336359978
124,1.336359978
125,1.353074074
126,1.353074074
127,1.353074074
128,1.377235413
129,1.379229069
130,1.387239695
131,1.397266865
132,1.397266865
133,1.411905289
134,1.422042131
135,1.427895546
136,1.435945272
137,1.443944454
138,1.451734066
139,1.472592592
140,1.473591089
141,1.473591089
142,1.491744757
143,1.491744757
144,1.491744757
145,1.507379293
146,1.507379293
147,1.525255919
148,1.525255919
149,1.540889025
150,1.547759056
151,1.553798676
152,1.567053318
153,1.5766294
154,1.5766294
155,1.59670496
156,1.610844851
157,1.61810565
158,1.635982752
159,1.637998104
160,1.6570611
161,1.668729305
162,1.679660559
163,1.689240456
164,1.699462891
165,1.70930481
166,1.722072363
167,1.735191584
168,1.746980429
169,1.757941723
170,1.767731905
171,1.77776432
172,1.787387133
173,1.796906233
174,1.812842131
175,1.829011202
176,1.838074684
177,1.848365545
178,1.848365545
179,1.868832827
180,1.869830132
181,1.87739563
182,1.894109488
183,1.894109488
184,1.894109488
185,1.910828114
186,1.910828114
187,1.928647995
188,1.928647995
189,1.928647995
190,1.944280148
191,1.944280148
192,1.944280148
193,1.963229418
194,1.963229418
195,1.976279259
196,1.976279259
197,1.995035887
198,2.000945568
199,2.000945568
200,2.021743536
201,2.035526752
202,2.04697299
203,2.04697299
204,2.062930822
205,2.062930822
206,2.070977211
207,2.078534842
208,2.087671518
209,2.096949577
210,2.096949577
211,2.096949577
212,2.114370346
213,2.114370346
214,2.130046368
215,2.132399797
216,2.132399797
217,2.148072958
218,2.148072958
219,2.163109779
220,2.163109779
221,2.176563501
222,2.176563501
223,2.176563501
224,2.197528362
225,2.197528362
226,2.21826148
227,2.224899769
228,2.240018606
229,2.247680426
230,2.262000799
231,2.262000799
232,2.272987127
233,2.278460741
234,2.286523819
235,2.295630932
236,2.296666861
237,2.296666861
238,2.313500643
239,2.314498425
240,2.314498425
241,2.332319975
242,2.332319975
243,2.332319975
244,2.348005295
245,2.348005295
246,2.363695621
247,2.365728855
248,2.376287699
249,2.376287699
250,2.376287699
251,2.394091606
252,2.394091606
253,2.394091606
254,2.411947012
255,2.411947012
256,2.411947012
257,2.429709911
258,2.429709911
259,2.44538331
260,2.453911543
261,2.460631371
262,2.468645096
263,2.477382421
264,2.485393047
265,2.485393047
266,2.495468855
267,2.503522873
268,2.511608362
269,2.51364398
270,2.51364398
271,2.53045702
272,2.531455278
273,2.531455278
274,2.548975706
275,2.549973726
276,2.549973726
277,2.568478346
278,2.568478346
279,2.577604055
280,2.577604055
281,2.593398809
282,2.596426249
283,2.596426249
284,2.612107992
285,2.612107992
286,2.628937721
287,2.628937721
288,2.645818949
289,2.645818949
290,2.645818949
291,2.668601036
292,2.677511215
293,2.687185049
294,2.694057465
295,2.702069759
296,2.706786394
297,2.711019039
298,2.721746922
299,2.721746922
300,2.729834318
301,2.729834318
302,2.747589111
303,2.747589111
304,2.747589111
305,2.764454842
306,2.764454842
307,2.776466608
308,2.776466608
309,2.776466608
310,2.794281483
311,2.794281483
312,2.812128782
313,2.812128782
314,2.812128782
315,2.829965591
316,2.829965591
317,2.829965591
318,2.845642567
319,2.845642567
320,2.862900257
321,2.864893436
322,2.878330946
323,2.885363579
324,2.899580002
325,2.90157485
326,2.911904573
327,2.911904573
328,2.919950247
329,2.927749872
330,2.935804129
331,2.943891764
332,2.943891764
333,2.943891764
334,2.961730957
335,2.961730957
336,2.976786375
337,2.976786375
338,2.994606733
339,2.994606733
340,2.994606733
341,3.012558222
342,3.012558222
343,3.012558222
344,3.030403614
345,3.030403614
346,3.030403614
347,3.046074629
348,3.046074629
349,3.064840317
350,3.064840317
351,3.076916218
352,3.076916218
353,3.090317011
354,3.090317011
355,3.108125925
356,3.1120646
357,3.126302719
358,3.127302408
359,3.135355949
360,3.145035028
361,3.145035028
362,3.153086424
363,3.164168835
364,3.164168835
365,3.178297997
366,3.178297997
367,3.178297997
368,3.196147203
369,3.196147203
370,3.196147203
371,3.213047504
372,3.213047504
373,3.213047504
374,3.229949474
375,3.229949474
376,3.246852398
377,3.246852398
378,3.246852398
379,3.264810324
380,3.264810324
381,3.277363539
382,3.277363539
383,3.277363539
384,3.294261217
385,3.294261217
386,3.294261217
387,3.311244965
388,3.311244965
389,3.331149101
390,3.332509518
391,3.34594655
392,3.346943378
393,3.346943378
394,3.362210989
395,3.370257616
396,3.379361629
397,3.379361629
398,3.38966608
