Framework;Algorithm;Problem;Seed;HV;GD;IGD;;;;
deap;nsga2;zdt1;1;3.65806588;0.005671785;0.00444039;;;;
deap;nsga2;zdt1;2;3.658710384;0.005134527;0.004027831;;;;
deap;nsga2;zdt1;3;3.659962562;0.005194822;0.00351306;;;;
deap;nsga2;zdt1;4;3.658835113;0.004566988;0.00396501;;HV;GD;IGD
deap;nsga2;zdt1;5;3.659203604;0.00447281;0.003617718;Mejor;3.659962562;0.00447281;0.00351306
deap;nsga2;zdt1;6;3.659461772;0.004602293;0.003633752;Media;3.658856329;0.004885652;0.003989983
deap;nsga2;zdt1;7;3.658306288;0.005131139;0.004435279;Peor;3.658038406;0.005671785;0.00351306
deap;nsga2;zdt1;8;3.658527275;0.004830876;0.004123075;;;;
deap;nsga2;zdt1;9;3.658721684;0.004671136;0.004137415;;;;
deap;nsga2;zdt1;10;3.658038406;0.004907318;0.004365679;;;;
deap;nsga2;zdt1;11;3.658889164;0.004580732;0.003890638;;;;
deap;nsga2;zdt1;11;3.65955381;0.0048634;0.00372995;;;;
;;;;;;;;;;
deap;nsga2;zdt2;1;3.325816652;0.00359157;0.00348675;;;;
deap;nsga2;zdt2;2;3.325794;0.003870321;0.003552583;;;;
deap;nsga2;zdt2;3;3.327004432;0.003890915;0.002916955;;;;
deap;nsga2;zdt2;4;3.325242418;0.003332531;0.003706652;;;;
deap;nsga2;zdt2;5;3.325503147;0.004309268;0.003736654;Mejor;3.3272722;0.003332531;0.00284367
deap;nsga2;zdt2;6;3.325472759;0.003344028;0.00347168;Media;3.325822568;0.003869715;0.003524739
deap;nsga2;zdt2;7;3.325621984;0.003878702;0.003693558;Peor;3.325005796;0.004309268;0.00284367
deap;nsga2;zdt2;8;3.325005796;0.004181274;0.003979203;;;;
deap;nsga2;zdt2;9;3.325759426;0.004060015;0.003567028;;;;
deap;nsga2;zdt2;10;3.325472623;0.003884023;0.003778414;;;;
deap;nsga2;zdt2;11;3.32590538;0.004168182;0.003563725;;;;
deap;nsga2;zdt2;11;3.3272722;0.00392575;0.00284367;;;;
;;;;;;;;;;
deap;nsga2;zdt3;1;4.813824728;0.006229503;0.002097672;;;;
deap;nsga2;zdt3;2;4.813915179;0.005143361;0.002048581;;;;
deap;nsga2;zdt3;3;4.814725774;0.005055273;0.00152572;;;;
deap;nsga2;zdt3;4;4.813994727;0.004436736;0.00167824;;;;
deap;nsga2;zdt3;5;4.813726436;0.004877945;0.002075858;Mejor;4.8148557;0.004436736;0.00152572
deap;nsga2;zdt3;6;4.814036105;0.005135411;0.001839487;Media;4.814033006;0.005324508;0.001889352
deap;nsga2;zdt3;7;4.813895837;0.006257065;0.001990839;Peor;4.813617762;0.006257065;0.00152572
deap;nsga2;zdt3;8;4.813910983;0.005092902;0.00180136;;;;
deap;nsga2;zdt3;9;4.813617762;0.004815161;0.002113513;;;;
deap;nsga2;zdt3;10;4.814166056;0.005091275;0.001768396;;;;
deap;nsga2;zdt3;11;4.813726784;0.006243279;0.002195712;;;;
deap;nsga2;zdt3;11;4.8148557;0.00551619;0.00153685;;;;
;;;;;;;;;;
deap;nsga2;zdt4;1;11.07082225;1.000449103;0.95863651;;;;
deap;nsga2;zdt4;2;14.48139477;0.258402663;0.255124971;;;;
deap;nsga2;zdt4;3;15.09332037;0.126408129;0.125023055;;;;
deap;nsga2;zdt4;4;12.49007888;0.695428742;0.6658757;;;;
deap;nsga2;zdt4;5;15.09050494;0.122957308;0.125302004;Mejor;15.09332037;0.122957308;0.125023055
