"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"rmoo","nsga2","zdt6",1,0,4.45878857649353,4.73480154217309
"rmoo","nsga2","zdt6",2,0,3.55597177216522,3.80910738829069
"rmoo","nsga2","zdt6",3,0,3.70706195480356,3.96617264428541
"rmoo","nsga2","zdt6",4,0,4.17023587797943,4.43930346699418
"rmoo","nsga2","zdt6",5,0,4.11674067731952,4.38413003467319
"rmoo","nsga2","zdt6",6,0.436568501016647,3.09905525987076,3.34353621903852
"rmoo","nsga2","zdt6",7,0,3.67921259219275,3.94022270103059
"rmoo","nsga2","zdt6",8,0,3.48461300030083,3.73976446662727
"rmoo","nsga2","zdt6",9,0,3.7448933699804,4.00658092512635
"rmoo","nsga2","zdt6",10,0,3.94929012663358,4.21801409237514
"rmoo","nsga2","zdt6",11,0,3.53020276301161,3.78595054160247
