"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"rmoo","nsga3","zdt5",1,3.71628824252028,0.0868790091227351,0.0740831195636509
"rmoo","nsga3","zdt5",2,3.70373663416741,0.143637948232887,0.101559904636939
"rmoo","nsga3","zdt5",3,3.71628824252028,0.0868790091227351,0.0740831195636509
"rmoo","nsga3","zdt5",4,3.71617828302383,0.13710234797088,0.0950860218613493
"rmoo","nsga3","zdt5",5,3.70911861804874,0.0929363171671355,0.0802406296213148
"rmoo","nsga3","zdt5",6,3.73974227843144,0.12723981264249,0.0866502559373834
"rmoo","nsga3","zdt5",7,3.83646023011891,0.118507476587952,0.0506417459691339
"rmoo","nsga3","zdt5",8,3.65057521980189,0.133417051899596,0.10942105167155
"rmoo","nsga3","zdt5",9,3.72928122384912,0.128727088071849,0.093431193449405
"rmoo","nsga3","zdt5",10,3.69097861729229,0.103415529609057,0.0842954784972872
"rmoo","nsga3","zdt5",11,3.69046179047029,0.101534008443781,0.0884196389168637
