Generacion,Tiempo
1,0.40827703
2,0.45685816
3,0.49755311
4,0.53464413
5,0.57318711
6,0.59509802
7,0.63644695
8,0.65641594
9,0.69031906
10,0.71670103
11,0.74520612
12,0.75884199
13,0.77722311
14,0.80170703
15,0.81483507
16,0.83126807
17,0.84741211
18,0.88576198
19,0.901757
20,0.92178011
21,0.95686507
22,0.97674894
23,1.00293398
24,1.0185461
25,1.03188896
26,1.05484414
27,1.06910205
28,1.08674002
29,1.10130501
30,1.11883307
31,1.13579607
32,1.15439296
33,1.17593312
34,1.19533396
35,1.21352315
36,1.24596
37,1.26657915
38,1.28237104
39,1.29769707
40,1.32103515
41,1.33922815
42,1.35834694
43,1.37826705
44,1.39621711
45,1.41724396
46,1.44387698
47,1.46305394
48,1.48234296
49,1.4988451
50,1.54297805
51,1.55852604
52,1.57724094
53,1.59525704
54,1.61376095
55,1.63087606
56,1.65150499
57,1.669065
58,1.68926716
59,1.70739317
60,1.72374201
61,1.73951697
62,1.75797796
63,1.78724599
64,1.80405807
65,1.82571197
66,1.85361195
67,1.87392497
68,1.89850712
69,1.91726804
70,1.94283199
71,1.95999813
72,1.97744703
73,2.00297904
74,2.02277994
75,2.03903604
76,2.05628395
77,2.093292
78,2.11477995
79,2.13463306
80,2.18256712
81,2.19734311
82,2.21521401
83,2.23496699
84,2.25219607
85,2.29180503
86,2.31410003
87,2.336447
88,2.36272216
89,2.38849711
90,2.41267705
91,2.45613098
92,2.47598314
93,2.49328613
94,2.51157713
95,2.53289795
96,2.55306315
97,2.56786704
98,2.5838151
99,2.60580111
100,2.62641907
101,2.644382
102,2.72528696
103,2.74050593
104,2.78509498
105,2.84474015
106,2.86872315
107,2.88409305
108,2.89600015
109,3.83061504
110,3.89094996
111,3.935431
112,3.96458316
113,3.98589802
114,4.00414014
115,4.01600194
116,4.03264308
117,4.05187798
118,4.08214712
119,4.09765601
120,4.11519408
121,4.1316781
122,4.14747405
123,4.16514707
124,4.18466997
125,4.20350409
126,4.22305393
127,4.24187708
128,4.25570607
129,4.27102113
130,4.28395295
131,4.31493306
132,4.33543396
133,4.35964608
134,4.38349414
135,4.404742
136,4.42047715
137,4.43387699
138,4.45263314
139,4.47394013
140,4.49361801
141,4.50896001
142,4.52568316
143,4.54091811
144,4.56298995
145,4.61042213
146,4.66071916
147,4.70696211
148,4.74123096
149,4.75666404
150,4.77164197
151,4.78664303
152,4.80329299
153,4.81687212
154,4.82825303
155,4.84438705
156,4.85840917
157,4.87191415
158,4.90073609
159,4.91266799
160,4.92697811
161,4.94319701
162,4.96268511
163,4.97696304
164,4.99574113
165,5.01685095
166,5.03397107
167,5.04990101
168,5.06722903
169,5.08443809
170,5.09992313
171,5.12599897
172,5.14152312
173,5.16125417
174,5.17891812
175,5.19748712
176,5.21154904
177,5.22870708
178,5.246737
179,5.26267409
180,5.27574015
181,5.29605794
182,5.31283808
183,5.32948709
184,5.35597897
185,5.37544298
186,5.39283514
187,5.41049194
188,5.42565298
189,5.44231415
190,5.45505905
191,5.47637296
192,5.49383211
193,5.51275802
194,5.52761197
195,5.54586601
196,5.56495309
197,5.59348297
198,5.60855293
199,5.62281203
200,5.63749099
201,5.65171099
202,5.66721797
203,5.68126702
204,5.70054793
205,5.71932101
206,5.73226309
207,5.74740195
208,5.76482511
209,5.77921796
210,5.8059721
211,5.81765413
212,5.82990193
213,5.84745812
214,5.86083508
215,5.87632608
216,5.89227295
217,5.912287
218,5.92816615
219,5.94275498
220,5.95858598
221,5.976475
222,5.99511099
223,6.0263741
224,6.04286504
225,6.05898905
226,6.07363105
227,6.08898711
228,6.10443306
229,6.11886001
230,6.13697815
231,6.1498971
232,6.16368008
233,6.17680311
234,6.192168
235,6.20578504
236,6.23086095
237,6.24465108
238,6.263273
239,6.27592897
240,6.29366899
241,6.30923009
242,6.32556605
243,6.34332395
244,6.35618901
245,6.37925506
246,6.40564609
247,6.42363501
248,6.43612504
249,6.47423697
250,6.4996891
251,6.5175581
252,6.537678
253,6.56402898
254,6.58376098
255,6.59723711
256,6.61563611
257,6.63459897
258,6.65147305
259,6.66648602
260,6.68229008
261,6.71340203
262,6.73463511
263,6.75163007
264,6.76485705
265,6.78004313
266,6.79620409
267,6.81516099
268,6.83255911
269,6.84713101
270,6.86240697
271,6.87676716
272,6.89121699
273,6.90746713
274,6.93776107
275,6.95756507
276,6.97205901
277,6.99089193
278,7.00791717
279,7.02654409
280,7.04503202
281,7.06234312
282,7.07901311
283,7.09459209
284,7.11074209
285,7.12435102
286,7.1377871
287,7.15216017
288,7.17979813
289,7.19430995
290,7.21377802
291,7.23226094
292,7.25036407
293,7.26677895
294,7.28141499
295,7.29467607
296,7.3107481
297,7.32503414
298,7.33909202
299,7.35318494
300,7.36708307
301,7.39411998
302,7.41005397
303,7.42830205
304,7.44532609
305,7.46312094
306,7.48438001
307,7.49713111
308,7.51280308
309,7.52744293
310,7.54571009
311,7.56006193
312,7.57572103
313,7.58964801
314,7.61565804
315,7.63381505
316,7.64732814
317,7.65908813
318,7.67118311
319,7.682374
320,7.69348216
321,7.70446515
322,7.71503115
323,7.72694397
324,7.73934507
325,7.75196195
326,7.76332903
327,7.78536296
328,7.79595995
329,7.80715513
330,7.81782913
331,7.82904315
332,7.84141803
333,7.8526001
334,7.86357713
335,7.88092208
336,7.90505195
337,7.92945099
338,7.953511
339,7.98846698
340,8.01815104
341,8.03363109
342,8.04762197
343,8.06831098
344,8.08417416
345,8.09773993
346,8.11138797
347,8.12758017
348,8.14237094
349,8.15825701
350,8.17333317
351,8.19093513
352,8.20753908
353,8.24060297
354,8.25283408
355,8.27255011
356,8.28621817
357,8.29748607
358,8.335464
359,8.35954809
360,8.38680696
361,8.41113806
362,8.45559907
363,8.49495602
364,8.51691794
365,8.53525496
366,8.569278
367,8.58776999
368,8.5988071
369,8.60937214
370,8.62083602
371,8.63196898
372,8.64311695
373,8.65447617
374,8.66563296
375,8.67599106
376,8.68771505
377,8.70081496
378,8.71203303
379,8.73460698
380,8.746912
381,8.75926495
382,8.77191615
383,8.78375411
384,8.79447103
385,8.80607796
386,8.81709599
387,8.82795715
388,8.83898711
389,8.85029316
390,8.86124516
391,8.87264013
392,8.89380097
393,8.90630603
394,8.91745901
395,8.92847013
396,8.93982816
397,8.95099115
398,8.96197701
399,8.97537494
400,8.98642707
401,8.99764109
402,9.01412606
403,9.02714801
404,9.03916407
405,9.05988002
406,9.07158208
407,9.08239007
408,9.09304714
409,9.10438395
410,9.11484909
411,9.12636709
412,9.14458704
413,9.16564703
414,9.17839193
415,9.1932621
416,9.20590711
417,9.22803307
418,9.23928595
419,9.25071001
420,9.26311016
421,9.27649808
422,9.28873515
423,9.30921197
424,9.32625413
425,9.34200501
426,9.35777998
427,9.37800503
428,9.39648199
429,9.41343403
430,9.44205713
431,9.45800996
432,9.48361111
433,9.49882317
434,9.51265311
435,9.53096914
436,9.54598713
437,9.55785894
438,9.57419205
439,9.58640695
440,9.60663414
441,9.62196302
442,9.63475013
443,9.66119599
444,9.67709804
445,9.69392204
446,9.70735598
447,9.71919203
448,9.737921
449,9.75186014
450,9.76631594
451,9.78352308
452,9.79952502
453,9.8132031
454,9.83175397
455,9.86182594
456,9.87621498
457,9.89370608
458,9.91295815
459,9.92832303
460,9.94590616
461,9.96154809
462,9.97543097
463,9.99194098
464,10.00967097
465,10.0271461
466,10.04552913
467,10.06092095
468,10.08875299
469,10.10444713
470,10.12190413
471,10.13906217
472,10.15333104
473,10.16919613
