gen,nevals,Tiempo
1,112,0.023945093154907227
2,107,0.050437211990356445
3,103,0.07742023468017578
4,104,0.09841132164001465
5,97,0.11739897727966309
6,99,0.13474416732788086
7,103,0.1507883071899414
8,107,0.1710970401763916
9,107,0.18958353996276855
10,103,0.20470190048217773
11,95,0.2248547077178955
12,98,0.24786019325256348
13,101,0.26879096031188965
14,104,0.28486204147338867
15,102,0.3004426956176758
16,100,0.3199002742767334
17,103,0.33953118324279785
18,94,0.35889744758605957
19,102,0.3749856948852539
20,97,0.39519333839416504
21,111,0.41251611709594727
22,96,0.4306068420410156
23,109,0.44507789611816406
24,98,0.4697730541229248
25,109,0.49208760261535645
26,96,0.5134749412536621
27,99,0.5330746173858643
28,96,0.5559110641479492
29,96,0.5706079006195068
30,104,0.5950789451599121
31,92,0.61171555519104
32,109,0.6307814121246338
33,110,0.6619558334350586
34,106,0.7090306282043457
35,105,0.7407448291778564
36,112,0.7911086082458496
37,102,0.8206498622894287
38,94,0.840954065322876
39,102,0.8728628158569336
40,96,0.9199695587158203
41,95,0.9396231174468994
42,91,0.9589118957519531
43,95,0.9787042140960693
44,108,0.9954142570495605
45,99,1.0118024349212646
46,103,1.0301012992858887
47,108,1.0498688220977783
48,109,1.070044994354248
49,95,1.080674409866333
50,101,1.1009612083435059
51,93,1.1196110248565674
52,99,1.1409320831298828
53,106,1.1607136726379395
54,101,1.1800415515899658
55,103,1.2108192443847656
56,102,1.25091552734375
57,96,1.279691219329834
58,93,1.2950499057769775
59,102,1.3116908073425293
60,98,1.3298544883728027
61,108,1.3510870933532715
62,107,1.3915719985961914
63,109,1.4217643737792969
64,96,1.4500980377197266
65,97,1.4774281978607178
66,99,1.5004310607910156
67,96,1.5197911262512207
68,94,1.5491766929626465
69,99,1.5709388256072998
70,100,1.588770866394043
71,100,1.6039226055145264
72,98,1.623661756515503
73,110,1.6408030986785889
74,100,1.6616706848144531
75,105,1.6747922897338867
76,102,1.7159383296966553
77,105,1.735105276107788
78,95,1.752575397491455
79,107,1.770033836364746
80,107,1.7905681133270264
81,91,1.810725212097168
82,102,1.8306922912597656
83,106,1.8478147983551025
84,105,1.8698127269744873
85,104,1.8848559856414795
86,97,1.9160773754119873
87,105,1.9627258777618408
88,108,2.004897356033325
89,103,2.047579765319824
90,98,2.0730338096618652
91,98,2.0977699756622314
92,96,2.11970853805542
93,105,2.134880542755127
94,102,2.1557421684265137
95,101,2.187502145767212
96,113,2.2242796421051025
97,100,2.254838705062866
98,110,2.2837975025177
99,92,2.312506675720215
100,98,2.3409314155578613
101,103,2.368659257888794
102,103,2.3936808109283447
103,98,2.429535388946533
104,102,2.4718382358551025
105,109,2.5201425552368164
106,108,2.560868263244629
107,104,2.595014810562134
108,94,2.6236355304718018
109,93,2.6546497344970703
110,104,2.6784238815307617
111,105,2.699746608734131
112,110,2.7439775466918945
113,102,2.779825210571289
114,101,2.812758445739746
115,106,2.8326690196990967
116,102,2.8505778312683105
117,101,2.870142936706543
118,110,2.8905622959136963
119,95,2.9117681980133057
120,100,2.9304826259613037
121,95,2.947794198989868
122,95,2.961608648300171
123,95,2.9837934970855713
124,97,3.0019567012786865
125,91,3.0239133834838867
