gen,nevals,Tiempo
1,75,0.0360112190246582
2,80,0.06313276290893555
3,74,0.08716988563537598
4,83,0.11113095283508301
5,71,0.1351325511932373
6,79,0.15936875343322754
7,72,0.18334269523620605
8,80,0.20734548568725586
9,67,0.23138046264648438
10,80,0.25539731979370117
11,83,0.279433012008667
12,80,0.3074355125427246
13,81,0.3313944339752197
14,74,0.35540127754211426
15,85,0.381441593170166
16,60,0.4014773368835449
17,83,0.42540597915649414
18,72,0.4534032344818115
19,83,0.479480504989624
20,73,0.5034778118133545
21,82,0.5274801254272461
22,83,0.5515232086181641
23,75,0.5774829387664795
24,73,0.5974850654602051
25,75,0.6254861354827881
26,79,0.6535212993621826
27,78,0.6756401062011719
28,73,0.6996009349822998
29,75,0.7275989055633545
30,80,0.7556004524230957
31,77,0.7795557975769043
32,77,0.8035910129547119
33,71,0.8275918960571289
34,78,0.851590633392334
35,78,0.8718466758728027
36,72,0.8958470821380615
37,77,0.9198832511901855
38,87,0.9438459873199463
39,77,0.9693539142608643
40,79,1.002683162689209
41,69,1.0306825637817383
42,71,1.06784987449646
43,76,1.1118500232696533
44,79,1.139850378036499
45,75,1.1653704643249512
46,74,1.1893634796142578
47,79,1.217362880706787
48,75,1.2413625717163086
49,85,1.2680435180664062
50,65,1.2901103496551514
51,80,1.3141098022460938
52,76,1.3380727767944336
53,74,1.3641164302825928
54,73,1.3840796947479248
55,74,1.4080829620361328
56,77,1.4320793151855469
57,81,1.4560801982879639
58,76,1.4776690006256104
59,80,1.505631923675537
60,80,1.5336313247680664
61,82,1.581265926361084
62,72,1.6332662105560303
63,82,1.6772634983062744
64,80,1.705263614654541
65,79,1.7292630672454834
66,83,1.753263235092163
67,79,1.777263879776001
68,79,1.8013005256652832
69,87,1.8293001651763916
70,73,1.8533012866973877
71,85,1.8813021183013916
72,79,1.9092650413513184
73,87,1.9412648677825928
74,76,1.9652998447418213
75,82,1.993300199508667
76,76,2.0212631225585938
77,77,2.0452637672424316
78,85,2.069305896759033
79,77,2.097262382507324
80,78,2.125263214111328
81,69,2.1572625637054443
82,72,2.1812992095947266
83,76,2.2012991905212402
84,79,2.2292990684509277
85,76,2.253265142440796
86,77,2.277299404144287
87,81,2.3012619018554688
88,84,2.3332631587982178
89,81,2.369304656982422
90,81,2.397261619567871
91,76,2.4292640686035156
92,82,2.4652628898620605
93,81,2.493262767791748
94,76,2.5212619304656982
95,78,2.5532639026641846
96,79,2.577260971069336
97,80,2.6052656173706055
98,74,2.629298448562622
99,79,2.6573004722595215
100,83,2.6812984943389893
101,81,2.709261417388916
102,74,2.733260154724121
103,80,2.761298179626465
104,77,2.785299301147461
105,68,2.809260845184326
106,78,2.833299160003662
107,86,2.861260414123535
108,84,2.885303258895874
109,80,2.9092626571655273
110,76,2.9332971572875977
111,79,2.961296319961548
112,78,2.9853029251098633
113,84,3.0132968425750732
114,82,3.037261962890625
115,76,3.0612969398498535
116,75,3.0892601013183594
117,78,3.1132590770721436
118,85,3.1436614990234375
119,75,3.172581672668457
120,76,3.1965172290802
121,77,3.2191028594970703
122,69,3.250997304916382
123,75,3.283892869949341
124,77,3.317802667617798
125,73,3.3586926460266113
126,82,3.3876149654388428
