gen,nevals,Tiempo
1,92,0.004488706588745117
2,83,0.004488706588745117
3,84,0.004488706588745117
4,91,0.020191431045532227
5,85,0.020191431045532227
6,88,0.02883291244506836
7,86,0.02883291244506836
8,74,0.02883291244506836
9,94,0.04471898078918457
10,91,0.05108976364135742
11,90,0.059415340423583984
12,84,0.0715169906616211
13,82,0.08110427856445312
14,69,0.08875703811645508
15,86,0.09698343276977539
16,84,0.10769891738891602
17,89,0.1153569221496582
18,86,0.12358689308166504
19,88,0.12761306762695312
20,87,0.12761306762695312
21,88,0.13979816436767578
22,88,0.1501471996307373
23,78,0.15179085731506348
24,84,0.16253161430358887
25,89,0.17015767097473145
26,74,0.1798112392425537
27,87,0.18592357635498047
28,86,0.1869208812713623
29,73,0.19616985321044922
30,89,0.2013101577758789
31,81,0.2013101577758789
32,89,0.2093677520751953
33,88,0.21811628341674805
34,77,0.2191145420074463
35,81,0.2191145420074463
36,87,0.23593568801879883
37,87,0.23693513870239258
38,80,0.23693513870239258
39,84,0.25264406204223633
40,81,0.25264406204223633
41,90,0.25264406204223633
42,96,0.26932835578918457
43,90,0.26932835578918457
44,90,0.2847907543182373
45,78,0.292860746383667
46,89,0.29482531547546387
47,79,0.29482531547546387
48,81,0.3115506172180176
49,76,0.31358981132507324
50,79,0.31358981132507324
51,84,0.31358981132507324
52,78,0.3292694091796875
53,81,0.3292694091796875
54,78,0.3452615737915039
55,84,0.3463010787963867
56,86,0.3463010787963867
57,80,0.3619823455810547
58,82,0.3674588203430176
59,89,0.3799247741699219
60,87,0.3878605365753174
61,83,0.3878605365753174
62,74,0.40126943588256836
63,84,0.4039876461029053
64,75,0.4127798080444336
65,78,0.4180009365081787
66,88,0.426011323928833
67,78,0.426011323928833
68,86,0.43520593643188477
69,88,0.43520593643188477
70,85,0.43520593643188477
71,78,0.4512207508087158
72,83,0.4512207508087158
73,87,0.4680600166320801
74,79,0.48078179359436035
75,89,0.49193406105041504
76,92,0.4939284324645996
77,85,0.50105881690979
78,88,0.5100183486938477
79,77,0.5194344520568848
80,76,0.5346827507019043
81,89,0.54278564453125
82,79,0.5437805652618408
83,86,0.5437805652618408
84,88,0.5594465732574463
85,88,0.5594465732574463
86,86,0.5594465732574463
87,88,0.5750699043273926
88,90,0.585484504699707
89,84,0.5934581756591797
90,90,0.6015934944152832
91,91,0.6035885810852051
92,94,0.6035885810852051
93,84,0.6211473941802979
94,91,0.6287643909454346
95,82,0.6345770359039307
96,82,0.6455364227294922
97,84,0.6590402126312256
98,89,0.6688876152038574
99,84,0.6799709796905518
100,87,0.685619592666626
101,83,0.6876699924468994
102,85,0.6957273483276367
103,84,0.7014696598052979
104,85,0.7095224857330322
105,90,0.7095224857330322
106,86,0.7180180549621582
107,81,0.7247729301452637
108,92,0.7247729301452637
109,82,0.7247729301452637
110,78,0.7404131889343262
111,81,0.7404131889343262
