Generacion;Tiempo
1;0.014815331
2;0.030549765
3;0.048105478
4;0.061441183
5;0.068723202
6;0.085149288
7;0.097055435
8;0.107434034
9;0.123003006
10;0.137463093
11;0.1529212
12;0.168256521
13;0.186605453
14;0.20166111
15;0.215293884
16;0.23010087
17;0.238265038
18;0.255528212
19;0.269758463
20;0.285504341
21;0.299780846
22;0.312897682
23;0.323689222
24;0.336568832
25;0.347769022
26;0.364614964
27;0.378203869
28;0.387733698
29;0.403347015
30;0.415270567
31;0.431180954
32;0.448852062
33;0.46376729
34;0.482063055
35;0.500321627
36;0.518504143
37;0.531762123
38;0.548371315
39;0.558341742
40;0.574501038
41;0.588448524
42;0.603071451
43;0.616392136
44;0.630804062
45;0.646900415
46;0.656585455
47;0.671079159
48;0.687148809
49;0.700311661
50;0.717594862
51;0.729466677
52;0.7396276
53;0.756488323
54;0.76928544
55;0.782551527
56;0.793741941
57;0.807618856
58;0.822242737
59;0.835194588
60;0.848077774
61;0.863645315
62;0.882718325
63;0.897904634
64;0.91414237
65;0.925579071
66;0.938212156
67;0.958544016
68;0.968928576
69;0.985464573
70;0.998493671
71;1.01564312
72;1.039990664
73;1.063792229
74;1.079038382
75;1.102677345
76;1.12262392
77;1.143321753
78;1.163761139
79;1.181324482
80;1.19760704
81;1.215266228
82;1.236574411
83;1.248987913
84;1.257240534
85;1.269717932
86;1.288420916
87;1.30090642
88;1.316609859
89;1.330132008
90;1.338043451
91;1.354827642
92;1.369329214
93;1.382912636
94;1.395326376
95;1.408480406
96;1.4291327
97;1.438551664
98;1.455575466
99;1.469540834
100;1.481944799
101;1.49653101
102;1.507397175
103;1.523083925
104;1.563939571
105;1.583009958
106;1.605838776
107;1.62945509
108;1.64986062
109;1.669020176
110;1.680870056
111;1.697798491
112;1.722432375
113;1.739661455
114;1.753933191
115;1.765422583
116;1.77912569
117;1.787436724
118;1.803267479
119;1.817730188
120;1.830230951
121;1.837794065
122;1.855492592
123;1.869696617
124;1.882212877
125;1.895991564
126;1.908361435
127;1.920558929
128;1.936780453
129;1.953965902
130;1.967608213
131;1.979606628
132;1.989410639
133;2.007751465
134;2.021103144
135;2.096428871
136;2.107381821
137;2.121367931
138;2.136782169
139;2.150541306
140;2.16445899
141;2.16985631
142;2.1885674
143;2.203145027
144;2.218477249
145;2.232294559
146;2.247132063
147;2.257656574
148;2.271056652
149;2.285863161
150;2.298010588
151;2.313236952
152;2.320621729
153;2.336241722
154;2.348995686
155;2.357761383
156;2.371019602
157;2.388491392
158;2.402463675
159;2.417266369
160;2.428581476
161;2.438140631
162;2.453982115
163;2.466140509
164;2.475231409
165;2.488724232
166;2.502602577
167;2.515540123
168;2.52978611
169;2.537359715
170;2.555594206
171;2.568162203
172;2.581148148
173;2.588503361
174;2.604524612
175;2.618309021
176;2.630552769
177;2.638575554
178;2.656698227
179;2.671377659
180;2.686871052
181;2.701311827
182;2.716141462
183;2.727435112
184;2.738367558
185;2.751523972
186;2.763358831
187;2.769109726
188;2.785667896
189;2.797275066
190;2.807213306
191;2.820616961
192;2.833152056
193;2.847594261
194;2.861283779
195;2.869858503
196;2.888613701
197;2.903346062
198;2.917674303
199;2.928663969
200;2.938666344
201;2.951945543
202;2.965416908
203;2.976605892
204;2.988635063
205;3.006228685
206;3.022232533
207;3.036865473
208;3.048708677
209;3.064446211
210;3.070573807
211;3.088567972
212;3.103510618
213;3.119993687
214;3.132309437
215;3.14367795
216;3.16019392
217;3.169543743
218;3.185762167
219;3.196988583
220;3.207224131
221;3.220923901
222;3.233137846
223;3.237744808
224;3.257380247
225;3.268776417
226;3.280821085
227;3.287463665
228;3.305210352
229;3.32082963
230;3.334601879
231;3.350157499
232;3.369223118
233;3.38744688
234;3.399421692
235;3.418767214
236;3.430684328
237;3.437738419
238;3.4551723
239;3.470153332
240;3.483808041
241;3.496234655
242;3.507695913
243;3.520951986
244;3.537293196
245;3.551071882
246;3.56457448
247;3.593307257
248;3.614596367
249;3.618926525
250;3.648205042
251;3.663410425
252;3.670707464
253;3.687329531
254;3.701528072
255;3.715521336
256;3.729480267
257;3.737759352
258;3.75554657
259;3.769647837
260;3.781861544
261;3.787423134
262;3.805602312
263;3.820960045
264;3.833706141
265;3.846275568
266;3.857811451
