Generacion;Tiempo
1;0.031243324
2;0.115872145
3;0.147113562
4;0.18486619
5;0.216114521
6;0.262978315
7;0.300851345
8;0.33205533
9;0.378954887
10;0.401164293
11;0.447989702
12;0.485755682
13;0.532623529
14;0.563867569
15;0.601623297
16;0.632865906
17;0.679731131
18;0.701864004
19;0.748731375
20;0.786477804
21;0.817727327
22;0.848968744
23;0.886715889
24;0.917965174
25;0.964829922
26;0.986959934
27;1.033866644
28;1.080731392
29;1.102908134
30;1.14976716
31;1.187474012
32;1.218723297
33;1.249965429
34;1.287717342
35;1.319004774
36;1.365830898
37;1.388039351
38;1.419289827
39;1.45052886
40;1.488317966
41;1.503992081
42;1.55080986
43;1.566470385
44;1.604267359
45;1.63550806
46;1.651129723
47;1.688878298
48;1.70450449
49;1.735747099
50;1.76702714
51;1.804802418
52;1.836046457
53;1.867325068
54;1.905109644
55;1.936388493
56;1.967630625
57;2.005420923
58;2.021031618
59;2.052278042
60;2.090022802
61;2.105703354
62;2.152514458
63;2.190300226
64;2.221584797
65;2.252793074
66;2.290580988
67;2.33745122
68;2.368694067
69;2.406454802
70;2.437695026
71;2.468938112
72;2.491105318
73;2.522351742
74;2.553637743
75;2.584837914
76;2.606974125
77;2.638221025
78;2.669499636
79;2.691586256
80;2.722837925
81;2.754076958
82;2.769702196
83;2.80745697
84;2.838754416
85;2.869946003
86;2.907715559
87;2.9389534
88;2.970191717
89;2.992323637
90;3.039194584
91;3.070489645
92;3.092566729
93;3.123814821
94;3.139474154
95;3.170677662
96;3.208481789
97;3.23972559
98;3.270926714
99;3.308759212
100;3.355608702
101;3.371205091
102;3.424583912
103;3.440251589
104;3.471449137
105;3.493659973
106;3.524908304
107;3.556153059
108;3.59390378
109;3.625154734
110;3.656399012
111;3.694148302
112;3.709778547
113;3.741017818
114;3.772268534
115;3.794429541
116;3.825715303
117;3.856922388
118;3.88816309
119;3.910300732
120;3.941545248
121;3.972824335
122;3.994956255
123;4.041825056
124;4.057446718
125;4.095239401
126;4.126523972
127;4.157731771
128;4.188974619
129;4.226773024
130;4.242399216
131;4.273601055
132;4.311354637
133;4.342597246
134;4.35825634
135;4.395969629
136;4.42721796
137;4.458460569
138;4.489706755
139;4.51187849
140;4.558707952
141;4.589953184
142;4.61212635
143;4.64337039
144;4.674649477
145;4.69677496
146;4.728024006
147;4.759267092
148;4.790544271
149;4.828302622
150;4.859546423
151;4.890789509
152;4.91299963
153;4.944204807
154;4.97548604
155;4.99761343
156;5.028899908
157;5.060144663
158;5.091346741
159;5.113523245
160;5.144761562
161;5.175965071
162;5.198134661
163;5.229382753
164;5.276245594
165;5.298374891
166;5.360866547
167;5.39861536
168;5.429863453
169;5.47672987
170;5.514487505
171;5.545730352
172;5.592594624
173;5.630354166
174;5.661594152
175;5.699342012
176;5.730590343
177;5.761833668
178;5.793074846
179;5.81525445
180;5.862075567
181;5.899828911
182;5.915458202
183;5.946699619
184;5.977942228
185;6.000069618
186;6.046940565
187;6.062561512
188;6.100313902
189;6.131563663
190;6.162806273
191;6.194056511
192;6.216197014
193;6.2474401
194;6.278680086
195;6.300809622
196;6.33205986
197;6.363340139
198;6.401091099
199;6.447966576
200;6.494862318
201;6.5170362
202;6.548280239
203;6.579521894
204;6.601687193
205;6.632933617
206;6.664214849
207;6.695418596
208;6.717632771
209;6.748872042
210;6.78011322
211;6.802244902
212;6.849113464
213;6.880356789
214;6.902520895
215;6.933767319
216;6.965013742
217;6.98063302
218;7.018388987
219;7.049634218
220;7.080874205
221;7.103003263
222;7.134251118
223;7.16549468
224;7.196736813
225;7.218869686
226;7.250113726
227;7.281353951
228;7.334809065
229;7.366053104
230;7.397334337
231;7.419512987
232;7.450755835
233;7.481991768
234;7.566575289
235;7.604331017
236;7.651201963
237;7.704573154
238;7.735826015
239;7.751445055
240;7.782687426
241;7.820448399
242;7.851729155
243;7.882932901
244;7.905070066
245;7.936324596
246;7.967568874
247;7.998810291
248;8.020948172
249;8.052236319
250;8.083433867
251;8.105564356
252;8.136814833
253;8.168057442
254;8.19929862
255;8.221434832
256;8.252720118
257;8.283921719
258;8.321724176
259;8.352962971
260;8.384165287
261;8.406295538
262;8.437565327
263;8.453166008
264;8.48440671
265;8.522168159
266;8.537789822
267;8.584696293
268;8.60682559
269;8.63808012
270;8.669353008
271;8.6849823
272;8.72273612
273;8.753938198
274;8.7851789
275;8.807347059
276;8.838605165
277;8.86984086
278;8.907589912
279;8.923254728
280;8.954460144
281;8.985705137
282;9.00788188
283;9.03918314
284;9.070372105
285;9.085993052
286;9.123792887
287;9.154997349
288;9.170615196
289;9.208408594
290;9.23965621
291;9.270900011
292;9.302184582
293;9.340008974
294;9.371251822
295;9.402493477
296;9.424668074
297;9.455871344
298;9.487111092
299;9.524952412
300;9.556158066
301;9.587400436
302;9.609573126
303;9.640823603
304;9.672065258
305;9.703308344
306;9.725477934
307;9.75668478
308;9.787926197
309;9.81013155
310;9.841379881
311;9.872671127
312;9.910372734
313;9.941622257
314;9.988486052
315;10.02628136
316;10.05752754
317;10.08876824
318;10.11093593
319;10.15780592
320;10.18908691
321;10.21118951
322;10.25806379
323;10.30493712
324;10.34281445
325;10.3584013
326;10.40526867
327;10.42747927
328;10.45868516
329;10.4899292
330;10.52774525
331;10.55898833
332;10.59023309
333;10.6279459
334;10.65919161
335;10.69046783
336;10.71255755
337;10.74384475
338;10.77504706
339;10.8062892
340;10.84404659
341;10.87529039
342;10.90653443
343;10.92867184
344;10.95991588
345;10.99115825
346;11.02891636
347;11.06015944
348;11.09140372
349;11.11352992
350;11.14481688
351;11.17602038
352;11.21384883
353;11.24509573
354;11.27633786
355;11.31408978
356;11.34533763
357;11.39220142
358;11.41433191
359;11.47682643
360;11.50806642
361;11.53019953
362;11.56144214
363;11.59268475
364;11.63045406
365;11.66169572
366;11.67731905
367;11.7150681
368;11.74631405
369;11.77755928
370;11.79317904
371;11.83093739
372;11.86217976
373;11.8934226
374;11.93117428
375;11.94683599
376;11.9780395
377;12.01582789
378;12.04711437
379;12.07836032
380;12.09393978
381;12.13173699
382;12.16298008
383;12.19421983
384;12.21634793
385;12.24759722
386;12.27883959
387;12.31012201
388;12.33229494
389;12.3635366
390;12.3947804
391;12.43255162
392;12.47941303
393;12.51065493
394;12.53282547
395;12.57965517
396;12.6108942
397;12.63306522
398;12.66430593
399;12.69554853
400;12.73334241
401;12.76458168
402;12.79582381
403;12.81795526
404;12.86482358
405;12.89606833
406;12.93382454
407;12.96506357
408;13.01843786
409;13.04968524
410;13.09654999
411;13.14992762
412;13.18116879
413;13.21891904
414;13.25016856
415;13.31265378
416;13.33478665
417;13.36603236
418;13.39727235
419;13.43503046
420;13.46627188
421;13.49751592
422;13.53539109
423;13.56662631
424;13.59787154
425;13.62005067
426;13.6513021
427;13.68257999
428;13.72028923
429;13.75153995
430;13.78277898
431;13.8140223
432;13.83615899
433;13.86740279
434;13.89864159
435;13.93639922
436;13.96764183
437;13.99892044
438;14.03663683
439;14.06791854
440;14.09912515
441;14.12128758
442;14.15253854
443;14.18382072
444;14.21505809
445;14.23721528
446;14.28411674
447;14.32184815
448;14.35310435
449;14.39997005
450;14.43773389
451;14.48459578
452;14.52235365
453;14.55360818
454;14.58485079
455;14.62260199
456;14.65385175
457;14.66947389
458;14.70071435
459;14.7384758
460;14.76971459
461;14.80095744
462;14.82308602
463;14.85433412
464;14.90123487
465;14.93896079
466;14.95457506
467;14.98581648
468;15.01710248
469;15.03923965
470;15.0861001
471;15.11738467
472;15.13956261
473;15.17080498
474;15.20208478
475;15.23985314
476;15.27109671
477;15.32450557
478;15.35575271
479;15.38699555
480;15.41827726
481;15.44045401
482;15.47170186
483;15.50297666
484;15.5406971
485;15.5875597
486;15.62534618
487;15.65659738
488;15.68783832
489;15.72559023
490;15.75683832
491;15.78808999
492;15.82591558
493;15.87278485
494;15.90402699
495;15.92619944
496;15.95744753
497;15.98870134
498;16.02645755
499;16.05774331
500;16.0889523
501;16.1201911
502;16.14236283
503;16.17360616
504;16.20485091
505;16.24264312
506;16.27389336
507;16.30510044
508;16.32726026
509;16.35854721
510;16.405375
511;16.4275012
512;16.45878601
513;16.48999238
514;16.52774239
515;16.55898952
516;16.59023309
517;16.6280005
518;16.65924835
519;16.70611286
520;16.74387383
521;16.77511525
522;16.82199502
523;16.85981131
524;16.89105463
525;16.92884254
526;16.96009088
527;16.99133301
528;17.02908587
529;17.06033468
530;17.09157705
531;17.12281895
532;17.14498734
533;17.19185233
534;17.22960567
535;17.26085305
536;17.30771685
537;17.34551191
538;17.37675285
539;17.40803313
540;17.43016577
541;17.46144986
542;17.49266839
543;17.530442
544;17.56168914
545;17.59293437
546;17.63068414
547;17.66197109
548;17.69317651
549;17.70883322
550;17.74658895
551;17.77786756
552;17.80911255
553;17.84686756
554;17.89373398
555;17.92498231
556;17.94719386
557;17.99402142
558;18.00967669
559;18.04747081
560;18.07871485
561;18.10995913
562;18.14778996
563;18.17903423
564;18.21027613
565;18.24803329
566;18.2792356
567;18.29489565
568;18.33264661
569;18.36393094
570;18.39513898
571;18.42641616
572;18.44862604
573;18.49545598
574;18.53319979
575;18.5644474
576;18.61134791
577;18.63347793
578;18.68035102
579;18.73376155
580;18.7650466
581;18.81187391
582;18.83400249
583;18.86525154
584;18.91211748
585;18.93424416
586;18.96549416
587;19.012398
588;19.11259842
589;19.13476324
590;19.16601157
591;19.21291375
592;19.2350409
593;19.28194928
594;19.33528161
595;19.36657
596;19.39780903
597;19.42905164
598;19.45125294
599;19.48249555
600;19.51373816
601;19.5514946
602;19.58273578
603;19.61397791
604;19.63610816
605;19.68297648
606;19.71422338
607;19.73634624
608;19.76759601
609;19.79883695
610;19.83658576
611;19.88349342
612;19.93031883
613;19.9524529
614;19.98369551
615;20.03056026
616;20.05269694
617;20.08396387
618;20.11518192
619;20.1373117
620;20.18418479
621;20.1998446
622;20.23755646
623;20.2688489
624;20.30004764
625;20.3378861
626;20.38475966
627;20.41600132
628;20.45377755
629;20.48502135
630;20.51626253
631;20.53839397
632;20.56964374
633;20.61650705
634;20.65426612
635;20.68550825
636;20.73237252
637;20.76605392
638;20.80140901
639;20.83099532
640;20.87124205
641;20.9009459
642;20.93087363
643;20.96096563
644;20.99110746
645;21.0212357
646;21.05111241
647;21.08113575
648;21.11088943
649;21.14078617
650;21.17120028
651;21.21106315
652;21.24124265
653;21.27638197
654;21.32100391
655;21.36097312
656;21.39103127
657;21.43111396
658;21.4611907
659;21.49105358
660;21.52090693
661;21.55085969
662;21.5812211
663;21.61114454
664;21.64607072
665;21.68587136
666;21.71584845
667;21.74589086
668;21.78128028
669;21.81108332
670;21.84115648
671;21.87596202
672;21.90130758
673;21.93119788
674;21.9610765
675;21.9909122
676;22.02124476
677;22.05099487
678;22.09107065
679;22.12092304
680;22.15106869
681;22.18627095
682;22.21124482
683;22.24112916
684;22.28131318
685;22.31097913
686;22.34117627
687;22.37113047
688;22.40594864
689;22.44086599
690;22.47104645
691;22.49117923
692;22.53127217
693;22.56087565
694;22.59085202
695;22.6209383
696;22.65102053
697;22.69122553
698;22.72111654
699;22.75086522
700;22.79087567
701;22.8309567
702;22.87084365
703;22.90103292
704;22.94123697
705;22.97108197
706;23.00589657
707;23.03093266
708;23.07085395
709;23.09100032
710;23.1310451
711;23.15091038
712;23.18125939
713;23.21104383
714;23.25114036
715;23.28102684
716;23.34119368
717;23.37096906
718;23.40631199
719;23.43078923
720;23.47590804
721;23.51091242
722;23.55086303
723;23.59101677
724;23.61122155
725;23.64122725
726;23.6710732
727;23.71108818
728;23.74150324
729;23.76095223
730;23.80089164
731;23.83122087
732;23.86120796
733;23.89108396
734;23.92087531
735;23.95093012
736;23.99172378
737;24.020962
738;24.05085039
739;24.08123946
740;24.11116648
741;24.1459415
742;24.17595458
743;24.20128441
744;24.2360785
745;24.26588726
746;24.29113507
747;24.32124972
748;24.35099435
749;24.37595797
750;24.41094136
751;24.45105624
752;24.4908824
753;24.52118111
754;24.5509429
755;24.58098912
756;24.61621451
757;24.64229822
758;24.68581891
759;24.72085881
760;24.74230242
761;24.77613258
762;24.80587935
763;24.83094811
764;24.86588597
765;24.89100289
766;24.92121315
767;24.9510057
768;24.981076
769;25.01098275
770;25.04277658
771;25.09122443
772;25.14103603
773;25.19111991
774;25.24105668
775;25.28107572
776;25.34337115
777;25.38110161
778;25.41085124
779;25.45088959
780;25.49097538
781;25.53098011
782;25.57606196
783;25.6110518
784;25.65091372
785;25.69103241
786;25.730762
787;25.77083325
788;25.81099463
789;25.86117697
790;25.90124536
791;25.94369936
792;25.98088908
793;26.01086044
794;26.05588913
795;26.09107995
796;26.130826
797;26.17079616
798;26.21104741
799;26.24437523
800;26.29087043
801;26.34454036
802;26.38083315
803;26.41087723
804;26.44485617
805;26.49111414
806;26.53075409
807;26.57094002
808;26.61103344
809;26.65105081
810;26.69119954
811;26.7210114
812;26.76106238
813;26.79112005
814;26.83117723
815;26.87099648
816;26.91086102
817;26.97121763
818;27.01101851
819;27.05108595
820;27.08096075
821;27.12104797
822;27.15577483
823;27.191185
824;27.23095894
825;27.28118682
826;27.34123588
827;27.37602401
828;27.41101694
829;27.45075178
830;27.49079895
831;27.53075385
832;27.57088351
833;27.61078238
834;27.65087509
835;27.69100118
836;27.73077416
837;27.76083565
838;27.80095911
839;27.84590578
840;27.89100599
841;27.9310081
842;27.97107482
843;28.01104951
844;28.06118655
845;28.10118413
846;28.14619303
847;28.19084215
848;28.22123313
849;28.26119375
850;28.31585217
851;28.35089922
852;28.39083123
853;28.43102026
854;28.47092772
855;28.51091099
856;28.56083417
857;28.59081364
858;28.64594769
859;28.68080664
860;28.72092342
861;28.77107143
862;28.81095815
863;28.85078359
