Generacion;Tiempo
1;0.02027607
2;0.032249451
3;0.03626132
4;0.048792839
5;0.056843758
6;0.065914154
7;0.071274042
8;0.083007813
9;0.087062359
10;0.100198507
11;0.105244398
12;0.117197752
13;0.122251272
14;0.130302191
15;0.134352446
16;0.146453857
17;0.150498629
18;0.161273479
19;0.172148228
20;0.178873539
21;0.186923504
22;0.195549488
23;0.199475288
24;0.21198535
25;0.225059271
26;0.233439207
27;0.23859024
28;0.247071028
29;0.253437042
30;0.262265921
31;0.270950079
32;0.27496624
33;0.285416842
34;0.295641661
35;0.302413464
36;0.312301874
37;0.31850338
38;0.322519779
39;0.328941345
40;0.336954594
41;0.34560585
42;0.355647564
43;0.362192392
44;0.368715048
45;0.37487936
46;0.378935099
47;0.390105724
48;0.395601988
49;0.405079365
50;0.409089565
51;0.416292191
52;0.424082994
53;0.439646721
54;0.445739031
55;0.453754187
56;0.457753181
57;0.465832233
58;0.475045681
59;0.483009577
60;0.489202976
61;0.495600462
62;0.501672268
63;0.509686708
64;0.513848066
65;0.521862745
66;0.531717062
67;0.536726236
68;0.549124718
69;0.564777851
70;0.57103467
71;0.580138683
72;0.586023569
73;0.601092815
74;0.609028339
75;0.617038488
76;0.625052214
77;0.632805347
78;0.641885757
79;0.656376123
80;0.665961742
81;0.67209506
82;0.685779333
83;0.692802668
84;0.701740026
85;0.705756903
86;0.718986273
87;0.730231047
88;0.740040541
89;0.747957945
90;0.758768082
91;0.765341043
92;0.776983738
93;0.784206152
94;0.795572758
95;0.802474976
96;0.820109844
97;0.837594986
98;0.851464033
99;0.867951155
100;0.881108046
101;0.899236202
102;0.909092188
103;0.921050072
104;0.930685759
105;0.942508698
106;0.958798647
107;0.972377539
108;0.987968922
109;0.999072313
110;1.025518894
111;1.055705309
112;1.075769901
113;1.089246273
114;1.109463215
115;1.124737263
116;1.138938427
117;1.156246424
118;1.169509172
119;1.185572147
120;1.20003891
121;1.210175276
122;1.223856449
123;1.231511593
124;1.24130249
125;1.254468203
126;1.267853022
127;1.272419453
128;1.287570715
129;1.303007603
130;1.314507484
131;1.322519779
132;1.337725163
133;1.3487885
134;1.35591054
135;1.362220049
136;1.367781401
137;1.375776052
138;1.386281729
139;1.398669958
140;1.412758827
141;1.416765451
142;1.425957441
143;1.430846453
144;1.438856125
145;1.447884083
146;1.460179329
147;1.47499752
148;1.487479448
149;1.495466471
150;1.499478579
151;1.513370752
152;1.528811455
153;1.545333147
154;1.565994978
