"Generation","Time","cores","pause"
1,3.15129613876343,"1","0.01"
2,4.66390609741211,"1","0.01"
3,5.9386739730835,"1","0.01"
4,7.17889809608459,"1","0.01"
5,8.50442004203796,"1","0.01"
6,9.79127812385559,"1","0.01"
7,11.1570160388947,"1","0.01"
8,12.5664370059967,"1","0.01"
9,14.113046169281,"1","0.01"
10,15.5195050239563,"1","0.01"
11,16.9542961120605,"1","0.01"
12,18.3511180877686,"1","0.01"
13,19.7928521633148,"1","0.01"
14,21.1806101799011,"1","0.01"
15,22.8698711395264,"1","0.01"
16,24.2191860675812,"1","0.01"
17,25.7770700454712,"1","0.01"
18,27.1064569950104,"1","0.01"
19,28.6095790863037,"1","0.01"
20,30.1454491615295,"1","0.01"
21,31.351389169693,"1","0.01"
22,32.8467919826508,"1","0.01"
23,34.2591321468353,"1","0.01"
24,35.6761629581451,"1","0.01"
25,37.346883058548,"1","0.01"
26,38.6622929573059,"1","0.01"
27,39.998733997345,"1","0.01"
28,41.5232810974121,"1","0.01"
29,42.8230240345001,"1","0.01"
30,44.0818951129913,"1","0.01"
31,45.4406850337982,"1","0.01"
32,46.9352581501007,"1","0.01"
33,48.4456040859222,"1","0.01"
34,49.8163120746613,"1","0.01"
35,51.1163170337677,"1","0.01"
36,52.4450809955597,"1","0.01"
37,53.7194499969482,"1","0.01"
38,55.1112570762634,"1","0.01"
39,56.4859240055084,"1","0.01"
40,57.8652560710907,"1","0.01"
41,59.2074761390686,"1","0.01"
42,60.5016369819641,"1","0.01"
43,61.9298000335693,"1","0.01"
44,63.3357441425323,"1","0.01"
45,64.5969150066376,"1","0.01"
46,65.8941121101379,"1","0.01"
47,67.3621490001678,"1","0.01"
48,68.5604929924011,"1","0.01"
49,69.9208240509033,"1","0.01"
50,71.1612010002136,"1","0.01"
51,72.5029900074005,"1","0.01"
52,73.7325069904327,"1","0.01"
53,75.0759129524231,"1","0.01"
54,76.3663260936737,"1","0.01"
55,77.6289801597595,"1","0.01"
56,78.9855101108551,"1","0.01"
57,80.4272999763489,"1","0.01"
58,81.8029420375824,"1","0.01"
59,83.284765958786,"1","0.01"
60,84.5422279834747,"1","0.01"
61,85.7145421504974,"1","0.01"
62,87.0207540988922,"1","0.01"
63,88.4764111042023,"1","0.01"
64,89.7202081680298,"1","0.01"
65,91.1279661655426,"1","0.01"
66,92.4897260665894,"1","0.01"
67,93.7725470066071,"1","0.01"
68,95.1151931285858,"1","0.01"
69,96.5249741077423,"1","0.01"
70,97.9552211761475,"1","0.01"
71,99.3315279483795,"1","0.01"
72,100.712567090988,"1","0.01"
73,102.068593978882,"1","0.01"
74,103.313097000122,"1","0.01"
75,104.702629089355,"1","0.01"
76,106.014526128769,"1","0.01"
77,107.42530298233,"1","0.01"
78,108.818603992462,"1","0.01"
79,110.224665164948,"1","0.01"
80,111.638255119324,"1","0.01"
81,112.905946969986,"1","0.01"
82,114.298213005066,"1","0.01"
83,115.796898126602,"1","0.01"
84,117.2496509552,"1","0.01"
85,118.685302972794,"1","0.01"
86,120.224883079529,"1","0.01"
87,121.544445991516,"1","0.01"
